Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.39,0.39,
1,[1],,c5,0.54,-0.15,
2,[2],Nf3,,0.56,0.02,
3,[2],,e6,0.56,0.0,
4,[3],Nc3,,0.47,-0.09,
5,[3],,a6,0.98,-0.51,
6,[4],Be2,,0.83,-0.15,
7,[4],,Nc6,0.79,0.04,
8,[5],d4,,0.85,0.06,
9,[5],,cxd4,0.9,-0.05,
10,[6],Nxd4,,0.75,-0.15,
11,[6],,Qc7,1.03,-0.28,
12,[7],O-O,,0.87,-0.16,
13,[7],,Nf6,0.68,0.19,
14,[8],Be3,,0.79,0.11,
15,[8],,Be7,0.67,0.12,
16,[9],f4,,0.69,0.02,
17,[9],,d6,0.57,0.12,
18,[10],Kh1,,0.09,-0.48,
19,[10],,O-O,0.15,-0.06,
20,[11],Qe1,,0.07,-0.08,
21,[11],,Nxd4,0.56,-0.49,
22,[12],Bxd4,,0.25,-0.31,
23,[12],,b5,0.15,0.1,
24,[13],Qg3,,-0.05,-0.2,
25,[13],,Bb7,0.09,-0.14,
26,[14],a3,,-0.15,-0.24,
27,[14],,Rad8,0.36,-0.51,
28,[15],Rae1,,-0.09,-0.45,
29,[15],,Rd7,0.29,-0.38,
30,[16],Bd3,,0.0,-0.29,
31,[16],,Qd8,0.15,-0.15,
32,[17],Qh3,,0.13,-0.02,
33,[17],,g6,0.64,-0.51,
34,[18],f5,,-0.11,-0.75,
35,[18],,e5,0.46,-0.57,
36,[19],Be3,,0.61,0.15,
37,[19],,Re8,1.26,-0.65,
38,[20],fxg6,,0.27,-0.99,
39,[20],,hxg6,0.88,-0.61,
40,[21],Nd5,,0.0,-0.88,
41,[21],,Nxd5,0.0,0.0,
42,[22],Rxf7,,0.0,0.0,
43,[22],,Kxf7,0.0,0.0,
44,[23],Qh7+,,0.0,0.0,
45,[23],,Ke6,0.0,0.0,
46,[24],exd5+,,-0.69,-0.69,
47,[24],,Kxd5,-0.9,0.21,
48,[25],Be4+,,-1.15,-0.25,
49,[25],,Kxe4,0.0,-1.15,Erreur
50,[26],Qf7,,0.0,0.0,
51,[26],,Bf6,0.0,0.0,
52,[27],Bd2+,,0.0,0.0,
53,[27],,Kd4,0.0,0.0,
54,[28],Be3+,,0.0,0.0,
55,[28],,Ke4,0.0,0.0,
56,[29],Qb3,,-0.4,-0.4,
57,[29],,Kf5,0.0,-0.4,
58,[30],Rf1+,,0.0,0.0,
59,[30],,Kg4,0.0,0.0,
60,[31],Qd3,,0.0,0.0,
61,[31],,Bxg2+,0.48,-0.48,
62,[32],Kxg2,,1.11,0.63,
63,[32],,Qa8+,0.0,1.11,Erreur
64,[33],Kg1,,0.68,0.68,
65,[33],,Bg5,0.0,0.68,
66,[34],Qe2+,,0.0,0.0,
67,[34],,Kh4,2.17,-2.17,Erreur
68,[35],Bf2+,,0.49,-1.68,Erreur
69,[35],,Kh3,0.6,-0.11,
70,[36],Be1,,,,#-7#
