FEN;d19;d20
1B1R4/6pk/1p6/p1b2r1p/P3n3/1PP1P2P/6P1/4R1K1 w - - 0 32;373;375
1B1R4/6pk/1pN1p3/2b5/p3r3/6PK/8/8 w - - 2 41;0;0
1B1R4/6pk/2r4p/p7/Pp2Pp1n/1P3P1P/6P1/4K3 w - - 3 44;115;82
1B1R4/6pk/4b2p/1r6/8/8/5K1P/8 b - - 11 46;79;85
1B1R4/6pk/4r1n1/1pr4p/1R3p2/2N2PPb/1P2PK1P/8 w - - 2 35;327;356
1B1R4/6pk/5p1p/4p3/2p1P3/P4P1P/6P1/q4BK1 w - - 0 32;0;0
1B1R4/6pk/8/2p4p/2P5/3B2P1/qp3bNP/4R2K b - - 4 46;-4;-4
1B1R4/6pk/8/2p4p/2P5/6P1/qp2BbNP/4R2K w - - 3 45;5;5
1B1R4/6pk/8/P4p2/2p2P1p/3Pb3/1r6/4K3 w - - 4 31;-587;-651
1B1R4/6pk/P7/5p2/2p2P1p/3Pb3/1r6/4K3 b - - 0 32;677;810
1B1R4/6pk/P7/5p2/2p2P2/3Pb2p/1r6/4K3 w - - 0 32;-1096;-1127
1B1R4/6pk/b4p1p/2bNp3/4P3/5P2/1PP3PP/4K3 b - - 3 33;-918;-931
1B1R4/6pk/b4p1p/2bNp3/4P3/5P2/1PP3PP/5K2 w - - 2 32;903;909
1B1R4/6pk/b4p1p/3Np3/4P3/5P2/1PP3PP/4K1b1 w - - 4 33;947;956
1B1R4/6pk/r3P2p/8/pp6/8/5PPP/6K1 w - - 1 36;908;1023
1B1R4/6pk/r6p/p7/Pp2Pp1n/1P3P1P/6P1/4K3 b - - 2 44;-112;-122
1B1R4/6pp/2r1kp2/p2p4/3n4/P4P1P/6P1/6K1 w - - 4 38;-151;-146
1B1R4/6pp/2r1kp2/p2p4/P2n4/5P1P/6P1/6K1 b - - 0 39;175;182
1B1R4/6pp/8/4n3/4k1n1/6P1/4K3/8 b - - 2 54;-44;-44
1B1R4/6rp/2kP1p2/2p5/8/3r4/5K2/8 w - - 6 45;-508;-515
1B1R4/6rp/2kP1p2/2p5/8/6r1/5K2/8 b - - 5 45;660;687
1B1R4/7k/1pp1rp2/p1b3p1/4b3/2P2BPP/P4PK1/8 w - a6 0 31;-17;-24
1B1R4/7k/2p1n2p/6p1/1P3p2/1K5P/5PP1/8 b - - 0 48;-41;-55
1B1R4/7p/1n2p3/pp1b1p1k/5K1P/1P1P2P1/P7/8 w - - 0 41;472;478
1B1R4/7p/2p1k1p1/p3p3/P1n2P2/2P5/1rP3PP/6K1 b - - 0 30;50;46
1B1R4/7p/2p1k1p1/p3p3/P1n5/2P2P2/1rP3PP/6K1 w - - 5 29;0;0
1B1R4/7p/2p1k1p1/p7/P1n1pP2/2P5/1rP3PP/6K1 w - - 0 30;0;0
1B1R4/7p/4k1p1/p1p5/P1n2P2/2P1p3/2P1K1PP/1r6 b - - 1 34;93;91
1B1R4/7p/4kp2/5np1/2p5/6P1/2r2PKP/8 b - - 1 37;293;300
1B1R4/7p/5kp1/4p3/1r2K1P1/5P2/7b/8 w - - 1 40;-137;-129
1B1R4/7p/5kp1/4p3/1r4P1/3K1P2/7b/8 b - - 2 41;435;443
1B1R4/7p/5kp1/4p3/4K1P1/5P2/1r5b/8 b - g3 0 40;163;180
1B1R4/7p/5kp1/4p3/4K3/5P2/1r4Pb/8 w - - 5 39;-134;-132
1B1R4/7p/5kp1/8/1r2P1P1/3K4/7b/8 b - - 0 42;424;427
1B1R4/7p/5kp1/8/1r2p1P1/3K1P2/7b/8 w - - 0 41;-425;-443
1B1R4/7p/5pp1/3Pk3/2R3K1/6P1/5r1r/8 b - - 2 38;10;10
1B1R4/7p/6k1/3p2p1/5p2/3r3P/6K1/8 b - - 3 41;6;6
1B1R4/7p/kp4p1/nNr1b3/P3P3/6PP/6K1/8 b - - 16 39;193;193
1B1R4/7p/kpn3p1/1Nr1b3/P3P3/6PP/6K1/8 w - - 17 39;-185;-206
1B1R4/7p/pn2p3/1p1b1p1k/5K1P/1P1P2P1/P7/8 b - - 14 41;-307;-320
1B1R4/8/1bb1k3/3n4/4N3/1P3B1K/2r4P/8 w - - 6 50;202;196
1B1R4/8/1p2rnkp/pPp3p1/4q3/P5QP/5PP1/6K1 w - - 3 37;-3;-12
1B1R4/8/1p4kb/p4n2/P3p1n1/1P6/2N1K3/8 w - a6 0 55;332;326
1B1R4/8/1pk1np2/pN3b1p/2P2P2/1P6/1K5P/8 w - - 4 36;740;774
1B1R4/8/1pk2p2/pNn2b1p/2P2P2/1P6/1K5P/8 b - - 3 36;-697;-703
1B1R4/8/1r1p2p1/3k1b2/8/6K1/8/8 b - - 29 80;162;155
1B1R4/8/1r1p2p1/3k1b2/8/8/5K2/8 w - - 28 79;-137;-145
1B1R4/8/1r1pk1p1/5b2/8/6K1/8/8 w - - 30 80;-140;-138
1B1R4/8/2P5/6pp/3k4/4p2K/1r6/8 b - - 1 48;-4207;-2459
1B1R4/8/2P5/6pp/4k3/4p2K/1r6/8 w - - 2 48;906;1610
1B1R4/8/2b1k3/3n4/4N3/1P3B1K/2r2b1P/8 b - - 5 50;-115;-113
1B1R4/8/2b2r2/1p3k2/p4p2/P4P2/1P4P1/6K1 b - - 6 48;-132;-132
1B1R4/8/2b2r2/1p3k2/p4p2/P4P2/1P4P1/7K w - - 5 47;124;127
1B1R4/8/2k2p2/5pp1/3p4/8/P4PPP/6K1 b - - 1 40;-4803;-4810
1B1R4/8/2k5/2n5/P2p2p1/8/6r1/3K4 b - - 2 78;185;180
1B1R4/8/2k5/2n5/P5p1/3p4/6r1/3K4 w - - 0 78;-227;-225
1B1R4/8/2p2p2/3k4/1p1P1K2/2n4r/8/8 b - - 1 53;584;603
1B1R4/8/2p2p2/8/1pkP1K2/2n4r/8/8 w - - 2 53;-572;-611
1B1R4/8/3nk1p1/1pp3r1/8/P7/5K1P/8 b - - 5 40;155;158
1B1R4/8/3p2p1/3k1b2/8/1r6/5K2/8 b - - 27 79;143;143
1B1R4/8/3pb1p1/4k3/8/1r6/4K3/8 b - - 19 75;163;156
1B1R4/8/4b3/3p4/p1r5/K1P4p/1P3k2/8 w - - 32 72;-166;-165
1B1R4/8/4k1p1/1pp3r1/2n5/P7/5K1P/8 w - - 6 40;-164;-158
1B1R4/8/4k1p1/4Pb2/4r2p/8/3K4/8 w - - 2 59;-220;-214
1B1R4/8/4k1p1/4pp1p/8/3b3P/5PPK/r7 b - - 5 45;61;58
1B1R4/8/4k1p1/5p1p/4p2P/3b2K1/r4PP1/8 b - - 2 47;48;40
1B1R4/8/4k1p1/5p1p/4p2P/3b4/5PPK/r7 b - - 0 46;56;51
1B1R4/8/4k1p1/5p1p/4p2P/3b4/r4PPK/8 w - - 1 46;-57;-58
1B1R4/8/4k1p1/5p1p/4p2P/6K1/r4PP1/5b2 w - - 3 47;-41;-37
1B1R4/8/4k1p1/5p1p/4p3/3b3P/5PPK/r7 w - - 0 45;-56;-56
1B1R4/8/4k3/4b3/2p1r1p1/6P1/5P2/5K2 w - - 4 64;-15;-15
1B1R4/8/4k3/4p3/4r1p1/5bK1/8/8 w - - 4 107;-143;-136
1B1R4/8/4k3/8/4n1p1/4Pb2/7K/8 b - - 43 77;-107;-106
1B1R4/8/4kp2/5npp/2p5/6P1/2r2PKP/8 w - h6 0 37;-220;-226
1B1R4/8/4kp2/5npp/2p5/6PP/1r3PK1/8 w - - 1 38;-276;-275
1B1R4/8/4kp2/5npp/2p5/6PP/2r2PK1/8 b - - 0 38;276;298
1B1R4/8/4kp2/8/6p1/5r1p/4K3/8 w - - 34 76;-14;-8
1B1R4/8/4np2/3p1k2/6p1/3r4/4K2P/8 w - - 6 58;-307;-304
1B1R4/8/5p2/2np1k2/6p1/3r4/4K2P/8 b - - 5 58;236;247
1B1R4/8/5p2/2np1k2/6p1/3r4/5K1P/8 w - - 4 57;-284;-281
1B1R4/8/5p2/2np1k2/6p1/4r1K1/7P/8 w - - 2 56;-228;-227
1B1R4/8/5p2/2np1k2/6p1/4r3/5K1P/8 b - - 3 57;222;224
1B1R4/8/5p2/2nprk2/6p1/5K2/7P/8 w - - 0 55;-268;-275
1B1R4/8/5p2/2nprk2/6p1/6K1/7P/8 b - - 1 56;287;299
1B1R4/8/5p2/2nprkp1/8/5K2/7P/8 b - - 3 55;272;279
1B1R4/8/5p2/3k4/6p1/5r1p/4K3/8 b - - 33 76;21;19
1B1R4/8/5p2/8/2k3p1/5r1p/4K3/8 w - - 30 74;-19;-13
1B1R4/8/5p2/8/3k2p1/5r1p/4K3/8 b - - 29 74;12;12
1B1R4/8/6k1/3p2pp/5p2/3r3P/6K1/8 w - h6 0 41;14;12
1B1R4/8/6k1/5npp/3pr3/7P/6P1/6K1 b - - 5 42;69;72
1B1R4/8/6p1/1pr2p1n/6k1/1P6/7P/4K3 w - f6 0 48;-168;-173
1B1R4/8/6p1/3kPb2/4r2p/8/3K4/8 b - - 1 59;212;218
1B1R4/8/7p/3p2pn/3k1p2/5P2/5P2/6K1 w - - 2 38;548;554
1B1R4/8/7p/3pk1pn/5p2/5P2/5P2/6K1 b - - 1 38;-529;-542
1B1R4/8/8/2k3p1/6rp/8/5n1K/8 b - - 11 58;148;143
1B1R4/8/8/2k3p1/r6p/8/5n1K/8 w - - 12 58;-65;-65
1B1R4/8/8/3kb3/2p1r1p1/6P1/5P2/5K2 b - - 3 64;14;13
1B1R4/8/8/3kp3/4r1p1/5bK1/8/8 b - - 3 107;139;133
1B1R4/8/8/3p4/p1r3b1/K1P4p/1P3k2/8 b - - 31 72;180;171
1B1R4/8/8/5k2/2r2p2/4p3/5r2/4N1K1 b - - 3 73;6;6
1B1R4/8/8/5k2/2r2p2/4p3/5r2/4NK2 w - - 2 72;-6;-6
1B1R4/8/8/5k2/2r2p2/4p3/r7/4NK2 b - - 1 72;7;7
1B1R4/8/8/5k2/5p2/4p3/5r2/2r1N1K1 w - - 4 73;-5;-5
1B1R4/8/8/5kp1/8/7p/2K5/8 w - - 1 55;4738;4742
1B1R4/8/8/6p1/6k1/7p/2K5/8 b - - 0 55;-4746;-4750
1B1R4/8/K7/P7/2r1k3/8/8/8 b - - 1 71;-972;-1050
1B1R4/8/K7/P7/3rk3/8/8/8 w - - 2 71;15;15
1B1R4/8/P7/6k1/1Kp3n1/2P1b2p/1P4b1/8 b - - 17 67;0;0
1B1R4/8/P7/6k1/1Kp5/2P1b2p/1P3nb1/8 w - - 18 67;0;6
1B1R4/8/p1k3p1/1p3nP1/4p2p/2P4r/PP6/4K3 b - - 1 50;279;264
1B1R4/8/p1k3p1/1p3nP1/4p2p/2P5/PP3K2/7r b - - 3 51;346;368
1B1R4/8/p1k3p1/1p3nP1/4p2p/2P5/PP6/4K2r w - - 2 50;-256;-268
1B1R4/8/p1k3p1/1p3nP1/7p/2P1p3/PP2K3/6r1 w - - 2 52;-356;-364
1B1R4/8/p1k3p1/1p3nP1/7p/2P1p3/PP2K3/7r b - - 1 52;350;372
1B1R4/8/p1k3p1/1p3nP1/7p/2P1p3/PP3K2/7r w - - 0 51;-337;-343
1B1R4/8/p2nr3/6pp/6k1/3K4/7P/8 b - - 3 46;191;228
1B1R4/8/p3r2p/2kn4/P1p2p2/5P2/1P1K2PP/8 b - - 2 42;-108;-117
1B1R4/8/p4ppk/2p4p/4BP2/Pq6/4K3/8 b - - 3 38;560;573
1B1R4/8/p4r1p/2kn4/P1p5/5PP1/1P1K4/8 w - - 1 44;146;145
1B1R4/8/p5rp/2kn4/P1p2p2/5P2/1P1K2PP/8 w - - 3 42;123;124
1B1R4/8/p5rp/2kn4/P1p2p2/5PP1/1P1K3P/8 b - - 0 43;-131;-118
1B1R4/8/p5rp/2kn4/P1p5/5PP1/1P1K4/8 b - - 0 44;-132;-121
1B1R4/8/p5rp/2kn4/P1p5/5Pp1/1P1K3P/8 w - - 0 43;127;127
1B1R4/8/p7/8/4r2p/2K2kn1/8/8 w - - 8 57;-286;-280
1B1R4/8/p7/8/4r2p/5kn1/3K4/8 b - - 9 58;294;290
1B1R4/8/p7/8/4r2p/6n1/3K2k1/8 w - - 10 58;-277;-279
1B1R4/8/p7/8/6rp/2K2kn1/8/8 b - - 7 57;289;311
1B1R4/8/pq3ppk/2p4p/4BP2/P7/4K3/8 w - - 4 38;-602;-609
1B1R4/8/pr6/5kp1/P3b3/KP4P1/8/8 b - - 23 58;-57;-70
1B1R4/8/pr6/5kp1/P7/KP3bP1/8/8 w - - 24 58;67;70
1B1R4/K7/7p/8/5b2/5k1P/8/8 b - - 0 64;-591;-599
1B1R4/K7/7p/8/8/4bk1P/8/8 w - - 1 64;600;601
1B1R4/P4pkp/1p4p1/1Pn5/1p2q3/2b5/5PPP/5RK1 w - - 3 32;720;702
1B1R4/P4ppk/7p/2K5/2p5/2P3P1/7P/r4b2 b - - 18 49;-227;-234
1B1R4/P4ppk/7p/2K5/2p5/2Pb2P1/7P/r7 w - - 19 49;237;229
1B1R4/P5p1/5pk1/7p/1bK5/r5P1/3p1P1P/8 b - - 12 42;-174;-231
1B1R4/P5p1/5pk1/7p/2K5/r1b3P1/3p1P1P/8 w - - 13 42;265;251
1B1R4/P5pk/8/5p2/2P2P2/4b2p/r7/4K3 b - - 0 34;11;10
1B1R4/P5pk/8/5p2/2P2P2/4b3/r6p/4K3 w - - 0 34;-10;-9
1B1R4/P5pk/8/5p2/2p2P2/3Pb2p/1r6/4K3 b - - 0 33;1380;1422
1B1R4/P5pk/8/5p2/2p2P2/3Pb2p/r7/4K3 w - - 1 33;-1525;-2354
1B1R4/P7/1K2p3/1p1b1k2/1P3P2/8/r7/8 b - - 4 69;-380;-380
1B1R4/P7/1K2p3/1p3k2/1Pb2P2/8/r7/8 w - - 5 69;393;391
1B1R4/P7/1K3r2/1P6/4k3/8/7P/r7 w - - 3 71;564;562
1B1R4/P7/1K6/1P3r2/4k3/8/7P/r7 b - - 2 71;-521;-536
1B1R4/P7/8/1p1b1p2/1Pk5/6P1/r7/4K3 b - - 12 72;-26;-26
1B1R4/P7/8/1p3p2/1Pk1b3/6P1/r7/4K3 w - - 13 72;51;58
1B1R4/P7/8/8/2p5/1p6/rK2k3/8 w - - 11 75;519;542
1B1R4/P7/8/8/2p5/1pK5/2r1k3/8 w - - 13 76;476;544
1B1R4/P7/8/8/2p5/1pK5/r3k3/8 b - - 12 76;-879;-891
1B1R4/P7/8/8/2p5/rp2k3/8/1K6 b - - 8 74;-381;-388
1B1R4/P7/8/8/2p5/rp6/1K2k3/8 b - - 10 75;-790;-847
1B1R4/P7/8/8/2p5/rp6/4k3/1K6 w - - 9 74;534;883
1B1R4/P7/8/8/2pK4/1p6/2r1k3/8 b - - 14 77;-443;-450
1B1R4/P7/8/8/2pK4/1p6/r3k3/8 w - - 15 77;872;880
1B1R4/PK3r2/8/1P6/4k3/8/7P/r7 w - - 5 72;595;603
1B1R4/PK6/5r2/1P6/4k3/8/7P/r7 b - - 4 72;-608;-630
1B1R4/kb3p2/1pq1p3/p7/P1P1nP2/6r1/1PB1Q3/1K6 b - - 3 33;-27;-10
1B1R4/kb3p2/1pq1p3/p7/P1P1nP2/6r1/1PB1Q3/1K6 b - - 7 35;-27;-10
1B1R4/kb3p2/pp6/7p/P1p4P/2P5/4r1P1/6K1 b - - 3 41;0;0
1B1R4/kb3pp1/pp6/nP1p4/3P4/6Pp/P4P1P/1q3BK1 b - - 2 31;0;0
1B1R4/kb3r2/8/r1p4p/6pP/8/1R4P1/7K b - - 3 48;-542;-536
1B1R4/kp1B1p1r/p4rp1/8/2n1P3/P5P1/5P1P/2R3K1 b - - 3 41;-2243;-5031
1B1R4/kp1n4/p5p1/P4p1p/1P2p2P/4P3/5PPK/3r4 b - - 7 41;-407;-422
1B1R4/kp3p2/p3p3/6p1/6Pr/1P3PQp/Pq4bK/8 b - - 3 38;-3;-3
1B1R4/kp3ppp/pb6/8/P3r3/2P5/1P3PPP/5K2 b - - 2 26;-179;-190
1B1R4/p1P4p/5p2/8/5P2/4k3/P5PP/6K1 w - - 2 39;2;2
1B1R4/p1P4p/5p2/8/5P2/8/P3k1PP/6K1 b - - 1 39;-2;-2
1B1R4/p2r4/1p3pk1/2nP2p1/8/8/P7/6K1 w - - 1 56;-336;-341
1B1R4/p3n1k1/1p2Pb2/1P2pB2/P1r2p2/5P2/7P/7K w - - 4 47;328;334
1B1R4/p3pk1p/1p2bpp1/8/2n4P/2P3P1/r3PPB1/6K1 w - - 3 27;-91;-96
1B1R4/p3pk1p/2p1rppn/2p5/2P2PP1/1P2b2P/P3P1K1/8 b - - 3 25;372;374
1B1R4/p3pk1p/2p1rppn/2p5/2Pb1PP1/1P3K1P/P3P3/8 b - - 5 26;518;526
1B1R4/p3pk1p/2p1rppn/2p5/2Pb1PP1/1P5P/P3P1K1/8 w - - 4 25;-363;-368
1B1R4/p3pk1p/2p2ppn/2p5/2Pb1PP1/1P2rK1P/P3P3/8 w - - 6 26;-527;-528
1B1R4/p3ppkp/4bbp1/8/q7/6P1/4PPBP/3R2K1 b - - 0 21;162;158
1B1R4/p3r1k1/1p6/2p2p1p/1P4pP/P7/b2K4/8 b - - 0 59;262;252
1B1R4/p3r1k1/1p6/2p2p1p/4b1pP/1P6/P2K4/8 b - - 7 57;260;259
1B1R4/p3r1k1/1p6/2p2p1p/6pP/1P6/P2K4/1b6 w - - 8 57;-236;-245
1B1R4/p3r1k1/1p6/2p2p1p/6pP/PP6/3K4/1b6 b - - 0 58;247;241
1B1R4/p3r1k1/1p6/2p2p1p/6pP/PP6/b2K4/8 w - - 1 58;-237;-243
1B1R4/p3r1k1/1p6/5p1p/1P4pP/8/b2K4/8 b - - 0 60;261;257
1B1R4/p3r1k1/1p6/5p1p/1p4pP/P7/b2K4/8 w - - 0 59;-257;-251
1B1R4/p3r1pk/1p4np/5p2/4n3/1B5P/P4PP1/6K1 b - - 1 38;20;20
1B1R4/p3r1pk/1p4np/5p2/4n3/7P/P4PP1/3B2K1 w - f6 0 37;58;51
1B1R4/p3r1pk/1p5p/4np2/4n3/1B5P/P4PP1/6K1 w - - 2 38;-19;-21
1B1R4/p3r1pk/P3b1np/5p2/8/3QpP2/1q2B1PP/5K2 b - - 7 44;115;117
1B1R4/p3r1pk/P5np/5p2/2Q5/4pP2/1q2B1PP/5K2 b - - 0 45;58;46
1B1R4/p3r1pk/P5np/5p2/2Q5/4pP2/4B1PP/1q3K2 w - - 1 45;-57;-56
1B1R4/p3r1pk/P5np/5p2/2b5/3QpP2/1q2B1PP/5K2 w - - 8 44;-68;-55
1B1R4/p3r3/1p3pk1/2nP2p1/8/8/P7/6K1 b - - 0 56;328;336
1B1R4/p3r3/1p3pk1/2nb2p1/2P5/8/P7/6K1 w - - 0 55;-324;-318
1B1R4/p3r3/1p3pk1/2p4p/2P5/1P3KP1/P6P/2b5 w - - 7 38;32;30
1B1R4/p3r3/1p3pkb/2p4p/2P5/1P3KP1/P6P/8 b - - 6 38;-33;-32
1B1R4/p3r3/1pb2pk1/2n3p1/2P5/4N3/P7/6K1 w - - 11 54;-257;-262
1B1R4/p3r3/1pb2pk1/2nN2p1/2P5/8/P7/6K1 b - - 12 55;309;321
1B1R4/p3r3/1pb2pk1/6p1/2P1n3/4N3/P7/6K1 b - - 10 54;253;255
1B1R4/p3rbk1/1p3b2/6p1/P5Bp/7P/2P2PP1/6K1 b - - 1 41;662;668
1B1R4/p3rbk1/1p3b2/6p1/P6p/5B1P/2P2PP1/6K1 w - - 0 40;6;11
1B1R4/p3rbk1/1p3b2/6pp/P7/5B1P/2P2PP1/6K1 b - - 1 40;623;628
1B1R4/p3rkp1/P4p2/4n3/8/8/5KP1/8 w - - 3 43;-79;-77
1B1R4/p3rkp1/P4p2/8/2n5/8/5KP1/8 b - - 2 43;87;81
1B1R4/p3rkpp/1p2pn2/n1p5/P1P5/2K3P1/2P3BP/8 w - - 5 33;-24;-31
1B1R4/p3rp1k/2p4p/6p1/2P5/1P4P1/P1b4P/5K2 w - - 2 31;20;13
1B1R4/p3rpk1/1p3n2/6pn/3P4/P5P1/2r1NK2/4R3 w - - 1 30;-139;-146
1B1R4/p3rpkn/1p3n2/6p1/3P4/8/P1r1NKP1/4R3 w - - 10 28;-126;-132
1B1R4/p3rpkn/1p3n2/6p1/3P4/P7/2r1NKP1/4R3 b - - 0 29;273;275
1B1R4/p3rpkn/1p6/6pn/3P4/P5P1/2r1NK2/4R3 b - - 0 30;192;195
1B1R4/p3rpkn/1p6/6pn/3P4/P7/2r1NKP1/4R3 w - - 1 29;-88;-98
1B1R4/p3rppk/1p4np/8/4n3/7P/P4PP1/3B2K1 b - - 5 37;0;13
1B1R4/p3rppk/Pp5p/8/4p3/1PP1P3/4K3/8 w - - 6 41;446;453
1B1R4/p4Nbk/1p4pp/5n2/8/7P/1P3PPK/5r2 b - - 0 33;146;152
1B1R4/p4Nbk/1p4pp/5n2/8/7P/1P3rPK/8 w - - 0 33;-163;-143
1B1R4/p4k1p/2p1rp2/8/2b1PP2/8/P5PP/6K1 b - - 3 26;0;6
1B1R4/p4k1p/2p2p2/8/2b1rP2/8/P5PP/6K1 w - - 0 26;0;0
1B1R4/p4k1p/2p2pp1/2b5/1r6/6P1/P1P2P1P/6K1 b - - 0 33;130;136
1B1R4/p4k1p/2p2pp1/2b5/1r6/8/P1P2PPP/6K1 w - - 3 32;-82;-82
1B1R4/p4k2/1pr2p2/4p1p1/P3P3/1P6/3K4/8 b - - 3 49;-144;-161
1B1R4/p4k2/8/2pP1r1p/2P4p/8/8/7K b - - 0 55;-220;-227
1B1R4/p4k2/8/2pP3p/2P4p/8/6K1/2r5 w - - 3 56;168;174
1B1R4/p4k2/8/2pP3p/2P4p/8/6K1/5r2 b - - 2 56;-157;-169
1B1R4/p4k2/8/2pP3p/2P4p/8/8/5r1K w - - 1 55;235;238
1B1R4/p4kp1/6bp/2r5/2N1p1P1/P3P3/6P1/6K1 b - - 0 33;-104;-103
1B1R4/p4kp1/6bp/8/2r1p1P1/P3P3/6P1/6K1 w - - 0 33;104;102
1B1R4/p4kpp/1p2pp2/8/4P3/1P4P1/r4b1P/5K2 w - - 2 28;-192;-189
1B1R4/p4kpp/1p3p2/8/2P5/4nPP1/r6P/6K1 w - - 4 40;-115;-110
1B1R4/p4kpp/5p2/8/8/5P2/r5PP/6K1 w - - 2 31;364;362
1B1R4/p4p1k/2p4p/6p1/2P1r3/1P4P1/P1b4P/5K2 b - - 1 31;-18;-22
1B1R4/p4pbk/1p4pp/4Nn2/8/7P/1P3PPK/5r2 w - - 8 32;-57;-71
1B1R4/p4pbk/1p4pp/5n2/P3r3/5N1P/1P3PP1/6K1 b - - 4 28;16;22
1B1R4/p4pbk/1p4pp/5n2/r7/5N1P/1P3PP1/6K1 w - - 0 28;-12;-19
1B1R4/p4pbk/1p4pp/5r2/8/2P4P/PP4P1/6K1 b - - 2 35;-32;-36
1B1R4/p4pkn/1p3n2/6p1/2rP4/4r3/P3N1P1/4R1K1 b - - 7 27;246;238
1B1R4/p4pkn/1p3n2/6p1/3P4/4r3/P1r1N1P1/4R1K1 w - - 8 27;-279;-315
1B1R4/p4pkn/1p3n2/6p1/3P4/4r3/P1r1NKP1/4R3 b - - 9 28;412;418
1B1R4/p4pkp/4r1p1/2b5/P7/1r5P/6P1/5R1K b - - 0 31;124;122
1B1R4/p4pkp/4r1p1/2b5/P7/1r6/6PP/5R1K w - - 6 30;-131;-134
1B1R4/p4pkp/6p1/8/8/r5P1/Pb3P1P/6K1 w - - 2 29;-6;-3
1B1R4/p4pp1/1pb1r1kp/3p4/4n3/1P2P3/P4PPP/2R1K3 b - - 6 27;-222;-228
1B1R4/p4ppk/1p5p/1P6/3n4/6PK/r6P/8 b - - 8 42;265;281
1B1R4/p4ppk/1p5p/1n6/8/6PK/r6P/8 w - - 0 42;-273;-272
1B1R4/p4ppk/1p6/8/r7/8/b4P1P/6K1 b - - 1 39;229;236
1B1R4/p4ppk/1r5p/2p5/b7/P1P1P2P/5PP1/6K1 b - - 0 28;-67;-62
1B1R4/p4ppk/1r5p/2p5/b7/P1P1P3/5PPP/6K1 w - - 3 27;67;72
1B1R4/p4ppk/2b4p/2P2P2/8/P5P1/1r5P/6K1 b - - 0 30;-19;-24
1B1R4/p4ppk/2b4p/2P2P2/8/P5P1/6rP/5K2 b - - 2 31;-18;-16
1B1R4/p4ppk/2b4p/2P2P2/8/P5P1/6rP/6K1 w - - 1 30;11;14
1B1R4/p4ppk/2b4p/2P2P2/8/P5P1/7r/5K2 w - - 0 31;19;20
1B1R4/p4ppk/2b4p/2P2P2/8/P7/1r4PP/6K1 w - - 2 29;20;23
1B1R4/p4ppk/3N3p/2b5/4r3/P7/1PP3PP/R4K2 b - - 3 23;-1094;-1091
1B1R4/p4ppk/3N3p/2b5/5r2/P2K4/1PP3PP/R7 w - - 8 25;1476;1482
1B1R4/p4ppk/3N3p/2b5/5r2/P7/1PP1K1PP/R7 b - - 5 24;-1106;-1124
1B1R4/p4ppk/3N3p/2b5/5r2/P7/1PP3PP/R4K2 w - - 4 23;1090;1098
1B1R4/p4ppk/3N3p/2b5/8/P2K4/1PP2rPP/R7 b - - 7 25;-1139;-1136
1B1R4/p4ppk/3N3p/2b5/8/P7/1PP1KrPP/R7 w - - 6 24;1118;1131
1B1R4/p4ppk/7p/1Nb5/5r2/P2K4/1PP3PP/R7 b - - 9 26;-1137;-1148
1B1R4/p4ppk/7p/2b5/2N1r3/P7/1PP3PP/R4K2 w - - 2 22;1137;1139
1B1R4/p4r1p/2N3nk/4p1n1/1P2P3/6P1/P7/6K1 b - - 2 41;-48;-31
1B1R4/p4r1p/2N3nk/4p3/1P2n3/6P1/P7/6K1 w - - 0 41;116;118
1B1R4/p4r1p/6nk/4N3/1P2n3/6P1/P7/6K1 b - - 0 42;-122;-115
1B1R4/p4r1p/7k/4n3/1P2n3/6P1/P7/6K1 w - - 0 42;105;99
1B1R4/p4r1p/Pp4p1/1Bn5/4kp1P/8/6K1/8 w - - 2 47;256;250
1B1R4/p4r1p/Pp4p1/1Bnk4/5p1P/8/6K1/8 b - - 1 47;-260;-262
1B1R4/p4r1p/PpB3p1/2n5/4kp1P/8/6K1/8 b - - 3 48;-173;-186
1B1R4/p4r1p/PpB3p1/2n5/5p1P/4k3/6K1/8 w - - 4 48;177;170
1B1R4/p4rpk/1p5p/2p5/2P1n3/P7/7P/7K w - - 0 37;-237;-243
1B1R4/p5bk/4pp2/6pp/4P3/1P3PKP/r5P1/8 w - - 2 30;21;15
1B1R4/p5p1/1p2k3/3b1n1p/8/P7/1P3P1P/6K1 b - - 4 45;-180;-186
1B1R4/p5pk/1p4np/2p4P/4q3/2P3K1/3Q2P1/7r b - - 0 47;857;861
1B1R4/p5pk/1p4np/2p4P/7q/2P2K2/3Q2P1/5r2 w - - 3 48;-853;-873
1B1R4/p5pk/1p4np/2p4P/7q/2P2K2/3Q2P1/7r b - - 2 48;867;878
1B1R4/p5pk/1p4np/2p4P/7q/2P3K1/3Q2P1/7r w - - 1 47;-841;-856
1B1R4/p5pk/1p4np/2p5/4q2P/2P3K1/3Q2P1/7r w - - 16 46;-800;-809
1B1R4/p5pk/1p4np/2p5/7P/2P1Q3/6PK/1q2r3 w - - 12 44;-583;-638
1B1R4/p5pk/1p4np/2p5/7P/2P1Q3/6PK/1q3r2 b - - 11 44;654;646
1B1R4/p5pk/1p4np/2p5/7P/2P3K1/3Q2P1/1q5r b - - 15 46;785;793
1B1R4/p5pk/1p4np/2p5/7P/2P5/3Q2PK/1q2r3 b - - 13 45;720;762
1B1R4/p5pk/1p4np/2p5/7P/2P5/3Q2PK/1q5r w - - 14 45;-650;-658
1B1R4/p5pk/2p1b2p/2P2p2/8/P3qP2/6PP/3R3K w - - 4 27;25;25
