Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.06,0.06,
1,[1],,d5,0.17,-0.11,
2,[2],Nf3,,0.06,-0.11,
3,[2],,c6,0.55,-0.49,
4,[3],Bf4,,0.65,0.1,
5,[3],,Bf5,0.78,-0.13,
6,[4],e3,,0.43,-0.35,
7,[4],,Qb6,0.63,-0.2,
8,[5],Bd3,,0.88,0.25,
9,[5],,Bxd3,0.02,0.86,
10,[6],Qxd3,,0.26,0.24,
11,[6],,Qxb2,-4.29,4.55,Gaffe
12,[7],O-O,,0.54,4.83,Gaffe
13,[7],,e6,1.23,-0.69,
14,[8],c4,,-4.93,-6.16,Gaffe
15,[8],,Nf6,1.03,-5.96,Gaffe
16,[9],Nbd2,,1.33,0.3,
17,[9],,Qb6,1.58,-0.25,
18,[10],Rfb1,,0.55,-1.03,Erreur
19,[10],,Qa6,0.72,-0.17,
20,[11],Qb3,,0.57,-0.15,
21,[11],,b6,0.68,-0.11,
22,[12],a4,,0.64,-0.04,
23,[12],,Qa5,3.27,-2.63,Erreur
24,[13],Qc2,,3.96,0.69,
25,[13],,dxc4,1.36,2.6,Erreur
26,[14],e4,,1.46,0.1,
27,[14],,c3,6.43,-4.97,Gaffe
28,[15],Nc4,,0.04,-6.39,Gaffe
29,[15],,Qa6,0.55,-0.51,
30,[16],Qxc3,,1.15,0.6,
31,[16],,Be7,0.81,0.34,
32,[17],Ncd2,,0.37,-0.44,
33,[17],,O-O,0.58,-0.21,
34,[18],Bxb8,,0.1,-0.48,
35,[18],,Raxb8,0.32,-0.22,
36,[19],Qxc6,,-3.67,-3.99,Gaffe
37,[19],,Rfc8,0.03,-3.7,Gaffe
38,[20],Qb5,,0.0,-0.03,
39,[20],,Qb7,0.11,-0.11,
40,[21],Qd3,,0.25,0.14,
41,[21],,Rc7,0.18,0.07,
42,[22],Rc1,,-0.22,-0.4,
43,[22],,Rbc8,-0.31,0.09,
44,[23],Rxc7,,-0.43,-0.12,
45,[23],,Rxc7,-0.25,-0.18,
46,[24],h3,,-0.16,0.09,
47,[24],,Qc8,-0.55,0.39,
48,[25],Qb5,,-0.56,-0.01,
49,[25],,h6,-0.39,-0.17,
50,[26],g3,,-0.5,-0.11,
51,[26],,Rc2,-2.01,1.51,Erreur
52,[27],Kg2,,-0.04,1.97,Erreur
53,[27],,Qc3,-0.72,0.68,
54,[28],Rd1,,-0.19,0.53,
55,[28],,Qb4,0.45,-0.64,
56,[29],Rb1,,0.02,-0.43,
57,[29],,Qc3,0.27,-0.25,
58,[30],Rd1,,-0.19,-0.46,
59,[30],,Rb2,0.0,-0.19,
60,[31],Qe5,,-5.07,-5.07,Gaffe
61,[31],,Nd7,-2.74,-2.33,Erreur
62,[32],Qf4,,-3.51,-0.77,
63,[32],,g5,-0.3,-3.21,Gaffe
64,[33],Qe3,,-0.47,-0.17,
65,[33],,Qxe3,-0.94,0.47,
66,[34],fxe3,,-0.94,0.0,
67,[34],,Bb4,-0.68,-0.26,
68,[35],Kf1,,-1.43,-0.75,
69,[35],,Ra2,-1.02,-0.41,
70,[36],e5,,-1.14,-0.12,
71,[36],,f5,-1.09,-0.05,
72,[37],g4,,-0.86,0.23,
73,[37],,Kf8,-0.79,-0.07,
74,[38],Ke2,,-0.85,-0.06,
75,[38],,Rxa4,-1.06,0.21,
76,[39],Rc1,,-0.67,0.39,
77,[39],,Ra2,-0.66,-0.01,
78,[40],Rc8+,,-0.21,0.45,
79,[40],,Ke7,-0.21,0.0,
80,[41],Rh8,,-0.25,-0.04,
81,[41],,a5,-0.28,0.03,
82,[42],Rh7+,,-0.17,0.11,
83,[42],,Kd8,-0.19,0.02,
84,[43],Rxh6,,-0.53,-0.34,
85,[43],,Nf8,0.22,-0.75,
86,[44],Kd3,,-0.35,-0.57,
87,[44],,b5,-0.01,-0.34,
88,[45],Rh8,,-0.44,-0.43,
89,[45],,a4,0.65,-1.09,Erreur
90,[46],Rg8,,-0.44,-1.09,Erreur
91,[46],,a3,-0.48,0.04,
92,[47],gxf5,,-1.55,-1.07,Erreur
93,[47],,exf5,0.65,-2.2,Erreur
94,[48],Rxg5,,0.43,-0.22,
95,[48],,Ra1,0.24,0.19,
96,[49],Rg7,,0.16,-0.08,
97,[49],,Rc1,0.62,-0.46,
98,[50],Ra7,,0.48,-0.14,
99,[50],,Ne6,0.0,0.48,
100,[51],h4,,0.56,0.56,
101,[51],,Rc3+,0.66,-0.1,
102,[52],Ke2,,0.18,-0.48,
103,[52],,f4,0.0,0.18,
104,[53],exf4,,0.0,0.0,
105,[53],,Nxf4+,0.08,-0.08,
106,[54],Kd1,,0.32,0.24,
107,[54],,Kc8,-1.5,1.82,Erreur
108,[55],e6,,-2.18,-0.68,
109,[55],,Kb8,-1.37,-0.81,
110,[56],Ne4,,-4.21,-2.84,Erreur
111,[56],,Rd3+,-4.21,0.0,
112,[57],Kc2,,-5.52,-1.31,Erreur
113,[57],,Kxa7,-6.96,1.44,Erreur
114,[58],Ne5,,-6.29,0.67,
115,[58],,Re3,-6.04,-0.25,
116,[59],Nc6+,,-6.04,0.0,
117,[59],,Kb6,-5.87,-0.17,
118,[60],Nxb4,,-5.85,0.02,
119,[60],,Rxe4,-5.94,0.09,
120,[61],d5,,-10.94,-5.0,Gaffe
121,[61],,Nxe6,-6.22,-4.72,Gaffe
122,[62],dxe6,,-6.1,0.12,
123,[62],,Rxb4,-6.18,0.08,
