Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.31,0.31,
1,[1],,c5,0.43,-0.12,
2,[2],Nf3,,0.3,-0.13,
3,[2],,e6,0.22,0.08,
4,[3],Nc3,,0.37,0.15,
5,[3],,a6,0.67,-0.3,
6,[4],Be2,,0.39,-0.28,
7,[4],,Nc6,0.39,0.0,
8,[5],d4,,0.71,0.32,
9,[5],,cxd4,0.39,0.32,
10,[6],Nxd4,,0.55,0.16,
11,[6],,Qc7,0.44,0.11,
12,[7],O-O,,0.41,-0.03,
13,[7],,Nf6,0.36,0.05,
14,[8],Be3,,0.38,0.02,
15,[8],,Be7,0.38,0.0,
16,[9],f4,,0.34,-0.04,
17,[9],,d6,0.29,0.05,
18,[10],Kh1,,0.13,-0.16,
19,[10],,O-O,0.11,0.02,
20,[11],Qe1,,0.09,-0.02,
21,[11],,Nxd4,0.23,-0.14,
22,[12],Bxd4,,0.22,-0.01,
23,[12],,b5,0.28,-0.06,
24,[13],Qg3,,0.15,-0.13,
25,[13],,Bb7,0.26,-0.11,
26,[14],a3,,0.19,-0.07,
27,[14],,Rad8,0.24,-0.05,
28,[15],Rae1,,0.13,-0.11,
29,[15],,Rd7,0.18,-0.05,
30,[16],Bd3,,0.21,0.03,
31,[16],,Qd8,0.23,-0.02,
32,[17],Qh3,,0.33,0.1,
33,[17],,g6,0.5,-0.17,
34,[18],f5,,0.81,0.31,
35,[18],,e5,0.65,0.16,
36,[19],Be3,,0.87,0.22,
37,[19],,Re8,1.13,-0.26,
38,[20],fxg6,,0.89,-0.24,
39,[20],,hxg6,0.84,0.05,
40,[21],Nd5,,0.0,-0.84,
41,[21],,Nxd5,0.0,0.0,
42,[22],Rxf7,,0.0,0.0,
43,[22],,Kxf7,0.0,0.0,
44,[23],Qh7+,,0.0,0.0,
45,[23],,Ke6,0.0,0.0,
46,[24],exd5+,,0.0,0.0,
47,[24],,Kxd5,0.0,0.0,
48,[25],Be4+,,0.0,0.0,
49,[25],,Kxe4,0.0,0.0,
50,[26],Qf7,,0.0,0.0,
51,[26],,Bf6,0.0,0.0,
52,[27],Bd2+,,0.0,0.0,
53,[27],,Kd4,0.0,0.0,
54,[28],Be3+,,0.0,0.0,
55,[28],,Ke4,0.0,0.0,
56,[29],Qb3,,0.0,0.0,
57,[29],,Kf5,0.0,0.0,
58,[30],Rf1+,,0.0,0.0,
59,[30],,Kg4,0.0,0.0,
60,[31],Qd3,,0.0,0.0,
61,[31],,Bxg2+,13.74,-13.74,Gaffe
62,[32],Kxg2,,14.79,1.05,Erreur
63,[32],,Qa8+,12.06,2.73,Erreur
64,[33],Kg1,,14.87,2.81,Erreur
65,[33],,Bg5,,,#9#
66,[34],Qe2+,,,,#-8#
67,[34],,Kh4,,,#8#
68,[35],Bf2+,,,,#-7#
69,[35],,Kh3,,,#7#
70,[36],Be1,,,,#-6#
