Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,-0.47,-0.47,
1,[1],,c5,1.62,-2.09,Erreur
2,[2],Nf3,,0.32,-1.3,Erreur
3,[2],,e6,1.82,-1.5,Erreur
4,[3],Nc3,,0.83,-0.99,
5,[3],,a6,1.82,-0.99,
6,[4],Be2,,1.13,-0.69,
7,[4],,Nc6,1.45,-0.32,
8,[5],d4,,0.91,-0.54,
9,[5],,cxd4,1.24,-0.33,
10,[6],Nxd4,,0.84,-0.4,
11,[6],,Qc7,1.79,-0.95,
12,[7],O-O,,0.74,-1.05,Erreur
13,[7],,Nf6,1.63,-0.89,
14,[8],Be3,,0.5,-1.13,Erreur
15,[8],,Be7,1.18,-0.68,
16,[9],f4,,1.0,-0.18,
17,[9],,d6,1.39,-0.39,
18,[10],Kh1,,0.76,-0.63,
19,[10],,O-O,1.01,-0.25,
20,[11],Qe1,,0.15,-0.86,
21,[11],,Nxd4,0.43,-0.28,
22,[12],Bxd4,,-0.22,-0.65,
23,[12],,b5,1.6,-1.82,Erreur
24,[13],Qg3,,0.19,-1.41,Erreur
25,[13],,Bb7,3.27,-3.08,Gaffe
26,[14],a3,,0.05,-3.22,Gaffe
27,[14],,Rad8,3.29,-3.24,Gaffe
28,[15],Rae1,,-0.13,-3.42,Gaffe
29,[15],,Rd7,3.29,-3.42,Gaffe
30,[16],Bd3,,-6.86,-10.15,Gaffe
31,[16],,Qd8,3.41,-10.27,Gaffe
32,[17],Qh3,,-0.27,-3.68,Gaffe
33,[17],,g6,1.24,-1.51,Erreur
34,[18],f5,,-2.08,-3.32,Gaffe
35,[18],,e5,2.18,-4.26,Gaffe
36,[19],Be3,,0.29,-1.89,Erreur
37,[19],,Re8,2.12,-1.83,Erreur
38,[20],fxg6,,0.5,-1.62,Erreur
39,[20],,hxg6,2.27,-1.77,Erreur
40,[21],Nd5,,0.18,-2.09,Erreur
41,[21],,Nxd5,0.18,0.0,
42,[22],Rxf7,,-3.52,-3.7,Gaffe
43,[22],,Kxf7,0.58,-4.1,Gaffe
44,[23],Qh7+,,0.58,0.0,
45,[23],,Ke6,0.61,-0.03,
46,[24],exd5+,,0.61,0.0,
47,[24],,Kxd5,1.68,-1.07,Erreur
48,[25],Be4+,,-0.94,-2.62,Erreur
49,[25],,Kxe4,-0.94,0.0,
50,[26],Qf7,,-2.39,-1.45,Erreur
51,[26],,Bf6,-0.9,-1.49,Erreur
52,[27],Bd2+,,-0.9,0.0,
53,[27],,Kd4,-2.39,1.49,Erreur
54,[28],Be3+,,-2.39,0.0,
55,[28],,Ke4,-0.9,-1.49,Erreur
56,[29],Qb3,,-6.63,-5.73,Gaffe
57,[29],,Kf5,-5.05,-1.58,Erreur
58,[30],Rf1+,,-5.6,-0.55,
59,[30],,Kg4,-4.66,-0.94,
60,[31],Qd3,,-4.36,0.3,
61,[31],,Bxg2+,-2.26,-2.1,Erreur
62,[32],Kxg2,,-2.5,-0.24,
63,[32],,Qa8+,0.09,-2.59,Erreur
64,[33],Kg1,,-1.34,-1.43,Erreur
65,[33],,Bg5,5.89,-7.23,Gaffe
66,[34],Qe2+,,-2.41,-8.3,Gaffe
67,[34],,Kh4,-2.41,0.0,
68,[35],Bf2+,,-2.41,0.0,
69,[35],,Kh3,0.36,-2.77,Erreur
70,[36],Be1,,-3.25,-3.61,Gaffe
