Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.05,0.05,
1,[1],,d5,0.0,0.05,
2,[2],Nf3,,0.39,0.39,
3,[2],,c6,0.18,0.21,
4,[3],Bf4,,0.57,0.39,
5,[3],,Bf5,0.58,-0.01,
6,[4],e3,,0.44,-0.14,
7,[4],,Qb6,0.49,-0.05,
8,[5],Bd3,,1.2,0.71,
9,[5],,Bxd3,0.73,0.47,
10,[6],Qxd3,,-3.99,-4.72,Gaffe
11,[6],,Qxb2,-3.87,-0.12,
12,[7],O-O,,-4.18,-0.31,
13,[7],,e6,1.08,-5.26,Gaffe
14,[8],c4,,-3.85,-4.93,Gaffe
15,[8],,Nf6,1.03,-4.88,Gaffe
16,[9],Nbd2,,1.08,0.05,
17,[9],,Qb6,4.62,-3.54,Gaffe
18,[10],Rfb1,,0.55,-4.07,Gaffe
19,[10],,Qa6,0.99,-0.44,
20,[11],Qb3,,0.82,-0.17,
21,[11],,b6,0.52,0.3,
22,[12],a4,,0.65,0.13,
23,[12],,Qa5,6.44,-5.79,Gaffe
24,[13],Qc2,,3.93,-2.51,Erreur
25,[13],,dxc4,8.43,-4.5,Gaffe
26,[14],e4,,1.7,-6.73,Gaffe
27,[14],,c3,5.99,-4.29,Gaffe
28,[15],Nc4,,0.31,-5.68,Gaffe
29,[15],,Qa6,0.18,0.13,
30,[16],Qxc3,,0.71,0.53,
31,[16],,Be7,1.02,-0.31,
32,[17],Ncd2,,0.37,-0.65,
33,[17],,O-O,0.66,-0.29,
34,[18],Bxb8,,-0.6,-1.26,Erreur
35,[18],,Raxb8,0.25,-0.85,
36,[19],Qxc6,,-4.18,-4.43,Gaffe
37,[19],,Rfc8,2.14,-6.32,Gaffe
38,[20],Qb5,,0.22,-1.92,Erreur
39,[20],,Qb7,0.38,-0.16,
40,[21],Qd3,,0.35,-0.03,
41,[21],,Rc7,2.6,-2.25,Erreur
42,[22],Rc1,,-0.25,-2.85,Erreur
43,[22],,Rbc8,-0.21,-0.04,
44,[23],Rxc7,,-0.53,-0.32,
45,[23],,Rxc7,-0.13,-0.4,
46,[24],h3,,-0.17,-0.04,
47,[24],,Qc8,-0.29,0.12,
48,[25],Qb5,,-0.32,-0.03,
49,[25],,h6,0.19,-0.51,
50,[26],g3,,-0.39,-0.58,
51,[26],,Rc2,-1.52,1.13,Erreur
52,[27],Kg2,,-0.6,0.92,
53,[27],,Qc3,-0.24,-0.36,
54,[28],Rd1,,-0.15,0.09,
55,[28],,Qb4,-0.22,0.07,
56,[29],Rb1,,-0.03,0.19,
57,[29],,Qc3,-0.31,0.28,
58,[30],Rd1,,-0.15,0.16,
59,[30],,Rb2,0.22,-0.37,
60,[31],Qe5,,-5.24,-5.46,Gaffe
61,[31],,Nd7,-4.93,-0.31,
62,[32],Qf4,,-7.32,-2.39,Erreur
63,[32],,g5,-0.24,-7.08,Gaffe
64,[33],Qe3,,-0.6,-0.36,
65,[33],,Qxe3,-0.7,0.1,
66,[34],fxe3,,-0.94,-0.24,
67,[34],,Bb4,-0.99,0.05,
68,[35],Kf1,,-1.27,-0.28,
69,[35],,Ra2,-0.94,-0.33,
70,[36],e5,,-1.22,-0.28,
71,[36],,f5,-1.07,-0.15,
72,[37],g4,,-0.97,0.1,
73,[37],,Kf8,-0.93,-0.04,
74,[38],Ke2,,-0.69,0.24,
75,[38],,Rxa4,-0.23,-0.46,
76,[39],Rc1,,-1.08,-0.85,
77,[39],,Ra2,0.11,-1.19,Erreur
78,[40],Rc8+,,-1.08,-1.19,Erreur
79,[40],,Ke7,-0.21,-0.87,
80,[41],Rh8,,-0.21,0.0,
81,[41],,a5,0.25,-0.46,
82,[42],Rh7+,,0.25,0.0,
83,[42],,Kd8,-0.17,0.42,
84,[43],Rxh6,,-0.19,-0.02,
85,[43],,Nf8,0.18,-0.37,
86,[44],Kd3,,-0.17,-0.35,
87,[44],,b5,-0.05,-0.12,
88,[45],Rh8,,-0.45,-0.4,
89,[45],,a4,0.1,-0.55,
90,[46],Rg8,,-0.34,-0.44,
91,[46],,a3,-0.95,0.61,
92,[47],gxf5,,-0.74,0.21,
93,[47],,exf5,0.86,-1.6,Erreur
94,[48],Rxg5,,0.58,-0.28,
95,[48],,Ra1,0.01,0.57,
96,[49],Rg7,,0.39,0.38,
97,[49],,Rc1,0.3,0.09,
98,[50],Ra7,,0.32,0.02,
99,[50],,Ne6,1.01,-0.69,
100,[51],h4,,0.52,-0.49,
101,[51],,Rc3+,0.39,0.13,
102,[52],Ke2,,0.93,0.54,
103,[52],,f4,0.0,0.93,
104,[53],exf4,,0.29,0.29,
105,[53],,Nxf4+,0.0,0.29,
106,[54],Kd1,,0.0,0.0,
107,[54],,Kc8,-0.32,0.32,
108,[55],e6,,-0.14,0.18,
109,[55],,Kb8,-0.07,-0.07,
110,[56],Ne4,,-4.21,-4.14,Gaffe
111,[56],,Rd3+,-4.21,0.0,
112,[57],Kc2,,-4.21,0.0,
113,[57],,Kxa7,-5.52,1.31,Erreur
114,[58],Ne5,,-6.31,-0.79,
115,[58],,Re3,-7.25,0.94,
116,[59],Nc6+,,-6.41,0.84,
117,[59],,Kb6,-6.04,-0.37,
118,[60],Nxb4,,-6.04,0.0,
119,[60],,Rxe4,-5.85,-0.19,
120,[61],d5,,-10.56,-4.71,Gaffe
121,[61],,Nxe6,-6.17,-4.39,Gaffe
122,[62],dxe6,,-6.15,0.02,
123,[62],,Rxb4,-6.34,0.19,
