idGame;d1/d2;d2/d3;d3/d4;d4/d5;d5/d6;d6/d7;d7/d8;d8/d9;d9/d10;d10/d11;d11/d12;d12/d3;d13/d14;d14/d15;d15/d16;d16/d17;d17/d18;d18/d19;d19/d20
6824;483455;216775;419075;614948;243946;113323;128525;90271;80799;91375;32503;25140;42157;26581;31050;27303;19999;24543;18880
1705;688356;675497;962062;1919831;1418802;662495;369528;454204;172286;62277;38294;24071;28522;23505;20568;13253;11256;12340;8860
6825;2331884;835569;1457648;989373;887266;422074;139646;74368;41543;22953;15235;12578;15061;6597;9162;8940;5804;3130;5708
1706;728385;240339;959505;1024827;858866;475643;291699;86142;66293;38907;27718;26121;21118;16517;9867;17774;12165;7843;17671
1707;510735;142271;343066;381050;422148;212886;43794;152432;48993;14477;8998;10431;12251;6506;6400;4761;5719;4012;5827
1708;862784;332929;391993;912703;556185;596033;143408;52084;29859;13237;6846;8867;8209;6783;3763;4801;3796;3079;2565
1709;1400548;1345923;472533;835115;2055638;672934;825658;96043;41464;31414;25982;11794;10910;13227;8642;7341;4709;61829;5444
3764;2400449;235050;1425105;2232922;1582952;2108661;398562;218413;78826;55129;23454;27265;19960;20385;15441;23417;29514;17190;17203
6848;227756;303434;43857;163876;29315;31082;11911;9763;2399;2346;2419;2155;1596;1232;2284;1847;785;499;592
6849;2731663;242259;1718585;935286;2438246;2944768;808811;238900;175251;58419;39887;29594;28229;54921;101841;338949;143664;66755;28036
6850;1139891;607169;484403;1154909;386222;772262;704502;561105;49220;75739;39814;56288;19974;16133;8438;5486;5182;5576;6562
6851;4146736;306780;1185940;722771;1780191;2419077;1158047;834421;102821;48826;59465;44942;18649;24633;35216;22223;32633;28012;52798
6852;1970324;935128;450810;738621;1531924;1395687;325367;114028;98333;81618;33506;18049;24101;34243;8756;18300;14193;9824;4814
6853;1228511;413347;373165;625166;194037;168331;222841;382464;108468;64263;33003;20964;47575;24484;23856;17159;7456;12470;5795
8914;1622059;631107;827607;1269459;399411;142903;497674;133920;234569;66455;133385;203946;19987;34185;29213;23918;17685;26653;17455
8915;2409176;623237;1433322;2548696;622723;604041;844627;96937;58272;27710;43575;28477;21631;23705;32863;14305;12661;7802;11799
4825;402875;178805;54859;134719;105733;430778;31825;10671;14025;5458;1992;2824;2290;3107;4287;1793;3397;1744;2876
