Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.34,0.34,
1,[1],,c5,0.56,-0.22,
2,[2],Nf3,,0.55,-0.01,
3,[2],,e6,0.45,0.1,
4,[3],Nc3,,0.51,0.06,
5,[3],,a6,0.87,-0.36,
6,[4],Be2,,0.64,-0.23,
7,[4],,Nc6,0.77,-0.13,
8,[5],d4,,0.79,0.02,
9,[5],,cxd4,0.5,0.29,
10,[6],Nxd4,,0.82,0.32,
11,[6],,Qc7,0.65,0.17,
12,[7],O-O,,0.82,0.17,
13,[7],,Nf6,0.64,0.18,
14,[8],Be3,,0.35,-0.29,
15,[8],,Be7,0.5,-0.15,
16,[9],f4,,0.53,0.03,
17,[9],,d6,0.56,-0.03,
18,[10],Kh1,,0.09,-0.47,
19,[10],,O-O,0.19,-0.1,
20,[11],Qe1,,0.11,-0.08,
21,[11],,Nxd4,0.23,-0.12,
22,[12],Bxd4,,0.22,-0.01,
23,[12],,b5,0.06,0.16,
24,[13],Qg3,,0.06,0.0,
25,[13],,Bb7,0.16,-0.1,
26,[14],a3,,0.08,-0.08,
27,[14],,Rad8,0.34,-0.26,
28,[15],Rae1,,-0.07,-0.41,
29,[15],,Rd7,0.17,-0.24,
30,[16],Bd3,,0.17,0.0,
31,[16],,Qd8,0.08,0.09,
32,[17],Qh3,,0.12,0.04,
33,[17],,g6,0.59,-0.47,
34,[18],f5,,0.58,-0.01,
35,[18],,e5,0.46,0.12,
36,[19],Be3,,0.55,0.09,
37,[19],,Re8,1.03,-0.48,
38,[20],fxg6,,0.72,-0.31,
39,[20],,hxg6,0.76,-0.04,
40,[21],Nd5,,0.0,-0.76,
41,[21],,Nxd5,0.0,0.0,
42,[22],Rxf7,,0.0,0.0,
43,[22],,Kxf7,0.0,0.0,
44,[23],Qh7+,,0.0,0.0,
45,[23],,Ke6,0.0,0.0,
46,[24],exd5+,,-1.51,-1.51,Erreur
47,[24],,Kxd5,0.0,-1.51,Erreur
48,[25],Be4+,,0.0,0.0,
49,[25],,Kxe4,0.0,0.0,
50,[26],Qf7,,0.0,0.0,
51,[26],,Bf6,0.0,0.0,
52,[27],Bd2+,,0.0,0.0,
53,[27],,Kd4,0.0,0.0,
54,[28],Be3+,,0.0,0.0,
55,[28],,Ke4,0.0,0.0,
56,[29],Qb3,,0.0,0.0,
57,[29],,Kf5,0.0,0.0,
58,[30],Rf1+,,0.0,0.0,
59,[30],,Kg4,0.0,0.0,
60,[31],Qd3,,0.0,0.0,
61,[31],,Bxg2+,2.17,-2.17,Erreur
62,[32],Kxg2,,2.17,0.0,
63,[32],,Qa8+,0.79,1.38,Erreur
64,[33],Kg1,,0.0,-0.79,
65,[33],,Bg5,0.0,0.0,
66,[34],Qe2+,,0.13,0.13,
67,[34],,Kh4,0.0,0.13,
68,[35],Bf2+,,1.89,1.89,Erreur
69,[35],,Kh3,0.0,1.89,Erreur
70,[36],Be1,,,,#-7#
