Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.15,0.15,
1,[1],,Nf6,0.19,-0.04,
2,[2],c4,,0.2,0.01,
3,[2],,e6,0.19,0.01,
4,[3],Nf3,,0.23,0.04,
5,[3],,d5,0.2,0.03,
6,[4],Nc3,,0.19,-0.01,
7,[4],,Be7,0.17,0.02,
8,[5],Bg5,,0.19,0.02,
9,[5],,O-O,0.13,0.06,
10,[6],e3,,0.11,-0.02,
11,[6],,Nbd7,0.25,-0.14,
12,[7],Rc1,,0.16,-0.09,
13,[7],,Re8,0.35,-0.19,
14,[8],a3,,0.19,-0.16,
15,[8],,a6,0.32,-0.13,
16,[9],Qc2,,0.19,-0.13,
17,[9],,dxc4,0.33,-0.14,
18,[10],Bxc4,,0.32,-0.01,
19,[10],,c5,0.67,-0.35,
20,[11],dxc5,,0.57,-0.1,
21,[11],,Nxc5,0.69,-0.12,
22,[12],O-O,,0.45,-0.24,
23,[12],,b5,0.47,-0.02,
24,[13],Rfd1,,0.59,0.12,
25,[13],,Qb6,0.35,0.24,
26,[14],Be2,,0.3,-0.05,
27,[14],,Rxe7,1.16,-0.86,
28,[15],a5,,1.32,0.16,
29,[15],,Qb8,1.19,0.13,
30,[16],Nfd2,,1.01,-0.18,
31,[16],,Ne5,1.2,-0.19,
32,[17],Nc5,,1.32,0.12,
33,[17],,Bb7,1.34,-0.02,
34,[18],Ndb3,,1.26,-0.08,
35,[18],,h6,1.48,-0.22,
36,[19],Qd2,,1.39,-0.09,
37,[19],,Nd7,1.79,-0.4,
38,[20],e4,,1.64,-0.15,
39,[20],,Nf4,2.29,-0.65,
40,[21],Bf1,,2.3,0.01,
41,[21],,Nf6,2.28,0.02,
42,[22],f3,,2.39,0.11,
43,[22],,Bc8,2.55,-0.16,
44,[23],Rc4,,2.29,-0.26,
45,[23],,Ng6,2.31,-0.02,
46,[24],Rxb4,,2.39,0.08,
47,[24],,Qe5,2.52,-0.13,
48,[25],Qd4,,2.22,-0.3,
49,[25],,Qg5,2.21,0.01,
50,[26],Qd2,,2.16,-0.05,
51,[26],,Qe5,2.52,-0.36,
52,[27],Rd4,,2.45,-0.07,
53,[27],,Kh7,2.44,0.01,
54,[28],Rd8,,2.48,0.04,
55,[28],,Ne8,3.35,-0.87,
56,[29],Qc3,,2.9,-0.45,
57,[29],,Qg5,2.93,-0.03,
58,[30],Qd2,,3.05,0.12,
59,[30],,Qe5,3.35,-0.3,
60,[31],Rc1,,3.34,-0.01,
61,[31],,Rb8,5.62,-2.28,
62,[32],Nd4,,3.42,-2.2,Erreur
63,[32],,Rc7,5.27,-1.85,
64,[33],b4,,4.5,-0.77,
65,[33],,Nd6,4.38,0.12,
66,[34],g3,,4.46,0.08,
67,[34],,f5,8.91,-4.45,
68,[35],f4,,9.25,0.34,
69,[35],,Nxe4,13.09,-3.84,
70,[36],Nxe4,,13.48,0.39,
