Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.15,0.15,
1,[1],,d5,0.2,-0.05,
2,[2],c4,,0.29,0.09,
3,[2],,c6,0.31,-0.02,
4,[3],Nf3,,0.25,-0.06,
9,[5],,Bg4,0.13,0.12,
10,[6],Nbd2,,0.1,-0.03,
11,[6],,g6,0.38,-0.28,
12,[7],g3,,0.14,-0.24,
13,[7],,Bg7,0.18,-0.04,
14,[8],Bg2,,0.16,-0.02,
15,[8],,O-O,0.18,-0.02,
16,[9],O-O,,0.09,-0.09,
17,[9],,Nbd7,0.03,0.06,
18,[10],h3,,0.06,0.03,
19,[10],,Bf5,0.14,-0.08,
20,[11],g4,,0.11,-0.03,
21,[11],,Nb6,0.0,0.11,
22,[12],Qb3,,0.07,0.07,
23,[12],,Be6,0.06,0.01,
24,[13],Qc2,,0.05,-0.01,
25,[13],,h5,0.31,-0.26,
26,[14],Ng5,,0.37,0.06,
27,[14],,Bc8,0.4,-0.03,
28,[15],gxh5,,0.43,0.03,
29,[15],,Nxh5,0.45,-0.02,
30,[16],Ndf3,,0.4,-0.05,
