Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.23,0.23,
1,[1],,c6,0.54,-0.31,
2,[2],d4,,0.42,-0.12,
3,[2],,d5,0.31,0.11,
4,[3],Nc3,,0.38,0.07,
5,[3],,dxe4,0.36,0.02,
6,[4],Nxe4,,0.31,-0.05,
7,[4],,Bf5,0.25,0.06,
8,[5],Ng3,,0.32,0.07,
9,[5],,Bg6,0.31,0.01,
10,[6],h4,,0.06,-0.25,
11,[6],,h6,0.04,0.02,
12,[7],Nf3,,0.09,0.05,
13,[7],,e6,0.15,-0.06,
14,[8],h5,,0.0,-0.15,
15,[8],,Bh7,-0.02,0.02,
16,[9],Bd3,,0.0,0.02,
17,[9],,Bxd3,0.06,-0.06,
18,[10],Qxd3,,0.0,-0.06,
19,[10],,Nf6,0.03,-0.03,
20,[11],Bd2,,-0.14,-0.17,
23,[12],,Nc6,0.15,-0.29,
24,[13],Bc3,,0.34,0.19,
25,[13],,Nd5,0.39,-0.05,
26,[14],dxc5,,0.48,0.09,
27,[14],,Nxc3,0.58,-0.1,
28,[15],Qxc3,,0.4,-0.18,
29,[15],,Qd5,0.48,-0.08,
30,[16],Nd6+,,0.31,-0.17,
31,[16],,Bxd6,0.33,-0.02,
32,[17],cxd6,,0.36,0.03,
33,[17],,Qxd6,0.44,-0.08,
34,[18],Qxg7,,0.48,0.04,
35,[18],,O-O-O,0.38,0.1,
36,[19],Qf6,,0.41,0.03,
37,[19],,Rhg8,0.45,-0.04,
38,[20],Kf1,,0.05,-0.4,
39,[20],,Rg4,1.0,-0.95,
40,[21],Re1,,0.36,-0.64,
41,[21],,Rf4,1.04,-0.68,
42,[22],Qxh6,,0.95,-0.09,
43,[22],,Nd4,1.11,-0.16,
44,[23],Rh3,,1.14,0.03,
45,[23],,Nxf3,1.11,0.03,
46,[24],gxf3,,1.28,0.17,
47,[24],,Qd4,1.79,-0.51,
48,[25],b3,,1.38,-0.41,
49,[25],,Rh4,1.65,-0.27,
50,[26],Rxh4,,1.57,-0.08,
51,[26],,Qxh4,1.63,-0.06,
52,[27],Ke2,,1.59,-0.04,
53,[27],,Kc7,1.59,0.0,
54,[28],Rd1,,1.67,0.08,
55,[28],,Rxd1,1.53,0.14,
56,[29],Kxd1,,1.57,0.04,
57,[29],,Qd4+,1.55,0.02,
58,[30],Qd2,,1.27,-0.28,
59,[30],,Qa1+,1.1,0.17,
60,[31],Ke2,,1.15,0.05,
61,[31],,Qe5+,1.2,-0.05,
62,[32],Qe3,,1.24,0.04,
63,[32],,Qxh5,1.21,0.03,
64,[33],Qxa7,,1.2,-0.01,
65,[33],,Qb5+,1.21,-0.01,
66,[34],Ke1,,1.17,-0.04,
67,[34],,Qe5+,1.65,-0.48,
68,[35],Qe3,,1.7,0.05,
69,[35],,Qa5+,1.76,-0.06,
70,[36],Kd1,,1.68,-0.08,
71,[36],,Qxa2,1.74,-0.06,
72,[37],Qf4+,,1.67,-0.07,
73,[37],,Kc6,1.75,-0.08,
74,[38],Qxf7,,1.77,0.02,
75,[38],,Qa1+,1.81,-0.04,
76,[39],Ke2,,1.75,-0.06,
77,[39],,Qe5+,1.75,0.0,
78,[40],Kf1,,1.76,0.01,
79,[40],,Qb5+,1.88,-0.12,
80,[41],Kg2,,1.85,-0.03,
81,[41],,Qe5,1.79,0.06,
82,[42],Qg6,,1.79,0.0,
83,[42],,Kc5,1.68,0.11,
84,[43],Qe4,,1.86,0.18,
85,[43],,Qg5+,1.98,-0.12,
86,[44],Kf1,,2.17,0.19,
87,[44],,Kd6,2.15,0.02,
88,[45],Ke2,,2.14,-0.01,
89,[45],,b5,2.5,-0.36,
90,[46],Qd4+,,2.08,-0.42,
91,[46],,Ke7,2.01,0.07,
92,[47],f4,,2.13,0.12,
93,[47],,Qh5+,2.27,-0.14,
94,[48],Kd2,,2.29,0.02,
95,[48],,Qf3,2.25,0.04,
96,[49],Kc1,,2.32,0.07,
97,[49],,Kf7,2.32,0.0,
98,[50],Kb2,,2.32,0.0,
99,[50],,Qc6,2.34,-0.02,
100,[51],Qe5,,2.41,0.07,
101,[51],,Qd7,2.54,-0.13,
102,[52],Qc5,,2.67,0.13,
103,[52],,Kg6,2.53,0.14,
104,[53],Ka3,,2.31,-0.22,
105,[53],,Qd2,2.26,0.05,
106,[54],Qg5+,,2.29,0.03,
107,[54],,Kf7,2.41,-0.12,
108,[55],Qxb5,,1.58,-0.83,
109,[55],,Qxc2,1.91,-0.33,
110,[56],Qd7+,,1.84,-0.07,
111,[56],,Kf6,1.93,-0.09,
112,[57],Qd4+,,1.95,0.02,
113,[57],,Kg6,2.45,-0.5,
114,[58],b4,,2.31,-0.14,
