Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.23,0.23,
1,[1],,e6,0.17,0.06,
2,[2],d4,,0.19,0.02,
3,[2],,d5,0.25,-0.06,
4,[3],Nc3,,0.06,-0.19,
5,[3],,Bb4,0.18,-0.12,
6,[4],e5,,0.0,-0.18,
7,[4],,Ne7,-0.05,0.05,
8,[5],a3,,-0.14,-0.09,
9,[5],,Bxc3+,-0.1,-0.04,
10,[6],bxc3,,-0.1,0.0,
11,[6],,c5,-0.15,0.05,
12,[7],h4,,-0.38,-0.23,
13,[7],,Qc7,-0.36,-0.02,
14,[8],Nf3,,-0.37,-0.01,
15,[8],,b6,-0.36,-0.01,
16,[9],h5,,-0.4,-0.04,
17,[9],,h6,-0.28,-0.12,
18,[10],Bb5+,,-0.27,0.01,
19,[10],,Bd7,-0.35,0.08,
20,[11],Bd3,,-0.25,0.1,
21,[11],,c4,-0.17,-0.08,
22,[12],Be2,,-0.13,0.04,
23,[12],,Ba4,-0.15,0.02,
24,[13],Bf4,,-0.15,0.0,
25,[13],,Nbc6,-0.15,0.0,
26,[14],Qd2,,-0.12,0.03,
29,[15],,Qd7,0.0,-0.12,
30,[16],Ng4,,-0.02,-0.02,
31,[16],,Qe8,0.08,-0.1,
32,[17],Bh2,,0.0,-0.08,
33,[17],,Qg8,0.0,0.0,
34,[18],Ne3,,-0.09,-0.09,
37,[19],,f5,0.21,-0.3,
38,[20],Rg1,,0.04,-0.17,
39,[20],,Rhf8,0.25,-0.21,
40,[21],f4,,0.34,0.09,
41,[21],,fxg4,0.41,-0.07,
42,[22],Bxg4,,0.58,0.17,
43,[22],,Nf5,0.49,0.09,
44,[23],Bxf5,,0.43,-0.06,
45,[23],,Rxf5,0.31,0.12,
46,[24],Nxf5,,0.29,-0.02,
47,[24],,Qxf5,0.44,-0.15,
48,[25],O-O-O,,0.32,-0.12,
49,[25],,Qf8,1.55,-1.23,
50,[26],Kb2,,0.4,-1.15,Erreur
51,[26],,Ne7,0.41,-0.01,
52,[27],f5,,0.0,-0.41,
