Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.15,0.15,
1,[1],,Nf6,0.19,-0.04,
2,[2],c4,,0.2,0.01,
3,[2],,g6,0.43,-0.23,
4,[3],Nf3,,0.36,-0.07,
5,[3],,Bg7,0.41,-0.05,
6,[4],g3,,0.25,-0.16,
7,[4],,O-O,0.15,0.1,
8,[5],Bg2,,0.18,0.03,
9,[5],,d6,0.29,-0.11,
10,[6],O-O,,0.23,-0.06,
11,[6],,Nc6,0.44,-0.21,
12,[7],Nc3,,0.31,-0.13,
13,[7],,a6,0.34,-0.03,
14,[8],Bf4,,0.34,0.0,
15,[8],,h6,0.32,0.02,
16,[9],e4,,0.36,0.04,
17,[9],,Bg4,0.32,0.04,
18,[10],d5,,0.36,0.04,
19,[10],,Na5,0.56,-0.2,
20,[11],b3,,0.54,-0.02,
21,[11],,b5,0.4,0.14,
22,[12],cxb5,,0.48,0.08,
23,[12],,axb5,0.49,-0.01,
24,[13],Nxb5,,0.37,-0.12,
25,[13],,Nxe4,0.76,-0.39,
26,[14],Rc1,,0.82,0.06,
27,[14],,g5,0.81,0.01,
28,[15],Be3,,0.51,-0.3,
29,[15],,Qd7,0.77,-0.26,
30,[16],Nbd4,,0.62,-0.15,
31,[16],,Nf6,0.63,-0.01,
32,[17],b4,,0.66,0.03,
33,[17],,Nxd5,0.48,0.18,
34,[18],bxa5,,0.72,0.24,
35,[18],,Rxa5,1.22,-0.5,
36,[19],Qd2,,1.04,-0.18,
37,[19],,Ra6,1.25,-0.21,
38,[20],Nc2,,0.86,-0.39,
39,[20],,Nxe3,1.1,-0.24,
40,[21],Nxe3,,1.08,-0.02,
41,[21],,Be6,1.68,-0.6,
42,[22],Nd4,,1.67,-0.01,
43,[22],,Rxa2,1.72,-0.05,
44,[23],Qd3,,1.75,0.03,
45,[23],,Bxd4,1.76,-0.01,
46,[24],Qxd4,,1.2,-0.56,
47,[24],,c5,1.32,-0.12,
48,[25],Qd3,,0.95,-0.37,
49,[25],,Ra4,1.26,-0.31,
50,[26],Bd5,,0.76,-0.5,
51,[26],,Rd4,0.78,-0.02,
52,[27],Bxe6,,0.65,-0.13,
53,[27],,Qxe6,0.63,0.02,
54,[28],Qc2,,0.55,-0.08,
55,[28],,f5,0.67,-0.12,
56,[29],Rfe1,,0.6,-0.07,
57,[29],,Re4,0.61,-0.01,
58,[30],Ng2,,0.78,0.17,
59,[30],,Ra8,1.12,-0.34,
60,[31],Rxe4,,0.93,-0.19,
61,[31],,Qxe4,1.44,-0.51,
62,[32],Qb3+,,1.42,-0.02,
63,[32],,e6,1.73,-0.31,
64,[33],Re1,,1.56,-0.17,
65,[33],,Qd5,1.7,-0.14,
66,[34],Qxd5,,1.03,-0.67,
67,[34],,exd5,1.01,0.02,
68,[35],Ne3,,1.1,0.09,
69,[35],,Re8,0.87,0.23,
70,[36],Rd1,,1.04,0.17,
71,[36],,d4,1.04,0.0,
72,[37],Nxf5,,1.12,0.08,
73,[37],,Re6,1.14,-0.02,
74,[38],g4,,1.07,-0.07,
75,[38],,Kf7,1.28,-0.21,
76,[39],Kg2,,1.04,-0.24,
77,[39],,Kg6,0.89,0.15,
78,[40],Kf3,,1.31,0.42,
79,[40],,h5,1.29,0.02,
80,[41],h3,,1.0,-0.29,
81,[41],,Kf6,1.06,-0.06,
82,[42],Rc1,,1.06,0.0,
83,[42],,hxg4+,1.32,-0.26,
84,[43],hxg4,,1.12,-0.2,
85,[43],,Ke5,1.31,-0.19,
86,[44],Re1+,,0.99,-0.32,
87,[44],,Kf6,0.89,0.1,
88,[45],Rd1,,1.13,0.24,
89,[45],,Ke5,0.86,0.27,
90,[46],Re1+,,0.99,0.13,
91,[46],,Kf6,0.89,0.1,
