Ply,Move,White,Black,Score,Eval,Comment
0,[1],c4,,0.05,0.05,
1,[1],,e6,0.27,-0.22,
2,[2],Nf3,,0.11,-0.16,
3,[2],,b6,0.26,-0.15,
4,[3],g3,,0.08,-0.18,
5,[3],,Bb7,0.13,-0.05,
6,[4],Bg2,,0.17,0.04,
7,[4],,Nf6,0.05,0.12,
8,[5],O-O,,0.14,0.09,
9,[5],,Be7,0.12,0.02,
10,[6],b3,,0.0,-0.12,
11,[6],,O-O,0.1,-0.1,
12,[7],Nc3,,0.08,-0.02,
13,[7],,d5,0.11,-0.03,
14,[8],Ne5,,-0.1,-0.21,
15,[8],,c5,0.0,-0.1,
16,[9],Bb2,,-0.18,-0.18,
17,[9],,Nbd7,0.0,-0.18,
18,[10],d4,,0.0,0.0,
19,[10],,cxd4,0.2,-0.2,
20,[11],Qxd4,,0.16,-0.04,
21,[11],,Bc5,0.14,0.02,
22,[12],Qf4,,0.29,0.15,
23,[12],,Nh5,0.18,0.11,
24,[13],Qf3,,0.28,0.1,
25,[13],,Nhf6,0.18,0.1,
26,[14],Nxd7,,0.21,0.03,
27,[14],,Qxd7,0.33,-0.12,
28,[15],Rad1,,0.23,-0.1,
29,[15],,Bc6,0.58,-0.35,
30,[16],cxd5,,0.58,0.0,
31,[16],,exd5,0.48,0.1,
32,[17],e3,,0.34,-0.14,
33,[17],,Rac8,0.62,-0.28,
34,[18],Qf4,,0.51,-0.11,
35,[18],,Qe6,0.58,-0.07,
36,[19],Qh4,,0.56,-0.02,
37,[19],,Ne4,0.4,0.16,
38,[20],Nxd5,,0.77,0.37,
39,[20],,f5,0.49,0.28,
40,[21],Bxe4,,0.39,-0.1,
41,[21],,fxe4,0.68,-0.29,
42,[22],Qg5,,0.74,0.06,
43,[22],,Rf7,1.03,-0.29,
44,[23],Nf4,,1.0,-0.03,
45,[23],,Qe7,0.96,0.04,
46,[24],Qxe7,,0.68,-0.28,
47,[24],,Rxe7,0.65,0.03,
48,[25],Rd2,,0.63,-0.02,
49,[25],,Rd7,0.66,-0.03,
50,[26],Rc2,,0.71,0.05,
51,[26],,Re8,0.68,0.03,
52,[27],Rfc1,,0.63,-0.05,
53,[27],,Bb5,0.74,-0.11,
54,[28],Kg2,,0.7,-0.04,
55,[28],,Kf7,0.64,0.06,
56,[29],a4,,0.72,0.08,
57,[29],,Ba6,0.71,0.01,
58,[30],h4,,0.73,0.02,
59,[30],,Red8,0.68,0.05,
60,[31],g4,,0.62,-0.06,
61,[31],,Bd6,0.7,-0.08,
62,[32],Nh5,,0.68,-0.02,
63,[32],,Bd3,0.93,-0.25,
64,[33],Rc8,,0.1,-0.83,
65,[33],,Rxc8,0.32,-0.22,
66,[34],Rxc8,,0.26,-0.06,
67,[34],,Be2,0.24,0.02,
68,[35],Ng3,,0.25,0.01,
69,[35],,Bf3+,0.46,-0.21,
70,[36],Kh3,,0.45,-0.01,
71,[36],,Bc5,0.46,-0.01,
72,[37],Bd4,,0.16,-0.3,
73,[37],,Bxd4,0.0,0.16,
74,[38],exd4,,0.2,0.2,
75,[38],,g6,0.22,-0.02,
76,[39],Nf1,,0.29,0.07,
77,[39],,Bd1,0.36,-0.07,
78,[40],Rc3,,0.37,0.01,
79,[40],,Rxd4,0.29,0.08,
80,[41],Ne3,,0.3,0.01,
81,[41],,h5,0.44,-0.14,
82,[42],g5,,0.53,0.09,
83,[42],,Bg4+,0.86,-0.33,
84,[43],Kg3,,0.85,-0.01,
85,[43],,Be6,1.14,-0.29,
86,[44],Kf4,,0.95,-0.19,
87,[44],,Rd2,1.18,-0.23,
88,[45],Ke5,,1.07,-0.11,
89,[45],,Rd7,1.11,-0.04,
90,[46],b4,,0.98,-0.13,
91,[46],,Re7,1.19,-0.21,
92,[47],Kf4,,0.79,-0.4,
93,[47],,Ke8,1.1,-0.31,
94,[48],a5,,1.13,0.03,
95,[48],,bxa5,1.16,-0.03,
96,[49],bxa5,,1.02,-0.14,
99,[50],,Ke7,1.34,-0.32,
100,[51],Rc5,,1.31,-0.03,
101,[51],,a6,1.55,-0.24,
102,[52],Kxe4,,0.1,-1.45,Erreur
103,[52],,Kd6,0.17,-0.07,
104,[53],Kd4,,0.07,-0.1,
105,[53],,Rf7,0.05,0.02,
106,[54],Nc4+,,0.06,0.01,
107,[54],,Bxc4,0.07,-0.01,
108,[55],Rxc4,,0.03,-0.04,
