Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.23,0.23,
1,[1],,c6,0.54,-0.31,
2,[2],d4,,0.42,-0.12,
3,[2],,d5,0.31,0.11,
4,[3],e5,,0.32,0.01,
5,[3],,Bf5,0.43,-0.11,
6,[4],Nf3,,0.44,0.01,
7,[4],,e6,0.33,0.11,
8,[5],Be2,,0.3,-0.03,
9,[5],,Nd7,0.32,-0.02,
10,[6],O-O,,0.29,-0.03,
11,[6],,Ne7,0.32,-0.03,
12,[7],Nbd2,,0.22,-0.1,
13,[7],,Nc8,0.32,-0.1,
14,[8],b3,,0.28,-0.04,
15,[8],,a5,0.37,-0.09,
16,[9],c4,,0.25,-0.12,
17,[9],,a4,0.45,-0.2,
18,[10],bxa4,,0.11,-0.34,
19,[10],,Be7,0.31,-0.2,
20,[11],Qb3,,0.4,0.09,
21,[11],,Ra7,0.32,0.08,
22,[12],cxd5,,0.44,0.12,
23,[12],,exd5,0.37,0.07,
24,[13],Bd3,,-0.13,-0.5,
25,[13],,Bxd3,-0.03,-0.1,
26,[14],Qxd3,,-0.07,-0.04,
27,[14],,Rxa4,-0.05,-0.02,
28,[15],Re1,,0.01,0.06,
29,[15],,Nf8,0.06,-0.05,
30,[16],Nf1,,-0.19,-0.25,
31,[16],,Ne6,-0.22,0.03,
32,[17],Ng3,,-0.29,-0.07,
33,[17],,Qa5,-0.08,-0.21,
34,[18],Bd2,,-0.3,-0.22,
35,[18],,Qa6,0.11,-0.41,
36,[19],Qxa6,,0.19,0.08,
37,[19],,Rxa6,0.24,-0.05,
38,[20],Reb1,,-0.4,-0.64,
39,[20],,b5,-0.47,0.07,
40,[21],a4,,-0.73,-0.26,
41,[21],,bxa4,-0.61,-0.12,
42,[22],Nf5,,-0.53,0.08,
43,[22],,O-O,-0.46,-0.07,
44,[23],Rb8,,-1.22,-0.76,
45,[23],,g6,-1.13,-0.09,
46,[24],Nh6+,,-1.17,-0.04,
47,[24],,Kg7,-1.17,0.0,
48,[25],Ng4,,-1.2,-0.03,
49,[25],,Rd8,-1.22,0.02,
50,[26],Bh6+,,-1.28,-0.06,
51,[26],,Kg8,-1.12,-0.16,
52,[27],h4,,-1.32,-0.2,
53,[27],,a3,-1.3,-0.02,
54,[28],Rb7,,-1.77,-0.47,
55,[28],,Rb6,-1.62,-0.15,
56,[29],Rxe7,,-1.99,-0.37,
57,[29],,Nxe7,-1.73,-0.26,
58,[30],Rxa3,,-1.57,0.16,
59,[30],,Rb7,-1.72,0.15,
60,[31],Ra6,,-1.83,-0.11,
61,[31],,Nf5,-1.76,-0.07,
62,[32],Rxc6,,-1.47,0.29,
63,[32],,Nexd4,-1.51,0.04,
64,[33],Nxd4,,-1.46,0.05,
65,[33],,Nxd4,-1.48,0.02,
66,[34],Rd6,,-1.67,-0.19,
67,[34],,Ne6,-1.66,-0.01,
68,[35],Nf6+,,-1.62,0.04,
69,[35],,Kh8,-1.53,-0.09,
70,[36],Rxd8+,,-1.92,-0.39,
71,[36],,Nxd8,-1.9,-0.02,
72,[37],Nxd5,,-1.91,-0.01,
73,[37],,Rb5,-1.92,0.01,
74,[38],Nf6,,-1.83,0.09,
75,[38],,Rxe5,-1.87,0.04,
76,[39],g4,,-1.78,0.09,
77,[39],,Ne6,-1.69,-0.09,
78,[40],Kg2,,-1.72,-0.03,
79,[40],,Rb5,-1.79,0.07,
80,[41],f4,,-2.2,-0.41,
81,[41],,Nc7,-2.35,0.15,
82,[42],h5,,-2.33,0.02,
83,[42],,Rb6,-2.43,0.1,
84,[43],g5,,-2.89,-0.46,
85,[43],,Ne6,-2.89,0.0,
86,[44],Kf3,,-2.97,-0.08,
87,[44],,Rb4,-3.23,0.26,
88,[45],Ne4,,-4.03,-0.8,
89,[45],,Nd4+,-3.51,-0.52,
90,[46],Kg4,,-4.22,-0.71,
91,[46],,Nf5,-2.91,-1.31,
92,[47],hxg6,,-2.85,0.06,
93,[47],,hxg6,-3.47,0.62,
94,[48],Ng3,,-3.55,-0.08,
95,[48],,Nxh6+,-3.25,-0.3,
96,[49],gxh6,,-3.51,-0.26,
97,[49],,f6,-3.43,-0.08,
98,[50],Kf3,,-3.56,-0.13,
99,[50],,Kh7,-3.61,0.05,
100,[51],Ne4,,-3.64,-0.03,
101,[51],,Rb6,-3.56,-0.08,
102,[52],f5,,-4.36,-0.8,
103,[52],,gxf5,-4.04,-0.32,
104,[53],Ng3,,-39.77,-35.73,Gaffe
105,[53],,Rb3+,-39.76,-0.01,
106,[54],Kf4,,-4.21,35.55,
107,[54],,Rxg3,-39.76,35.55,Gaffe
108,[55],Kxg3,,-39.77,-0.01,
109,[55],,Kxh6,-39.77,0.0,
110,[56],Kf3,,-39.77,0.0,
111,[56],,Kg5,-39.77,0.0,
