Ply,Move,White,Black,Score,Eval,Comment
0,[1],c4,,0.05,0.05,
1,[1],,c5,0.15,-0.1,
2,[2],Nf3,,0.12,-0.03,
3,[2],,Nf6,0.16,-0.04,
4,[3],Nc3,,0.12,-0.04,
5,[3],,Nc6,0.07,0.05,
6,[4],e3,,0.13,0.06,
7,[4],,e6,0.06,0.07,
8,[5],d4,,0.03,-0.03,
12,[7],Bb5,,-0.05,-0.08,
13,[7],,Bd6,-0.08,0.03,
14,[8],dxc5,,-0.05,0.03,
15,[8],,Bxc5,-0.08,0.03,
16,[9],O-O,,0.06,0.14,
17,[9],,O-O,-0.06,0.12,
18,[10],b3,,0.0,0.06,
19,[10],,Bd6,0.1,-0.1,
20,[11],Bb2,,0.14,0.04,
21,[11],,Bg4,0.28,-0.14,
22,[12],Be2,,0.21,-0.07,
23,[12],,a6,0.17,0.04,
24,[13],Nd4,,0.18,0.01,
25,[13],,Bd7,0.23,-0.05,
26,[14],Bf3,,0.28,0.05,
27,[14],,Be6,0.28,0.0,
28,[15],Nxc6,,0.36,0.08,
29,[15],,bxc6,0.36,0.0,
30,[16],Rc1,,0.31,-0.05,
31,[16],,Rc8,0.33,-0.02,
32,[17],Na4,,0.25,-0.08,
33,[17],,c5,0.55,-0.3,
34,[18],Qe2,,0.28,-0.27,
35,[18],,c4,0.23,0.05,
36,[19],g3,,0.16,-0.07,
37,[19],,Qa5,0.19,-0.03,
38,[20],Bc3,,0.09,-0.1,
39,[20],,Qb5,0.18,-0.09,
40,[21],Bxf6,,0.34,0.16,
41,[21],,gxf6,0.05,0.29,
42,[22],Nc3,,0.21,0.16,
43,[22],,Qa5,0.13,0.08,
44,[23],bxc4,,0.17,0.04,
45,[23],,dxc4,0.39,-0.22,
46,[24],Rfd1,,0.18,-0.21,
47,[24],,Ba3,0.6,-0.42,
48,[25],Rc2,,0.65,0.05,
49,[25],,Rfd8,0.86,-0.21,
50,[26],Bd5,,0.74,-0.12,
51,[26],,Bb4,0.88,-0.14,
52,[27],Bxe6,,0.98,0.1,
53,[27],,fxe6,0.89,0.09,
54,[28],Ne4,,0.87,-0.02,
55,[28],,f5,0.48,0.39,
56,[29],Nf6+,,0.3,-0.18,
57,[29],,Kf7,0.92,-0.62,
58,[30],Nd7,,0.94,0.02,
59,[30],,Kg6,2.31,-1.37,
60,[31],Rxc4,,2.18,-0.13,
61,[31],,Qb5,3.46,-1.28,
62,[32],a4,,3.53,0.07,
63,[32],,Qxa4,5.61,-2.08,
64,[33],Rcd4,,3.62,-1.99,Erreur
65,[33],,Qa5,9.21,-5.59,
66,[34],Ne5+,,3.05,-6.16,Gaffe
67,[34],,Kf6,5.05,-2.0,
68,[35],Qh5,,6.08,1.03,
69,[35],,Rxd4,6.4,-0.32,
70,[36],exd4,,4.65,-1.75,Erreur
71,[36],,Qc7,4.49,0.16,
72,[37],Qh6+,,4.89,0.4,
73,[37],,Ke7,4.85,0.04,
74,[38],Qh4+,,4.27,-0.58,
75,[38],,Kd6,4.98,-0.71,
76,[39],d5,,5.36,0.38,
77,[39],,Kxe5,6.32,-0.96,
78,[40],Qxb4,,2.33,-3.99,Gaffe
79,[40],,Kf6,2.9,-0.57,
80,[41],Qh4+,,2.04,-0.86,
81,[41],,Kg6,2.05,-0.01,
82,[42],dxe6,,2.07,0.02,
83,[42],,Qc2,4.49,-2.42,
84,[43],Qd4,,2.5,-1.99,Erreur
85,[43],,Qe2,4.01,-1.51,
86,[44],Qd7,,2.85,-1.16,Erreur
87,[44],,Rc7,3.29,-0.44,
88,[45],Qe8+,,3.69,0.4,
89,[45],,Kf6,5.84,-2.15,
90,[46],Qf8+,,3.51,-2.33,Erreur
91,[46],,Kg6,4.14,-0.63,
92,[47],Qd6,,1.75,-2.39,Erreur
93,[47],,Rc2,4.87,-3.12,
94,[48],e7+,,3.48,-1.39,Erreur
95,[48],,Kf7,3.29,0.19,
96,[49],Qd5+,,3.33,0.04,
97,[49],,Kg6,,,#6#
98,[50],Qg8+,,,,#-5#
99,[50],,Kf6,,,#4#
100,[51],Qf8+,,,,#-5#
101,[51],,Kg5,,,#5#
102,[52],Qg7+,,,,#-5#
103,[52],,Kh5,,,#5#
104,[53],Qxh7+,,,,#-4#
105,[53],,Kg5,,,#4#
106,[54],Qg8+,,,,#-5#
107,[54],,Kf6,,,#5#
108,[55],Rd6+,,,,#-4#
109,[55],,Kxe7,,,#4#
110,[56],Qd8+,,,,#-3#
111,[56],,Kf7,,,#3#
112,[57],Rf6+,,,,#-2#
