Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.15,0.15,
1,[1],,Nf6,0.19,-0.04,
2,[2],c4,,0.2,0.01,
3,[2],,e6,0.19,0.01,
4,[3],Nf3,,0.23,0.04,
5,[3],,b6,0.29,-0.06,
6,[4],g3,,0.02,-0.27,
7,[4],,Bb4+,0.12,-0.1,
8,[5],Bd2,,0.06,-0.06,
9,[5],,Bxd2+,0.13,-0.07,
10,[6],Qxd2,,0.15,0.02,
11,[6],,Bb7,0.17,-0.02,
12,[7],Bg2,,0.12,-0.05,
13,[7],,d6,0.18,-0.06,
14,[8],Nc3,,0.17,-0.01,
15,[8],,Nbd7,0.17,0.0,
16,[9],Qc2,,0.19,0.02,
17,[9],,O-O,0.21,-0.02,
18,[10],O-O,,0.26,0.05,
19,[10],,a6,0.26,0.0,
20,[11],Rfe1,,0.13,-0.13,
21,[11],,Rb8,0.37,-0.24,
22,[12],e4,,0.33,-0.04,
23,[12],,e5,0.63,-0.3,
24,[13],Rad1,,0.5,-0.13,
25,[13],,Qe8,1.12,-0.62,
26,[14],Nd5,,1.11,-0.01,
27,[14],,exd4,1.34,-0.23,
28,[15],Nxc7,,0.84,-0.5,
29,[15],,Qc8,0.9,-0.06,
30,[16],Nd5,,1.0,0.1,
31,[16],,Bxd5,0.93,0.07,
32,[17],exd5,,1.08,0.15,
33,[17],,b5,0.98,0.1,
34,[18],Rxd4,,0.57,-0.41,
35,[18],,Qc5,0.72,-0.15,
36,[19],b3,,0.63,-0.09,
37,[19],,Rfe8,0.75,-0.12,
38,[20],Rc1,,0.77,0.02,
39,[20],,Ne5,0.94,-0.17,
40,[21],Rf4,,0.44,-0.5,
41,[21],,Nxf3+,0.86,-0.42,
42,[22],Bxf3,,0.86,0.0,
43,[22],,b4,0.88,-0.02,
44,[23],h4,,0.7,-0.18,
45,[23],,h6,1.22,-0.52,
46,[24],Be4,,0.76,-0.46,
47,[24],,Re5,0.71,0.05,
48,[25],Bd3,,0.64,-0.07,
49,[25],,Rbe8,0.7,-0.06,
50,[26],Kg2,,0.79,0.09,
51,[26],,a5,0.79,0.0,
52,[27],g4,,0.25,-0.54,
53,[27],,Qc7,0.2,0.05,
54,[28],Rg1,,0.18,-0.02,
55,[28],,Qe7,0.27,-0.09,
56,[29],Kh3,,0.0,-0.27,
57,[29],,Re1,0.49,-0.49,
58,[30],Rxe1,,0.0,-0.49,
59,[30],,Qxe1,0.41,-0.41,
60,[31],Kg2,,0.24,-0.17,
61,[31],,Qe5,0.42,-0.18,
62,[32],Qd2,,0.47,0.05,
63,[32],,Qa1,0.75,-0.28,
64,[33],g5,,0.75,0.0,
65,[33],,Nh5,0.75,0.0,
66,[34],Re4,,0.76,0.01,
67,[34],,Rxe4,0.87,-0.11,
68,[35],Bxe4,,0.85,-0.02,
69,[35],,Qe5,0.74,0.11,
70,[36],Qe3,,0.65,-0.09,
71,[36],,hxg5,0.75,-0.1,
72,[37],hxg5,,0.84,0.09,
73,[37],,Kf8,1.39,-0.55,
74,[38],Bd3,,0.0,-1.39,Erreur
75,[38],,Nf4+,0.11,-0.11,
76,[39],Kf3,,0.0,-0.11,
77,[39],,Nxd3,0.01,-0.01,
78,[40],Qxd3,,0.0,-0.01,
