Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.23,0.23,
1,[1],,c5,0.37,-0.14,
2,[2],Nc3,,0.2,-0.17,
3,[2],,a6,0.21,-0.01,
4,[3],Nf3,,0.26,0.05,
5,[3],,d6,0.25,0.01,
6,[4],e5,,0.01,-0.24,
7,[4],,d5,0.13,-0.12,
8,[5],d4,,0.29,0.16,
9,[5],,Bg4,0.05,0.24,
10,[6],e6,,0.08,0.03,
11,[6],,Bxe6,0.08,0.0,
12,[7],dxc5,,0.06,-0.02,
13,[7],,Nf6,0.09,-0.03,
14,[8],b4,,-0.18,-0.27,
15,[8],,Nc6,-0.01,-0.17,
16,[9],a3,,-0.03,-0.02,
17,[9],,g6,-0.11,0.08,
18,[10],Bb2,,-0.14,-0.03,
19,[10],,Bg7,-0.12,-0.02,
20,[11],Na4,,-0.05,0.07,
21,[11],,Qc7,-0.14,0.09,
22,[12],Be2,,-0.1,0.04,
23,[12],,O-O,-0.13,0.03,
24,[13],O-O,,-0.18,-0.05,
25,[13],,Rad8,-0.19,0.01,
26,[14],c3,,-0.32,-0.13,
