Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.23,0.23,
1,[1],,c5,0.37,-0.14,
2,[2],Nf3,,0.33,-0.04,
3,[2],,d6,0.26,0.07,
4,[3],d4,,0.31,0.05,
5,[3],,cxd4,0.21,0.1,
6,[4],Nxd4,,0.21,0.0,
7,[4],,Nf6,0.34,-0.13,
8,[5],Nc3,,0.2,-0.14,
9,[5],,a6,0.17,0.03,
10,[6],h3,,0.13,-0.04,
11,[6],,e5,-0.01,0.14,
12,[7],Nde2,,-0.07,-0.06,
13,[7],,h5,0.23,-0.3,
14,[8],Bg5,,0.16,-0.07,
15,[8],,Be6,0.06,0.1,
16,[9],g3,,0.13,0.07,
17,[9],,Nbd7,0.13,0.0,
18,[10],Bg2,,0.19,0.06,
19,[10],,Be7,0.29,-0.1,
20,[11],a4,,0.22,-0.07,
21,[11],,Rc8,0.25,-0.03,
22,[12],O-O,,0.28,0.03,
23,[12],,Nh7,0.36,-0.08,
24,[13],Be3,,0.42,0.06,
25,[13],,h4,0.37,0.05,
26,[14],g4,,0.45,0.08,
27,[14],,O-O,0.5,-0.05,
28,[15],Qd2,,0.39,-0.11,
29,[15],,Rc6,0.29,0.1,
30,[16],Rac1,,0.24,-0.05,
31,[16],,Bg5,0.14,0.1,
32,[17],f4,,0.16,0.02,
33,[17],,exf4,0.11,0.05,
34,[18],Nxf4,,0.13,0.02,
35,[18],,Re8,0.44,-0.31,
36,[19],b3,,0.4,-0.04,
37,[19],,Qa5,0.41,-0.01,
38,[20],Nce2,,0.35,-0.06,
39,[20],,Qxd2,0.36,-0.01,
40,[21],Bxd2,,0.35,-0.01,
41,[21],,Rcc8,0.4,-0.05,
42,[22],Bb4,,0.46,0.06,
43,[22],,Nc5,0.38,0.08,
44,[23],Rcd1,,0.51,0.13,
45,[23],,Nf6,0.4,0.11,
46,[24],Nc3,,0.46,0.06,
47,[24],,b6,0.13,0.33,
48,[25],Rxd6,,0.17,0.04,
49,[25],,a5,0.44,-0.27,
50,[26],Bxc5,,0.24,-0.2,
51,[26],,Rxc5,0.23,0.01,
52,[27],Nce2,,0.37,0.14,
53,[27],,Bc8,0.51,-0.14,
54,[28],c4,,0.39,-0.12,
55,[28],,Nxe4,0.42,-0.03,
56,[29],Rxb6,,0.29,-0.13,
57,[29],,Rce5,0.34,-0.05,
58,[30],Rb5,,0.24,-0.1,
59,[30],,Bd7,0.3,-0.06,
60,[31],Rxe5,,0.4,0.1,
61,[31],,Rxe5,0.39,0.01,
62,[32],Rd1,,0.26,-0.13,
63,[32],,Nc5,0.51,-0.25,
64,[33],Kf2,,0.31,-0.2,
65,[33],,Re8,0.16,0.15,
66,[34],Rd5,,0.0,-0.16,
67,[34],,Be7,0.0,0.0,
68,[35],Rd1,,-0.19,-0.19,
69,[35],,Rb8,0.0,-0.19,
70,[36],Nd4,,-0.25,-0.25,
71,[36],,Bd6,0.32,-0.57,
72,[37],Nfe2,,0.33,0.01,
73,[37],,Bc7,0.53,-0.2,
74,[38],Nc1,,0.41,-0.12,
75,[38],,Bg3+,0.45,-0.04,
76,[39],Kf1,,0.41,-0.04,
77,[39],,Re8,0.49,-0.08,
78,[40],Nde2,,0.51,0.02,
79,[40],,Bb8,0.4,0.11,
