Ply,Move,White,Black,Score,Eval,Comment
0,[1],Nf3,,0.22,0.22,
1,[1],,Nf6,0.17,0.05,
2,[2],c4,,0.22,0.05,
3,[2],,e6,0.3,-0.08,
4,[3],e3,,0.17,-0.13,
5,[3],,b6,0.14,0.03,
6,[4],d4,,0.17,0.03,
7,[4],,Bb7,0.17,0.0,
8,[5],Bd3,,0.12,-0.05,
9,[5],,d5,0.09,0.03,
10,[6],cxd5,,0.01,-0.08,
11,[6],,exd5,0.12,-0.11,
12,[7],b3,,0.1,-0.02,
13,[7],,Bd6,0.07,0.03,
14,[8],Ba3,,0.01,-0.06,
15,[8],,O-O,0.19,-0.18,
16,[9],O-O,,0.04,-0.15,
17,[9],,Re8,0.2,-0.16,
18,[10],Bxd6,,0.2,0.0,
19,[10],,Qxd6,0.18,0.02,
20,[11],Nc3,,0.19,0.01,
21,[11],,a6,0.26,-0.07,
22,[12],Rc1,,0.22,-0.04,
23,[12],,Nbd7,0.25,-0.03,
24,[13],Bf5,,0.14,-0.11,
25,[13],,Nf8,0.3,-0.16,
26,[14],Qc2,,0.24,-0.06,
27,[14],,g6,0.19,0.05,
28,[15],Bh3,,0.23,0.04,
29,[15],,Re7,0.35,-0.12,
30,[16],Rfd1,,0.35,0.0,
31,[16],,Bc8,0.39,-0.04,
32,[17],Bxc8,,0.3,-0.09,
33,[17],,Rxc8,0.44,-0.14,
34,[18],Qd3,,0.36,-0.08,
35,[18],,Ra8,0.47,-0.11,
36,[19],Rc2,,0.37,-0.1,
37,[19],,Ne6,0.24,0.13,
38,[20],h3,,0.26,0.02,
39,[20],,c6,0.23,0.03,
40,[21],Na4,,0.2,-0.03,
41,[21],,Rb7,0.6,-0.4,
42,[22],Rdc1,,0.54,-0.06,
43,[22],,Nd8,1.2,-0.66,
44,[23],Ne5,,1.2,0.0,
45,[23],,c5,1.2,0.0,
46,[24],Nf3,,1.25,0.05,
47,[24],,c4,1.83,-0.58,
48,[25],bxc4,,1.85,0.02,
49,[25],,dxc4,1.78,0.07,
50,[26],Qxc4,,1.84,0.06,
51,[26],,b5,1.8,0.04,
52,[27],Qc5,,1.8,0.0,
53,[27],,Qe6,1.76,0.04,
54,[28],Ng5,,1.62,-0.14,
55,[28],,Qe8,2.15,-0.53,
56,[29],Nb6,,2.01,-0.14,
57,[29],,Nd7,2.01,0.0,
58,[30],Nxd7,,2.06,0.05,
59,[30],,Qxd7,2.45,-0.39,
60,[31],Ne4,,2.17,-0.28,
61,[31],,Qe6,2.2,-0.03,
62,[32],Qd5,,1.54,-0.66,
63,[32],,Qxd5,1.48,0.06,
64,[33],Nf6+,,1.46,-0.02,
65,[33],,Kg7,1.51,-0.05,
66,[34],Nxd5,,1.64,0.13,
67,[34],,Ne6,1.67,-0.03,
68,[35],Nc7,,1.1,-0.57,
69,[35],,Nxc7,1.25,-0.15,
70,[36],Rxc7,,1.22,-0.03,
71,[36],,Raa7,1.44,-0.22,
72,[37],Rxb7,,1.46,0.02,
73,[37],,Rxb7,1.31,0.15,
74,[38],Kf1,,1.4,0.09,
75,[38],,a5,1.25,0.15,
76,[39],Ke2,,1.29,0.04,
77,[39],,b4,1.27,0.02,
78,[40],Kd3,,1.5,0.23,
79,[40],,Kf6,2.08,-0.58,
80,[41],Rc6+,,1.93,-0.15,
81,[41],,Ke7,2.13,-0.2,
82,[42],Kc2,,2.04,-0.09,
83,[42],,Rb5,2.52,-0.48,
84,[43],Rc5,,2.56,0.04,
85,[43],,Rxc5+,2.68,-0.12,
86,[44],dxc5,,2.67,-0.01,
87,[44],,Ke6,2.79,-0.12,
88,[45],Kb3,,1.14,-1.65,Erreur
89,[45],,Kd5,1.19,-0.05,
90,[46],Ka4,,1.25,0.06,
91,[46],,Kxc5,1.23,0.02,
92,[47],Kxa5,,1.19,-0.04,
93,[47],,Kc4,1.26,-0.07,
94,[48],Ka4,,1.43,0.17,
95,[48],,g5,2.62,-1.19,
96,[49],g4,,3.48,0.86,
97,[49],,h6,4.36,-0.88,
98,[50],f4,,4.52,0.16,
99,[50],,f6,6.89,-2.37,
100,[51],f5,,7.7,0.81,
101,[51],,Kd5,8.93,-1.23,
