Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.15,0.15,
1,[1],,d5,0.2,-0.05,
2,[2],c4,,0.29,0.09,
3,[2],,e6,0.27,0.02,
4,[3],Nc3,,0.29,0.02,
5,[3],,Nf6,0.22,0.07,
6,[4],Bf4,,0.14,-0.08,
9,[5],,O-O,0.11,0.03,
10,[6],e3,,0.04,-0.07,
11,[6],,c5,0.16,-0.12,
12,[7],Nf3,,0.11,-0.05,
13,[7],,cxd4,0.06,0.05,
14,[8],Nxd4,,0.03,-0.03,
15,[8],,Nc6,0.11,-0.08,
16,[9],cxd5,,0.07,-0.04,
17,[9],,exd5,0.26,-0.19,
18,[10],Bb5,,-0.03,-0.29,
19,[10],,Bg4,0.0,-0.03,
20,[11],Qa4,,0.08,0.08,
21,[11],,Ne5,0.12,-0.04,
22,[12],O-O,,0.22,0.1,
23,[12],,a6,0.2,0.02,
24,[13],Be2,,0.17,-0.03,
25,[13],,Bxe2,0.1,0.07,
26,[14],Ndxe2,,0.12,0.02,
27,[14],,Nc4,0.17,-0.05,
28,[15],Qc2,,0.11,-0.06,
29,[15],,Rc8,0.22,-0.11,
30,[16],b3,,0.13,-0.09,
31,[16],,Bxg3,0.0,0.13,
32,[17],hxg3,,0.07,0.07,
33,[17],,Nd6,0.05,0.02,
34,[18],Qd3,,0.18,0.13,
35,[18],,Nde4,0.19,-0.01,
36,[19],Rfd1,,0.24,0.05,
37,[19],,Re8,0.25,-0.01,
38,[20],Nxe4,,-0.05,-0.3,
39,[20],,dxe4,-0.08,0.03,
40,[21],Qxd8,,0.0,0.08,
41,[21],,Rexd8,0.0,0.0,
42,[22],Rxd8+,,-0.02,-0.02,
43,[22],,Rxd8,-0.05,0.03,
44,[23],Rc1,,-0.06,-0.01,
45,[23],,Kf8,-0.08,0.02,
46,[24],Nd4,,0.0,0.08,
47,[24],,g6,-0.08,0.08,
48,[25],Kf1,,-0.04,0.04,
49,[25],,Ke7,-0.09,0.05,
50,[26],Rc7+,,-0.17,-0.08,
51,[26],,Rd7,-0.11,-0.06,
52,[27],Rc8,,-0.13,-0.02,
53,[27],,h5,-0.1,-0.03,
54,[28],Ke2,,-0.11,-0.01,
55,[28],,Kd6,-0.1,-0.01,
56,[29],Kd2,,-0.14,-0.04,
