Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.15,0.15,
1,[1],,d5,0.2,-0.05,
2,[2],c4,,0.29,0.09,
3,[2],,c6,0.31,-0.02,
4,[3],Nf3,,0.25,-0.06,
9,[5],,Nbd7,0.24,0.01,
10,[6],Qc2,,0.19,-0.05,
11,[6],,Bd6,0.27,-0.08,
12,[7],Bd3,,0.24,-0.03,
13,[7],,O-O,0.2,0.04,
14,[8],O-O,,0.21,0.01,
15,[8],,dxc4,0.18,0.03,
16,[9],Bxc4,,0.21,0.03,
17,[9],,b5,0.13,0.08,
18,[10],Bd3,,0.03,-0.1,
19,[10],,Bb7,0.14,-0.11,
20,[11],a3,,-0.08,-0.22,
21,[11],,a6,-0.15,0.07,
22,[12],Ng5,,-0.14,0.01,
23,[12],,Bxh2+,-0.06,-0.08,
24,[13],Kxh2,,-0.02,0.04,
25,[13],,Ng4+,-0.08,0.06,
26,[14],Kg1,,0.0,0.08,
37,[19],,h6,0.14,-0.14,
38,[20],b4,,0.01,-0.13,
39,[20],,Rfe8,0.0,0.01,
40,[21],a4,,-0.16,-0.16,
41,[21],,exd4,-0.14,-0.02,
