Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.15,0.15,
1,[1],,Nf6,0.19,-0.04,
2,[2],c4,,0.2,0.01,
3,[2],,e6,0.19,0.01,
4,[3],Nc3,,0.1,-0.09,
5,[3],,Bb4,0.23,-0.13,
6,[4],e3,,0.2,-0.03,
7,[4],,d5,0.2,0.0,
8,[5],cxd5,,0.21,0.01,
9,[5],,exd5,0.11,0.1,
10,[6],Bd3,,0.11,0.0,
11,[6],,O-O,0.19,-0.08,
12,[7],Ne2,,0.12,-0.07,
13,[7],,Re8,0.14,-0.02,
14,[8],O-O,,0.13,-0.01,
15,[8],,Bf8,0.29,-0.16,
16,[9],Bd2,,0.18,-0.11,
17,[9],,b6,0.29,-0.11,
18,[10],Rc1,,0.22,-0.07,
19,[10],,c5,0.03,0.19,
20,[11],Nf4,,0.14,0.11,
21,[11],,c4,0.4,-0.26,
22,[12],Bb1,,0.06,-0.34,
23,[12],,Bb7,0.08,-0.02,
24,[13],b3,,-0.6,-0.68,
25,[13],,Ba3,-0.49,-0.11,
26,[14],Rc2,,-0.19,0.3,
27,[14],,a6,-0.18,-0.01,
28,[15],Bc1,,-0.25,-0.07,
29,[15],,Bd6,-0.32,0.07,
30,[16],g4,,-0.65,-0.33,
31,[16],,b5,-0.56,-0.09,
32,[17],g5,,-0.56,0.0,
33,[17],,Ne4,-0.58,0.02,
34,[18],Nxe4,,-0.61,-0.03,
35,[18],,Rxe4,-0.64,0.03,
36,[19],f3,,-0.78,-0.14,
37,[19],,Re8,-0.91,0.13,
38,[20],Rg2,,-0.75,0.16,
39,[20],,Nd7,-0.71,-0.04,
40,[21],Nh5,,-0.53,0.18,
41,[21],,g6,-0.76,0.23,
42,[22],f4,,-0.58,0.18,
43,[22],,Rc8,0.25,-0.83,
44,[23],f5,,0.09,-0.16,
45,[23],,Rc7,0.61,-0.52,
46,[24],Qf3,,0.58,-0.03,
47,[24],,Kh8,2.56,-1.98,
48,[25],Nf4,,0.17,-2.39,Erreur
49,[25],,Nf8,0.26,-0.09,
50,[26],b4,,-0.14,-0.4,
51,[26],,Bxb4,0.89,-1.03,
52,[27],f6,,-0.69,-1.58,Erreur
53,[27],,Ne6,-0.71,0.02,
54,[28],Nxe6,,-1.04,-0.33,
55,[28],,Rxe6,-1.18,0.14,
56,[29],h4,,-1.35,-0.17,
57,[29],,Re4,-0.31,-1.04,
58,[30],h5,,0.67,0.98,
59,[30],,gxh5,0.6,0.07,
60,[31],Qxh5,,0.77,0.17,
61,[31],,Qg8,0.68,0.09,
62,[32],Bxe4,,0.83,0.15,
63,[32],,dxe4,0.96,-0.13,
64,[33],Bd2,,1.02,0.06,
67,[34],,Qg6,1.17,-0.15,
68,[35],Qxg6,,0.9,-0.27,
69,[35],,fxg6,0.89,0.01,
70,[36],Bg3,,0.98,0.09,
71,[36],,Rf7,0.71,0.27,
72,[37],d5,,0.0,-0.71,
73,[37],,Bxd5,1.27,-1.27,
74,[38],Rd2,,1.24,-0.03,
75,[38],,Rd7,4.84,-3.6,
76,[39],Be5,,4.15,-0.69,
