Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.15,0.15,
1,[1],,Nf6,0.19,-0.04,
2,[2],c4,,0.2,0.01,
3,[2],,e6,0.19,0.01,
4,[3],Nc3,,0.1,-0.09,
5,[3],,Bb4,0.23,-0.13,
6,[4],Qc2,,0.06,-0.17,
7,[4],,d5,0.03,0.03,
8,[5],cxd5,,0.02,-0.01,
9,[5],,exd5,0.01,0.01,
10,[6],Bg5,,-0.05,-0.06,
11,[6],,c5,0.1,-0.15,
12,[7],dxc5,,0.06,-0.04,
13,[7],,h6,0.01,0.05,
14,[8],Bh4,,0.15,0.14,
15,[8],,g5,0.0,0.15,
16,[9],Bg3,,0.13,0.13,
17,[9],,Ne4,0.08,0.05,
18,[10],e3,,0.15,0.07,
19,[10],,Qa5,-0.15,0.3,
20,[11],Rc1,,0.24,0.39,
21,[11],,Qxa2,0.32,-0.08,
22,[12],Bb5+,,0.12,-0.2,
23,[12],,Bd7,0.11,0.01,
24,[13],Bxd7+,,0.06,-0.05,
25,[13],,Nxd7,0.0,0.06,
26,[14],Ne2,,0.15,0.15,
27,[14],,Nxc3,0.0,0.15,
28,[15],Nxc3,,0.16,0.16,
29,[15],,Qc4,0.15,0.01,
30,[16],Bd6,,0.08,-0.07,
31,[16],,Nxc5,0.06,0.02,
32,[17],Bxc5,,0.06,0.0,
33,[17],,Qxc5,0.04,0.02,
34,[18],O-O,,0.06,0.02,
35,[18],,Bxc3,0.25,-0.19,
36,[19],Qa4+,,0.23,-0.02,
37,[19],,Qc6,0.21,0.02,
38,[20],Qa3,,0.26,0.05,
39,[20],,Qa6,0.25,0.01,
40,[21],Qxa6,,0.25,0.0,
41,[21],,bxa6,0.2,0.05,
42,[22],Rxc3,,0.16,-0.04,
