Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.23,0.23,
1,[1],,e5,0.27,-0.04,
2,[2],Nf3,,0.27,0.0,
5,[3],,a6,0.41,-0.14,
6,[4],Ba4,,0.06,-0.35,
7,[4],,Nf6,0.09,-0.03,
8,[5],O-O,,0.12,0.03,
9,[5],,Be7,0.12,0.0,
10,[6],Re1,,0.06,-0.06,
11,[6],,b5,0.0,0.06,
12,[7],Bb3,,0.0,0.0,
13,[7],,d6,-0.03,0.03,
14,[8],c3,,0.15,0.18,
15,[8],,O-O,0.09,0.06,
16,[9],d4,,0.12,0.03,
17,[9],,Bg4,0.1,0.02,
18,[10],Be3,,0.05,-0.05,
19,[10],,Na5,0.25,-0.2,
20,[11],dxe5,,0.26,0.01,
21,[11],,dxe5,0.41,-0.15,
22,[12],Qxd8,,0.46,0.05,
23,[12],,Raxd8,0.48,-0.02,
24,[13],Nxe5,,0.52,0.04,
25,[13],,Bd6,0.62,-0.1,
26,[14],f4,,0.04,-0.58,
27,[14],,Bxe5,0.09,-0.05,
28,[15],fxe5,,0.07,-0.02,
29,[15],,Nd7,0.19,-0.12,
30,[16],h3,,-0.03,-0.22,
31,[16],,Be6,0.19,-0.22,
32,[17],Bxe6,,0.0,-0.19,
33,[17],,fxe6,0.27,-0.27,
34,[18],Bg5,,0.06,-0.21,
41,[21],,Nc5,0.08,-0.02,
42,[22],Nc2,,0.13,0.05,
43,[22],,Rf4,0.19,-0.06,
44,[23],Nd4,,0.16,-0.03,
45,[23],,Nxd4,0.62,-0.46,
46,[24],cxd4,,0.59,-0.03,
47,[24],,Rxh4,0.46,0.13,
48,[25],dxc5,,0.58,0.12,
49,[25],,Rd8,0.28,0.3,
50,[26],Rad1,,0.23,-0.05,
51,[26],,Rxd1,0.3,-0.07,
52,[27],Rxd1,,0.39,0.09,
53,[27],,Rxe4,0.41,-0.02,
54,[28],Rd8+,,0.46,0.05,
55,[28],,Kh7,0.18,0.28,
56,[29],Rc8,,0.06,-0.12,
57,[29],,Rxe5,0.3,-0.24,
58,[30],Rxc7,,0.13,-0.17,
59,[30],,Re1+,0.44,-0.31,
60,[31],Kh2,,0.12,-0.32,
61,[31],,Ra1,0.09,0.03,
62,[32],Rc6,,0.08,-0.01,
63,[32],,Rxa2,0.0,0.08,
64,[33],Rxe6,,0.02,0.02,
65,[33],,Rb2,0.06,-0.04,
