Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.23,0.23,
1,[1],,e5,0.27,-0.04,
2,[2],Nf3,,0.27,0.0,
5,[3],,a6,0.41,-0.14,
6,[4],Ba4,,0.06,-0.35,
7,[4],,Nf6,0.09,-0.03,
8,[5],O-O,,0.12,0.03,
9,[5],,Be7,0.12,0.0,
10,[6],d3,,0.0,-0.12,
11,[6],,d6,0.04,-0.04,
12,[7],c3,,0.05,0.01,
13,[7],,O-O,0.02,0.03,
14,[8],Nbd2,,0.0,-0.02,
15,[8],,b5,0.08,-0.08,
16,[9],Bc2,,0.06,-0.02,
17,[9],,d5,0.1,-0.04,
18,[10],Re1,,0.15,0.05,
19,[10],,dxe4,0.12,0.03,
20,[11],dxe4,,0.06,-0.06,
21,[11],,Bc5,0.22,-0.16,
22,[12],h3,,0.12,-0.1,
23,[12],,h6,0.17,-0.05,
24,[13],a4,,0.23,0.06,
29,[15],,Ne7,0.44,-0.21,
30,[16],Ng3,,0.55,0.11,
31,[16],,Be6,0.36,0.19,
32,[17],Be3,,0.35,-0.01,
33,[17],,Re8,0.56,-0.21,
34,[18],Bb3,,0.4,-0.16,
35,[18],,Qc8,0.5,-0.1,
36,[19],Qc2,,0.44,-0.06,
37,[19],,Ng6,0.3,0.14,
38,[20],Bxe6,,0.17,-0.13,
39,[20],,Qxe6,0.39,-0.22,
40,[21],axb5,,0.39,0.0,
41,[21],,axb5,0.36,0.03,
42,[22],Ra6,,0.5,0.14,
43,[22],,Ra8,0.27,0.23,
44,[23],Rea1,,0.38,0.11,
45,[23],,Rxa6,0.49,-0.11,
46,[24],Rxa6,,0.37,-0.12,
47,[24],,Qc8,0.43,-0.06,
48,[25],Ra7,,0.44,0.01,
49,[25],,Ne7,0.57,-0.13,
50,[26],Qe2,,0.6,0.03,
51,[26],,Qd7,0.76,-0.16,
52,[27],Ra6,,0.44,-0.32,
53,[27],,Rb8,0.8,-0.36,
54,[28],Nh4,,0.87,0.07,
55,[28],,Qc8,0.85,0.02,
56,[29],Ra7,,0.52,-0.33,
57,[29],,Qe6,0.67,-0.15,
58,[30],Ra5,,0.25,-0.42,
59,[30],,Qb3,0.29,-0.04,
60,[31],Qd3,,-0.43,-0.72,
61,[31],,Bxb4,-0.58,0.15,
62,[32],Rxb5,,-0.5,0.08,
63,[32],,Rxb5,-0.6,0.1,
64,[33],Qxb5,,-0.42,0.18,
65,[33],,Qxc3,-0.46,0.04,
66,[34],Qa6,,-0.7,-0.24,
67,[34],,Qc6,-0.75,0.05,
68,[35],Qd3,,-0.82,-0.07,
69,[35],,Bd6,-0.62,-0.2,
70,[36],Kh2,,-0.59,0.03,
71,[36],,Qa4,-0.7,0.11,
72,[37],Nf3,,-0.76,-0.06,
73,[37],,Ng6,-0.72,-0.04,
74,[38],Nd2,,-0.83,-0.11,
75,[38],,Nf4,-0.69,-0.14,
76,[39],Bxf4,,-0.93,-0.24,
77,[39],,exf4,-0.97,0.04,
78,[40],Nf5,,-1.05,-0.08,
79,[40],,Bf8,-1.05,0.0,
80,[41],e5,,-1.08,-0.03,
81,[41],,Qd7,-0.97,-0.11,
82,[42],Qc2,,-1.03,-0.06,
83,[42],,Nd5,-1.16,0.13,
84,[43],Nd4,,-1.03,0.13,
85,[43],,Nb4,-1.0,-0.03,
