Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.23,0.23,
1,[1],,c6,0.54,-0.31,
2,[2],d4,,0.42,-0.12,
3,[2],,d5,0.31,0.11,
4,[3],e5,,0.32,0.01,
5,[3],,Bf5,0.43,-0.11,
6,[4],Nf3,,0.44,0.01,
7,[4],,e6,0.33,0.11,
8,[5],Be2,,0.3,-0.03,
9,[5],,Nd7,0.32,-0.02,
10,[6],O-O,,0.29,-0.03,
11,[6],,Bg6,0.41,-0.12,
12,[7],Nbd2,,0.18,-0.23,
13,[7],,Nh6,0.15,0.03,
14,[8],c4,,0.17,0.02,
15,[8],,Be7,0.15,0.02,
16,[9],cxd5,,0.23,0.08,
17,[9],,cxd5,0.08,0.15,
18,[10],Nb3,,0.06,-0.02,
19,[10],,O-O,0.25,-0.19,
20,[11],Bxh6,,0.13,-0.12,
21,[11],,gxh6,0.18,-0.05,
22,[12],Qd2,,0.16,-0.02,
23,[12],,Kg7,0.35,-0.19,
24,[13],Bb5,,0.26,-0.09,
25,[13],,Nb8,0.4,-0.14,
26,[14],Rac1,,0.32,-0.08,
27,[14],,Qb6,0.33,-0.01,
28,[15],Qa5,,0.02,-0.31,
29,[15],,Nc6,0.0,0.02,
30,[16],Bxc6,,0.17,0.17,
31,[16],,bxc6,-0.06,0.23,
32,[17],Qc3,,-0.27,-0.21,
33,[17],,Rfb8,-0.23,-0.04,
34,[18],Qxc6,,-0.41,-0.18,
35,[18],,Qxc6,-0.43,0.02,
36,[19],Rxc6,,-0.41,0.02,
37,[19],,a5,-0.67,0.26,
38,[20],Rc7,,-0.66,0.01,
39,[20],,Bd8,-0.71,0.05,
40,[21],Rd7,,-0.65,0.06,
41,[21],,Kf8,-0.7,0.05,
42,[22],h3,,-0.68,0.02,
43,[22],,Ke8,-0.97,0.29,
44,[23],Nc5,,-0.65,0.32,
45,[23],,Rxb2,-0.68,0.03,
46,[24],a4,,-1.25,-0.57,
47,[24],,Rb4,-1.34,0.09,
48,[25],Rb7,,-1.77,-0.43,
49,[25],,Be7,-1.8,0.03,
50,[26],Rc7,,-1.74,0.06,
51,[26],,Bxc5,-1.72,-0.02,
52,[27],Rxc5,,-1.96,-0.24,
53,[27],,Rxa4,-1.92,-0.04,
54,[28],Rfc1,,-1.89,0.03,
55,[28],,Kd8,-1.54,-0.35,
56,[29],Nd2,,-2.54,-1.0,
57,[29],,Rb4,-2.84,0.3,
58,[30],R5c3,,-2.53,0.31,
59,[30],,a4,-2.65,0.12,
60,[31],Ra1,,-2.64,0.01,
61,[31],,Rxd4,-2.61,-0.03,
62,[32],Nf3,,-2.68,-0.07,
63,[32],,Rc4,-2.61,-0.07,
64,[33],Rca3,,-2.7,-0.09,
65,[33],,Kd7,-2.41,-0.29,
66,[34],Nd2,,-2.73,-0.32,
67,[34],,Rb4,-2.55,-0.18,
68,[35],Kf1,,-2.56,-0.01,
69,[35],,Kc6,-2.66,0.1,
70,[36],Rc3+,,-2.76,-0.1,
71,[36],,Kb5,-2.62,-0.14,
72,[37],Ke1,,-2.67,-0.05,
73,[37],,d4,-2.49,-0.18,
74,[38],Rc7,,-2.46,0.03,
75,[38],,a3,-2.51,0.05,
76,[39],Rb7+,,-2.27,0.24,
77,[39],,Ka4,-2.3,0.03,
78,[40],Rd7,,-2.47,-0.17,
79,[40],,h5,-2.27,-0.2,
80,[41],h4,,-2.4,-0.13,
81,[41],,d3,-2.68,0.28,
82,[42],g3,,-2.42,0.26,
83,[42],,Rb2,-2.51,0.09,
84,[43],Kd1,,-2.31,0.2,
85,[43],,a2,-2.4,0.09,
86,[44],Rb7,,-2.48,-0.08,
87,[44],,Rc2,-2.62,0.14,
88,[45],f3,,-3.29,-0.67,
89,[45],,Ra5,-3.49,0.2,
90,[46],Nc4,,-4.81,-1.32,Erreur
91,[46],,Rc5,-4.93,0.12,
92,[47],Ra7+,,-5.02,-0.09,
93,[47],,Kb4,-5.06,0.04,
94,[48],Nd2,,-5.49,-0.43,
95,[48],,Ra5,-6.15,0.66,
96,[49],Rb7+,,-5.68,0.47,
97,[49],,Kc3,-5.63,-0.05,
98,[50],Rc7+,,-13.98,-8.35,Gaffe
99,[50],,Kb2,-13.96,-0.02,
