Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.15,0.15,
1,[1],,Nf6,0.19,-0.04,
2,[2],c4,,0.2,0.01,
3,[2],,g6,0.43,-0.23,
4,[3],Nc3,,0.46,0.03,
5,[3],,d5,0.45,0.01,
6,[4],Nf3,,0.42,-0.03,
7,[4],,Bg7,0.49,-0.07,
8,[5],Qb3,,0.15,-0.34,
9,[5],,dxc4,0.14,0.01,
10,[6],Qxc4,,0.31,0.17,
11,[6],,O-O,0.28,0.03,
12,[7],e4,,0.09,-0.19,
13,[7],,a6,0.37,-0.28,
14,[8],Be2,,0.22,-0.15,
15,[8],,b5,0.0,0.22,
16,[9],Qb3,,0.25,0.25,
17,[9],,c5,0.15,0.1,
18,[10],dxc5,,0.24,0.09,
19,[10],,Be6,0.65,-0.41,
20,[11],Qc2,,0.3,-0.35,
21,[11],,Nbd7,0.34,-0.04,
22,[12],Be3,,0.34,0.0,
23,[12],,Rc8,0.29,0.05,
24,[13],Rd1,,0.15,-0.14,
25,[13],,b4,0.4,-0.25,
26,[14],Nd5,,0.09,-0.31,
27,[14],,Bxd5,0.24,-0.15,
28,[15],exd5,,0.07,-0.17,
29,[15],,Nxc5,0.14,-0.07,
30,[16],O-O,,0.17,0.03,
31,[16],,Qb6,0.86,-0.69,
32,[17],Ne5,,0.93,0.07,
33,[17],,Qd6,1.21,-0.28,
34,[18],Nc6,,1.31,0.1,
35,[18],,Nb7,1.34,-0.03,
36,[19],Bf4,,0.73,-0.61,
37,[19],,e5,0.63,0.1,
38,[20],Bg5,,0.31,-0.32,
39,[20],,Nxd5,0.28,0.03,
40,[21],Rxd5,,0.24,-0.04,
41,[21],,Rxc6,0.44,-0.2,
42,[22],Qb3,,0.11,-0.33,
43,[22],,Qe6,0.29,-0.18,
44,[23],Rfd1,,0.39,0.1,
45,[23],,a5,0.34,0.05,
46,[24],Bb5,,0.42,0.08,
47,[24],,Rc7,0.25,0.17,
48,[25],Be3,,0.18,-0.07,
49,[25],,Qf6,0.43,-0.25,
50,[26],h3,,0.17,-0.26,
51,[26],,e4,0.12,0.05,
52,[27],Bd4,,0.18,0.06,
53,[27],,Qe6,0.24,-0.06,
54,[28],Bd7,,-0.2,-0.44,
55,[28],,Qa6,0.68,-0.88,
56,[29],Bb5,,0.15,-0.53,
57,[29],,Qe6,0.24,-0.09,
58,[30],Bd7,,-0.2,-0.44,
59,[30],,Qa6,0.68,-0.88,
60,[31],Bb5,,0.15,-0.53,
