Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.23,0.23,
1,[1],,e6,0.17,0.06,
2,[2],d4,,0.19,0.02,
3,[2],,d5,0.25,-0.06,
4,[3],e5,,-0.03,-0.28,
5,[3],,c5,-0.03,0.0,
6,[4],c3,,-0.06,-0.03,
7,[4],,Nc6,-0.04,-0.02,
8,[5],Nf3,,-0.03,0.01,
9,[5],,Bd7,0.0,-0.03,
10,[6],Be2,,0.05,0.05,
11,[6],,f6,0.19,-0.14,
12,[7],O-O,,0.22,0.03,
13,[7],,Qc7,0.27,-0.05,
14,[8],c4,,-0.06,-0.33,
15,[8],,cxd4,-0.13,0.07,
16,[9],cxd5,,-0.21,-0.08,
17,[9],,exd5,-0.19,-0.02,
18,[10],exf6,,-0.33,-0.14,
19,[10],,Nxf6,-0.26,-0.07,
20,[11],Na3,,-0.56,-0.3,
21,[11],,a6,-0.66,0.1,
22,[12],Nc2,,-0.58,0.08,
23,[12],,Bd6,-0.56,-0.02,
24,[13],Ncxd4,,-0.56,0.0,
25,[13],,O-O,-0.67,0.11,
26,[14],Bg5,,-0.65,0.02,
27,[14],,Kh8,-0.44,-0.21,
28,[15],Bh4,,-0.83,-0.39,
29,[15],,Nh5,-0.68,-0.15,
30,[16],Rc1,,-0.75,-0.07,
31,[16],,Nf4,-0.65,-0.1,
32,[17],Bg3,,-0.75,-0.1,
33,[17],,Rae8,-0.68,-0.07,
34,[18],Rc2,,-0.89,-0.21,
35,[18],,Qb6,-0.83,-0.06,
36,[19],Nxc6,,-1.02,-0.19,
37,[19],,bxc6,-0.92,-0.1,
38,[20],a3,,-0.98,-0.06,
39,[20],,a5,-0.87,-0.11,
40,[21],Re1,,-0.99,-0.12,
41,[21],,Bf5,-0.94,-0.05,
42,[22],Rd2,,-0.86,0.08,
43,[22],,Bg4,-0.89,0.03,
44,[23],Bf1,,-0.99,-0.1,
45,[23],,Bxf3,-0.93,-0.06,
46,[24],gxf3,,-0.87,0.06,
47,[24],,Rd8,-0.87,0.0,
48,[25],Qa4,,-1.01,-0.14,
49,[25],,h5,-0.63,-0.38,
50,[26],Rc1,,-0.72,-0.09,
51,[26],,Rc8,-0.48,-0.24,
52,[27],Rdc2,,-0.72,-0.24,
53,[27],,c5,-0.74,0.02,
54,[28],Qb5,,-1.05,-0.31,
55,[28],,Qd8,-1.13,0.08,
56,[29],Re1,,-1.88,-0.75,
57,[29],,Qf6,-1.75,-0.13,
58,[30],b4,,-2.38,-0.63,
59,[30],,axb4,-2.27,-0.11,
60,[31],axb4,,-2.41,-0.14,
61,[31],,h4,-1.08,-1.33,
62,[32],bxc5,,-1.04,0.04,
63,[32],,hxg3,-1.01,-0.03,
64,[33],hxg3,,-1.06,-0.05,
65,[33],,Ng6,0.0,-1.06,
66,[34],Bh3,,-0.66,-0.66,
67,[34],,Ne5,-0.92,0.26,
68,[35],Rxe5,,-0.98,-0.06,
69,[35],,Bxe5,-0.65,-0.33,
70,[36],Bxc8,,-0.93,-0.28,
71,[36],,Rxc8,-0.94,0.01,
72,[37],c6,,-2.38,-1.44,Erreur
73,[37],,Qxf3,-2.32,-0.06,
74,[38],Qb7,,-5.78,-3.46,Gaffe
75,[38],,Rf8,-5.63,-0.15,
76,[39],Qe7,,-6.25,-0.62,
77,[39],,Bxg3,-6.62,0.37,
