Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.23,0.23,
1,[1],,e5,0.27,-0.04,
2,[2],Nf3,,0.27,0.0,
5,[3],,Nf6,0.16,0.11,
6,[4],d3,,0.04,-0.12,
7,[4],,Bc5,0.22,-0.18,
8,[5],c3,,0.07,-0.15,
9,[5],,O-O,0.05,0.02,
10,[6],O-O,,0.15,0.1,
11,[6],,d5,0.24,-0.09,
12,[7],Nbd2,,0.2,-0.04,
13,[7],,dxe4,0.22,-0.02,
14,[8],dxe4,,0.17,-0.05,
15,[8],,Qe7,0.18,-0.01,
16,[9],h3,,0.05,-0.13,
17,[9],,Bd7,0.19,-0.14,
18,[10],a4,,0.0,-0.19,
19,[10],,a6,0.0,0.0,
20,[11],Bc4,,0.0,0.0,
21,[11],,Be6,0.25,-0.25,
22,[12],b4,,0.25,0.0,
23,[12],,Bd6,0.35,-0.1,
24,[13],Bxe6,,0.03,-0.32,
25,[13],,Qxe6,0.12,-0.09,
26,[14],Ng5,,0.1,-0.02,
27,[14],,Qe7,0.08,0.02,
28,[15],a5,,-0.03,-0.11,
29,[15],,Nd8,0.19,-0.22,
30,[16],Re1,,0.25,0.06,
31,[16],,Ne6,0.24,0.01,
32,[17],Nc4,,0.24,0.0,
33,[17],,Rfd8,0.22,0.02,
34,[18],Qe2,,0.31,0.09,
35,[18],,Ne8,0.32,-0.01,
36,[19],Nf3,,0.32,0.0,
37,[19],,f6,0.22,0.1,
38,[20],Be3,,0.32,0.1,
39,[20],,Qf7,0.31,0.01,
40,[21],Rad1,,0.23,-0.08,
41,[21],,Bf8,0.3,-0.07,
42,[22],g3,,0.22,-0.08,
43,[22],,Nd6,0.29,-0.07,
44,[23],Nxd6,,0.28,-0.01,
47,[24],,Bxd6,0.22,0.06,
48,[25],Rd1,,0.22,0.0,
51,[26],,Rd8,0.4,-0.18,
52,[27],Rd5,,0.34,-0.06,
53,[27],,c6,0.39,-0.05,
54,[28],Rxd8,,0.37,-0.02,
55,[28],,Nxd8,0.36,0.01,
56,[29],Qd3,,0.37,0.01,
57,[29],,Ne6,0.29,0.08,
58,[30],Nd2,,0.35,0.06,
59,[30],,Qc7,0.38,-0.03,
60,[31],Nb3,,0.27,-0.11,
61,[31],,g6,0.2,0.07,
62,[32],h4,,0.19,-0.01,
63,[32],,Kg7,0.22,-0.03,
64,[33],Qc4,,0.12,-0.1,
