Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.15,0.15,
1,[1],,Nf6,0.19,-0.04,
2,[2],c4,,0.2,0.01,
3,[2],,e6,0.19,0.01,
4,[3],Nc3,,0.1,-0.09,
5,[3],,Bb4,0.23,-0.13,
6,[4],Qc2,,0.06,-0.17,
7,[4],,O-O,0.01,0.05,
8,[5],a3,,0.05,0.04,
9,[5],,Bxc3+,0.02,0.03,
10,[6],Qxc3,,-0.05,-0.07,
11,[6],,b6,-0.12,0.07,
12,[7],Bg5,,-0.06,0.06,
13,[7],,Bb7,-0.15,0.09,
14,[8],e3,,-0.23,-0.08,
15,[8],,d6,-0.18,-0.05,
16,[9],Ne2,,-0.36,-0.18,
17,[9],,Nbd7,-0.34,-0.02,
18,[10],Qc2,,-0.36,-0.02,
19,[10],,c5,-0.29,-0.07,
20,[11],Rd1,,-0.28,0.01,
21,[11],,Qe7,-0.32,0.04,
22,[12],Nc3,,-0.09,0.23,
23,[12],,Rac8,0.08,-0.17,
24,[13],Be2,,-0.06,-0.14,
25,[13],,h6,0.01,-0.07,
26,[14],Bh4,,-0.01,-0.02,
27,[14],,Bxg2,-0.53,0.52,
28,[15],Rg1,,-0.04,0.49,
29,[15],,Bb7,0.0,-0.04,
30,[16],dxc5,,-0.05,-0.05,
35,[18],,Kh8,0.66,-0.71,
36,[19],Qe3,,0.68,0.02,
37,[19],,Ne5,2.58,-1.9,
38,[20],b4,,0.51,-2.07,Erreur
39,[20],,Rcc8,0.45,0.06,
40,[21],Qd4,,0.29,-0.16,
41,[21],,Ng6,0.23,0.06,
42,[22],Bxf6,,0.28,0.05,
43,[22],,gxf6,0.57,-0.29,
44,[23],exd5,,0.67,0.1,
45,[23],,exd5,0.45,0.22,
46,[24],cxd5,,0.5,0.05,
47,[24],,Qe5,0.63,-0.13,
48,[25],Rg3,,0.58,-0.05,
49,[25],,Nf4,0.61,-0.03,
50,[26],d6,,0.63,0.02,
51,[26],,Rcd8,0.85,-0.22,
52,[27],Qxe5,,0.5,-0.35,
53,[27],,fxe5,0.67,-0.17,
54,[28],Bc4,,0.2,-0.47,
55,[28],,f5,1.09,-0.89,
56,[29],d7,,1.1,0.01,
57,[29],,Nh5,1.39,-0.29,
58,[30],Rg6,,1.13,-0.26,
59,[30],,Nf6,3.32,-2.19,
60,[31],Rd6,,3.56,0.24,
