Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.15,0.15,
1,[1],,Nf6,0.19,-0.04,
2,[2],c4,,0.2,0.01,
3,[2],,e6,0.19,0.01,
4,[3],Nc3,,0.1,-0.09,
5,[3],,d5,0.22,-0.12,
6,[4],cxd5,,0.01,-0.21,
7,[4],,Nxd5,0.5,-0.49,
8,[5],e4,,0.31,-0.19,
9,[5],,Nxc3,0.31,0.0,
10,[6],bxc3,,0.38,0.07,
11,[6],,c5,0.42,-0.04,
12,[7],Rb1,,0.28,-0.14,
13,[7],,cxd4,0.43,-0.15,
14,[8],cxd4,,0.32,-0.11,
15,[8],,Be7,0.36,-0.04,
16,[9],Nf3,,0.36,0.0,
17,[9],,O-O,0.33,0.03,
18,[10],Bc4,,0.31,-0.02,
19,[10],,b6,0.38,-0.07,
20,[11],O-O,,0.35,-0.03,
21,[11],,Bb7,0.46,-0.11,
22,[12],Qe2,,0.39,-0.07,
23,[12],,Nd7,0.29,0.1,
24,[13],Rd1,,0.27,-0.02,
25,[13],,Rc8,0.38,-0.11,
26,[14],Bd3,,0.33,-0.05,
29,[15],,Rfd8,0.36,-0.03,
30,[16],Bd2,,0.45,0.09,
31,[16],,a5,0.43,0.02,
32,[17],g3,,0.15,-0.28,
33,[17],,Qb8,0.53,-0.38,
34,[18],h4,,0.0,-0.53,
35,[18],,Qa8,0.0,0.0,
36,[19],Re1,,0.0,0.0,
37,[19],,Re8,0.34,-0.34,
38,[20],Ng5,,0.12,-0.22,
39,[20],,h6,0.0,0.12,
40,[21],Nh3,,0.0,0.0,
41,[21],,e5,0.87,-0.87,
42,[22],Bxh6,,0.9,0.03,
43,[22],,gxh6,1.05,-0.15,
44,[23],Qg4+,,0.47,-0.58,
45,[23],,Kf8,0.39,0.08,
46,[24],Qxd7,,0.75,0.36,
47,[24],,Bb4,0.43,0.32,
48,[25],Rxb4,,0.0,-0.43,
49,[25],,axb4,0.0,0.0,
50,[26],Qd6+,,0.0,0.0,
51,[26],,Kg7,-0.06,0.06,
52,[27],dxe5,,0.01,0.07,
53,[27],,Re6,0.2,-0.19,
54,[28],Qxb4,,0.0,-0.2,
55,[28],,Rxe5,0.43,-0.43,
56,[29],Qxb6,,0.33,-0.1,
57,[29],,Qa5,0.5,-0.17,
58,[30],Qb1,,0.69,0.19,
59,[30],,Ba8,0.96,-0.27,
60,[31],Qd1,,0.69,-0.27,
61,[31],,Qc3,1.02,-0.33,
62,[32],Nf4,,1.0,-0.02,
63,[32],,Kh8,1.15,-0.15,
64,[33],Qb1,,0.88,-0.27,
65,[33],,Kg8,0.9,-0.02,
66,[34],Rd1,,0.42,-0.48,
67,[34],,Qa3,0.92,-0.5,
68,[35],Re1,,0.43,-0.49,
69,[35],,Qxa4,0.5,-0.07,
70,[36],Qb2,,0.35,-0.15,
71,[36],,Qe8,0.46,-0.11,
72,[37],Ra1,,0.0,-0.46,
73,[37],,Bxe4,0.0,0.0,
74,[38],Re1,,-0.11,-0.11,
75,[38],,Rb8,1.03,-1.14,
76,[39],Qd4,,0.94,-0.09,
77,[39],,Rd8,0.93,0.01,
78,[40],Qe3,,1.02,0.09,
79,[40],,f5,1.58,-0.56,
80,[41],f3,,1.64,0.06,
81,[41],,Bxd3,1.63,0.01,
82,[42],Qxe5,,1.55,-0.08,
83,[42],,Qxe5,1.58,-0.03,
84,[43],Rxe5,,1.68,0.1,
85,[43],,Bb1,1.7,-0.02,
86,[44],Re6,,1.66,-0.04,
87,[44],,Kh7,1.77,-0.11,
88,[45],Re7+,,1.71,-0.06,
89,[45],,Kg8,1.75,-0.04,
90,[46],Kf2,,1.67,-0.08,
91,[46],,Rb8,1.88,-0.21,
92,[47],Ne6,,1.86,-0.02,
93,[47],,Rb3,1.74,0.12,
94,[48],Nd4,,1.81,0.07,
95,[48],,Ra3,1.7,0.11,
96,[49],Rb7,,1.9,0.2,
97,[49],,Bd3,1.8,0.1,
98,[50],Rb6,,1.93,0.13,
99,[50],,Kh7,1.74,0.19,
100,[51],Ke3,,1.72,-0.02,
101,[51],,Bc2+,1.93,-0.21,
102,[52],Kf4,,2.19,0.26,
103,[52],,Bd1,2.26,-0.07,
104,[53],h5,,2.4,0.14,
105,[53],,Ra4,2.22,0.18,
106,[54],Rd6,,2.3,0.08,
107,[54],,Bc2,2.24,0.06,
108,[55],Ke5,,2.51,0.27,
109,[55],,Bb1,2.64,-0.13,
110,[56],Kf6,,2.37,-0.27,
111,[56],,Ra5,2.24,0.13,
112,[57],Rb6,,2.36,0.12,
113,[57],,Bd3,2.35,0.01,
114,[58],Rb3,,2.3,-0.05,
115,[58],,Ra6+,2.32,-0.02,
116,[59],Ke5,,2.44,0.12,
117,[59],,Ra5+,2.66,-0.22,
118,[60],Kf4,,2.67,0.01,
119,[60],,Ba6,2.63,0.04,
120,[61],Nxf5,,2.69,0.06,
121,[61],,Bc8,2.66,0.03,
122,[62],Nd6,,2.72,0.06,
123,[62],,Be6,2.81,-0.09,
124,[63],Rb7+,,2.77,-0.04,
125,[63],,Kg8,2.84,-0.07,
126,[64],g4,,2.91,0.07,
127,[64],,Bd5,2.96,-0.05,
128,[65],Rb8+,,2.67,-0.29,
129,[65],,Kh7,2.63,0.04,
130,[66],Ne4,,2.64,0.01,
131,[66],,Kg7,4.1,-1.46,
132,[67],Rd8,,2.76,-1.34,Erreur
133,[67],,Bf7,2.76,0.0,
134,[68],Rd7,,2.75,-0.01,
135,[68],,Kf8,3.28,-0.53,
136,[69],Rd6,,2.75,-0.53,
137,[69],,Kg7,3.25,-0.5,
138,[70],Ng3,,3.83,0.58,
139,[70],,Ra4+,3.74,0.09,
140,[71],Ke3,,3.8,0.06,
141,[71],,Ra3+,3.42,0.38,
142,[72],Kf2,,3.84,0.42,
143,[72],,Ra2+,3.73,0.11,
144,[73],Ke3,,3.46,-0.27,
145,[73],,Ra3+,3.42,0.04,
146,[74],Kf2,,3.84,0.42,
147,[74],,Ra2+,3.73,0.11,
148,[75],Kg1,,3.81,0.08,
149,[75],,Ra3,4.42,-0.61,
150,[76],Nf5+,,4.41,-0.01,
151,[76],,Kf8,4.39,0.02,
152,[77],Kf2,,4.47,0.08,
