Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.15,0.15,
1,[1],,Nf6,0.19,-0.04,
2,[2],c4,,0.2,0.01,
3,[2],,e6,0.19,0.01,
4,[3],Nc3,,0.1,-0.09,
5,[3],,d5,0.22,-0.12,
6,[4],Bg5,,0.21,-0.01,
7,[4],,Be7,0.21,0.0,
8,[5],Nf3,,0.19,-0.02,
9,[5],,h6,0.21,-0.02,
10,[6],Bxf6,,0.12,-0.09,
11,[6],,Bxf6,0.1,0.02,
12,[7],Qc2,,0.1,0.0,
13,[7],,O-O,0.17,-0.07,
14,[8],O-O-O,,-0.2,-0.37,
15,[8],,dxc4,0.0,-0.2,
16,[9],e4,,-0.14,-0.14,
17,[9],,Nc6,0.06,-0.2,
18,[10],e5,,0.03,-0.03,
19,[10],,Bg5+,0.23,-0.2,
20,[11],Kb1,,0.14,-0.09,
21,[11],,Nb4,-0.01,0.15,
22,[12],Qe4,,0.13,0.14,
23,[12],,Bd7,0.47,-0.34,
24,[13],Bxc4,,0.54,0.07,
25,[13],,Bc6,0.45,0.09,
26,[14],d5,,0.62,0.17,
27,[14],,exd5,0.84,-0.22,
28,[15],Nxd5,,0.74,-0.1,
29,[15],,Nxd5,0.98,-0.24,
30,[16],Bxd5,,0.69,-0.29,
31,[16],,Bxd5,0.81,-0.12,
32,[17],Rxd5,,0.79,-0.02,
33,[17],,Qc8,1.06,-0.27,
34,[18],h4,,0.63,-0.43,
35,[18],,c6,6.05,-5.42,
36,[19],Nxg5,,6.1,0.05,
37,[19],,hxg5,5.98,0.12,
38,[20],hxg5,,6.98,1.0,
39,[20],,f5,,,#9#
40,[21],Qh4,,9.67,9.67,
41,[21],,Qe6,40.49,-30.82,
42,[22],Rd7,,,,#-8#
