Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.23,0.23,
1,[1],,c5,0.37,-0.14,
2,[2],c3,,0.23,-0.14,
3,[2],,d5,0.29,-0.06,
4,[3],exd5,,0.21,-0.08,
5,[3],,Qxd5,0.32,-0.11,
6,[4],Nf3,,0.26,-0.06,
7,[4],,Nc6,0.31,-0.05,
8,[5],Na3,,0.13,-0.18,
9,[5],,Bg4,0.2,-0.07,
10,[6],Be2,,0.21,0.01,
11,[6],,e5,0.19,0.02,
12,[7],Qa4,,-0.6,-0.79,
13,[7],,Bd7,-0.05,-0.55,
14,[8],Qb3,,0.01,0.06,
15,[8],,Qxb3,0.12,-0.11,
16,[9],axb3,,-0.05,-0.17,
17,[9],,f6,-0.03,-0.02,
18,[10],O-O,,0.0,0.03,
19,[10],,Na5,0.48,-0.48,
20,[11],Bd1,,0.06,-0.42,
21,[11],,O-O-O,0.44,-0.38,
22,[12],d4,,0.15,-0.29,
23,[12],,Be6,1.15,-1.0,
24,[13],Nb5,,1.3,0.15,
25,[13],,Nxb3,1.21,0.09,
26,[14],Nxa7+,,1.09,-0.12,
27,[14],,Kc7,1.45,-0.36,
28,[15],Bxb3,,1.18,-0.27,
29,[15],,Bxb3,1.31,-0.13,
30,[16],dxe5,,1.22,-0.09,
31,[16],,Bc4,1.43,-0.21,
32,[17],Re1,,1.44,0.01,
33,[17],,Ba6,1.6,-0.16,
34,[18],Be3,,1.87,0.27,
39,[20],,Bxb4,1.89,-0.02,
40,[21],Rac1+,,1.75,-0.14,
41,[21],,Kd7,1.7,0.05,
42,[22],e6+,,1.71,0.01,
43,[22],,Ke8,1.82,-0.11,
44,[23],Rc8+,,1.61,-0.21,
45,[23],,Rd8,2.54,-0.93,
46,[24],Rxd8+,,2.08,-0.46,
47,[24],,Kxd8,2.45,-0.37,
48,[25],Bb6+,,2.36,-0.09,
49,[25],,Ke7,2.91,-0.55,
50,[26],Nc8+,,3.05,0.14,
51,[26],,Ke8,3.23,-0.18,
52,[27],Rd1,,3.77,0.54,
53,[27],,Be7,3.31,0.46,
54,[28],Rd7,,2.39,-0.92,
55,[28],,Bc4,2.55,-0.16,
56,[29],Rxe7+,,2.55,0.0,
57,[29],,Nxe7,2.62,-0.07,
58,[30],Nd6+,,2.56,-0.06,
59,[30],,Kf8,2.6,-0.04,
60,[31],Nxc4,,2.62,0.02,
61,[31],,Nd5,2.74,-0.12,
62,[32],Bc5+,,2.67,-0.07,
63,[32],,Ke8,5.36,-2.69,
64,[33],Nd6+,,5.37,0.01,
