Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.23,0.23,
1,[1],,c5,0.37,-0.14,
2,[2],Nf3,,0.33,-0.04,
3,[2],,e6,0.32,0.01,
4,[3],d4,,0.24,-0.08,
5,[3],,cxd4,0.25,-0.01,
6,[4],Nxd4,,0.18,-0.07,
9,[5],,d6,0.21,-0.03,
10,[6],Be3,,0.26,0.05,
11,[6],,a6,0.22,0.04,
12,[7],f3,,0.2,-0.02,
13,[7],,Qc7,0.43,-0.23,
14,[8],g4,,0.37,-0.06,
15,[8],,h6,0.55,-0.18,
16,[9],Qd2,,0.46,-0.09,
17,[9],,Nc6,0.47,-0.01,
18,[10],O-O-O,,0.61,0.14,
19,[10],,Be7,0.87,-0.26,
20,[11],h4,,0.87,0.0,
21,[11],,b5,0.89,-0.02,
22,[12],Nxc6,,0.75,-0.14,
25,[13],,Nd7,0.62,0.13,
26,[14],Nd4,,0.58,-0.04,
27,[14],,Qc7,0.66,-0.08,
28,[15],Be2,,0.53,-0.13,
29,[15],,h5,0.56,-0.03,
30,[16],gxh5,,0.61,0.05,
31,[16],,Rxh5,0.7,-0.09,
32,[17],f4,,0.52,-0.18,
33,[17],,Rh8,0.84,-0.32,
34,[18],Bf3,,0.79,-0.05,
35,[18],,Bb7,0.82,-0.03,
36,[19],Qg2,,0.65,-0.17,
37,[19],,Rg8,0.78,-0.13,
38,[20],e5,,0.69,-0.09,
39,[20],,Bxf3,0.6,0.09,
40,[21],Nxf3,,0.63,0.03,
41,[21],,Rc8,0.79,-0.16,
42,[22],f5,,1.03,0.24,
43,[22],,Nxe5,1.34,-0.31,
44,[23],fxe6,,1.26,-0.08,
45,[23],,Qc6,1.04,0.22,
46,[24],exf7+,,1.39,0.35,
47,[24],,Kxf7,1.39,0.0,
48,[25],Rhf1,,0.61,-0.78,
49,[25],,Ke8,0.72,-0.11,
50,[26],Bd4,,0.75,0.03,
51,[26],,Rf8,0.74,0.01,
52,[27],Bxe5,,0.74,0.0,
53,[27],,dxe5,0.77,-0.03,
54,[28],Kb1,,0.81,0.04,
58,[30],Qh8+,,3.2,2.39,
