Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.23,0.23,
1,[1],,e5,0.27,-0.04,
2,[2],Nf3,,0.27,0.0,
5,[3],,a6,0.41,-0.14,
6,[4],Ba4,,0.06,-0.35,
7,[4],,Nf6,0.09,-0.03,
8,[5],O-O,,0.12,0.03,
9,[5],,Be7,0.12,0.0,
10,[6],Re1,,0.06,-0.06,
11,[6],,b5,0.0,0.06,
12,[7],Bb3,,0.0,0.0,
13,[7],,O-O,0.06,-0.06,
14,[8],h3,,0.02,-0.04,
15,[8],,d6,0.15,-0.13,
16,[9],c3,,0.03,-0.12,
17,[9],,Na5,0.08,-0.05,
18,[10],Bc2,,0.09,0.01,
19,[10],,c5,0.15,-0.06,
20,[11],d4,,0.1,-0.05,
21,[11],,Nd7,0.24,-0.14,
22,[12],dxe5,,-0.02,-0.26,
23,[12],,dxe5,0.1,-0.12,
24,[13],Nbd2,,0.14,0.04,
25,[13],,Nc6,0.49,-0.35,
26,[14],Nf1,,0.32,-0.17,
27,[14],,c4,0.52,-0.2,
28,[15],Ne3,,0.71,0.19,
29,[15],,Nc5,0.89,-0.18,
30,[16],Nd5,,0.81,-0.08,
31,[16],,Be6,0.94,-0.13,
32,[17],Be3,,0.94,0.0,
33,[17],,h6,1.0,-0.06,
34,[18],b4,,1.07,0.07,
35,[18],,cxb3,0.97,0.1,
36,[19],axb3,,0.95,-0.02,
37,[19],,Re8,1.01,-0.06,
38,[20],Re2,,0.75,-0.26,
39,[20],,Bf8,0.88,-0.13,
40,[21],Rd2,,0.73,-0.15,
41,[21],,Qb8,0.94,-0.21,
42,[22],Re2,,0.47,-0.47,
43,[22],,Qd8,0.88,-0.41,
44,[23],Rd2,,0.73,-0.15,
45,[23],,Qb8,0.94,-0.21,
46,[24],b4,,0.77,-0.17,
47,[24],,Nd7,0.72,0.05,
48,[25],Bb3,,0.69,-0.03,
49,[25],,a5,0.87,-0.18,
50,[26],bxa5,,0.84,-0.03,
51,[26],,Rxa5,0.74,0.1,
52,[27],Rb1,,0.87,0.13,
53,[27],,Bc5,2.57,-1.7,
54,[28],Nb4,,2.82,0.25,
55,[28],,Nxb4,4.16,-1.34,
56,[29],Bxe6,,4.27,0.11,
57,[29],,Bxe3,4.15,0.12,
58,[30],Bxf7+,,4.46,0.31,
59,[30],,Kxf7,4.53,-0.07,
60,[31],Rxd7+,,4.48,-0.05,
