Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.23,0.23,
1,[1],,e5,0.27,-0.04,
2,[2],Nf3,,0.27,0.0,
5,[3],,f5,0.51,-0.24,
6,[4],d3,,0.43,-0.08,
7,[4],,fxe4,0.5,-0.07,
8,[5],dxe4,,0.5,0.0,
9,[5],,Nf6,0.44,0.06,
10,[6],O-O,,0.45,0.01,
11,[6],,Bc5,0.37,0.08,
12,[7],Bxc6,,0.39,0.02,
13,[7],,bxc6,0.4,-0.01,
14,[8],Nxe5,,0.39,-0.01,
15,[8],,O-O,0.43,-0.04,
16,[9],Bg5,,0.29,-0.14,
17,[9],,Qe8,0.44,-0.15,
18,[10],Bxf6,,0.43,-0.01,
19,[10],,Rf8,0.12,0.31,
20,[11],Nd2,,0.12,0.0,
21,[11],,Ba6,0.63,-0.51,
22,[12],c4,,0.06,-0.57,
23,[12],,cxd6,0.13,-0.07,
24,[13],Qg4,,-0.1,-0.23,
25,[13],,h5,-0.06,-0.04,
26,[14],Qd1,,0.0,0.06,
27,[14],,d5,0.21,-0.21,
28,[15],Qc2,,-0.2,-0.41,
29,[15],,Qg6,-0.2,0.0,
30,[16],Qc3,,0.0,0.2,
31,[16],,Rad8,0.2,-0.2,
32,[17],Nb4,,-0.19,-0.39,
33,[17],,Bc8,-0.36,0.17,
34,[18],c5,,-0.48,-0.12,
35,[18],,Bc7,-0.64,0.16,
36,[19],Nb3,,-1.24,-0.6,
37,[19],,a5,-1.16,-0.08,
38,[20],Nd3,,-1.2,-0.04,
39,[20],,d4,-1.32,0.12,
40,[21],Qd2,,-1.33,-0.01,
41,[21],,Bh3,-1.28,-0.05,
42,[22],f3,,-1.27,0.01,
43,[22],,Bxg2,-1.22,-0.05,
44,[23],Qxg2,,-1.23,-0.01,
45,[23],,Qxd3,-1.21,-0.02,
46,[24],Nd2,,-1.18,0.03,
53,[27],,Be5,-1.13,-0.05,
54,[28],Nd2,,-1.3,-0.17,
55,[28],,d3,-1.25,-0.05,
56,[29],Nc4,,-1.33,-0.08,
57,[29],,Qd4,-1.47,0.14,
58,[30],Nxe5,,-1.44,0.03,
59,[30],,Rxe5,-1.44,0.0,
60,[31],Qg6,,-1.72,-0.28,
61,[31],,d2,-1.74,0.02,
62,[32],Qxc6,,-2.41,-0.67,
63,[32],,Rxc5,-1.25,-1.16,
64,[33],Qe6+,,-1.36,-0.11,
65,[33],,Kh8,-0.86,-0.5,
66,[34],Qe7,,-0.64,0.22,
67,[34],,Rcf5,-0.31,-0.33,
68,[35],Qe2,,-2.01,-1.7,Erreur
69,[35],,Rd8,-1.81,-0.2,
70,[36],b3,,-1.49,0.32,
71,[36],,Re5,-2.11,0.62,
72,[37],Qg2,,-2.02,0.09,
73,[37],,Qc3,-1.99,-0.03,
74,[38],Qg3,,-2.96,-0.97,
75,[38],,Re2,-3.1,0.14,
76,[39],Qg5,,-4.91,-1.81,Erreur
77,[39],,Rd6,-4.95,0.04,
78,[40],h3,,-50.8,-45.85,Gaffe
79,[40],,Rf6,-5.75,-45.05,
80,[41],Qxh5+,,-55.76,-50.01,Gaffe
81,[41],,Rh6,,,#-16#
82,[42],Qg4,,,,#14#
83,[42],,Qc7,-45.99,45.99,Gaffe
84,[43],f4,,,,#12#
85,[43],,Qc6+,,,#-10#
