Ply,Move,White,Black,Score,Eval,Comment
0,[1],Nf3,,0.22,0.22,
1,[1],,d5,0.19,0.03,
2,[2],g3,,-0.01,-0.2,
5,[3],,Bg4,0.11,-0.12,
6,[4],Bg2,,0.06,-0.05,
7,[4],,Qd7,0.24,-0.18,
8,[5],c3,,0.2,-0.04,
15,[8],,Nb8,1.09,-0.89,
16,[9],Qb3,,1.01,-0.08,
17,[9],,g5,1.18,-0.17,
18,[10],c4,,1.22,0.04,
19,[10],,dxc4,1.44,-0.22,
20,[11],Nxc4,,1.53,0.09,
21,[11],,e5,2.5,-0.97,
22,[12],Bb2,,2.47,-0.03,
23,[12],,Bh3,2.74,-0.27,
24,[13],Bxh3,,2.44,-0.3,
25,[13],,Qxh3,3.12,-0.68,
26,[14],Rc1,,2.75,-0.37,
27,[14],,b6,3.1,-0.35,
28,[15],Qc3,,2.28,-0.82,
29,[15],,Rh7,2.72,-0.44,
30,[16],dxe5,,2.74,0.02,
31,[16],,Bc5,2.75,-0.01,
32,[17],Ba3,,2.64,-0.11,
33,[17],,Nd7,2.82,-0.18,
34,[18],Bxc5,,2.69,-0.13,
35,[18],,Nxc5,2.37,0.32,
36,[19],exf6,,2.61,0.24,
37,[19],,Ne4,3.77,-1.16,
38,[20],Qa3,,4.04,0.27,
39,[20],,c5,8.57,-4.53,
40,[21],bxc6,,9.1,0.53,
41,[21],,Ngxf6,9.02,0.08,
42,[22],Nxb6+,,9.04,0.02,
43,[22],,axb6,9.22,-0.18,
44,[23],c7,,3.42,-5.8,Gaffe
45,[23],,Rxc7,3.53,-0.11,
46,[24],Qa8+,,2.93,-0.6,
47,[24],,Kd7,2.82,0.11,
48,[25],Rd1+,,2.98,0.16,
49,[25],,Nd6,3.6,-0.62,
50,[26],Rxd6+,,3.46,-0.14,
51,[26],,Kxd6,3.48,-0.02,
52,[27],Qxd8+,,2.97,-0.51,
53,[27],,Nd7,3.5,-0.53,
54,[28],Qxg5,,3.06,-0.44,
55,[28],,Rc5,3.03,0.03,
56,[29],Qf4+,,2.87,-0.16,
57,[29],,Kc6,3.83,-0.96,
58,[30],Kd2,,3.23,-0.6,
59,[30],,Kb7,3.54,-0.31,
60,[31],Qe4+,,3.43,-0.11,
61,[31],,Ka7,4.18,-0.75,
62,[32],Rb1,,3.21,-0.97,
63,[32],,Nb8,3.66,-0.45,
64,[33],Nd4,,3.66,0.0,
65,[33],,Qd7,3.74,-0.08,
66,[34],Ke1,,3.78,0.04,
67,[34],,Na6,4.25,-0.47,
68,[35],Qe6,,3.58,-0.67,
69,[35],,Qxe6,3.62,-0.04,
70,[36],Nxe6,,3.57,-0.05,
71,[36],,Rc2,3.93,-0.36,
72,[37],Nf4,,3.9,-0.03,
73,[37],,Rxa2,4.31,-0.41,
74,[38],Nd5,,3.8,-0.51,
75,[38],,Nc5,4.06,-0.26,
76,[39],Nxb6,,4.04,-0.02,
77,[39],,Ne4,4.07,-0.03,
78,[40],Nd5,,4.17,0.1,
79,[40],,Rd2,4.96,-0.79,
80,[41],Ra1+,,4.85,-0.11,
