Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.23,0.23,
1,[1],,c5,0.37,-0.14,
2,[2],Nf3,,0.33,-0.04,
3,[2],,Nc6,0.37,-0.04,
4,[3],d4,,0.31,-0.06,
5,[3],,cxd4,0.27,0.04,
6,[4],Nxd4,,-0.01,-0.28,
7,[4],,Nf6,0.21,-0.22,
8,[5],Nc3,,0.21,0.0,
9,[5],,e5,0.18,0.03,
10,[6],Ndb5,,0.18,0.0,
11,[6],,d6,0.18,0.0,
12,[7],Bg5,,0.1,-0.08,
13,[7],,a6,0.1,0.0,
14,[8],Na3,,0.17,0.07,
15,[8],,b5,0.23,-0.06,
16,[9],Nd5,,-0.02,-0.25,
17,[9],,Be7,0.12,-0.14,
18,[10],Bxf6,,-0.01,-0.13,
19,[10],,Bxf6,0.01,-0.02,
20,[11],c4,,0.05,0.04,
21,[11],,b4,0.06,-0.01,
22,[12],Nc2,,0.1,0.04,
23,[12],,O-O,0.16,-0.06,
24,[13],g3,,0.1,-0.06,
25,[13],,Bg5,0.13,-0.03,
26,[14],h4,,0.14,0.01,
27,[14],,Bh6,0.08,0.06,
28,[15],Bh3,,-0.01,-0.09,
29,[15],,Be6,0.0,-0.01,
30,[16],Kf1,,0.08,0.08,
31,[16],,a5,0.11,-0.03,
32,[17],Kg2,,0.13,0.02,
33,[17],,Ra7,0.2,-0.07,
34,[18],Qd3,,0.16,-0.04,
35,[18],,Qb8,0.19,-0.03,
36,[19],Rad1,,-0.03,-0.22,
37,[19],,Nd8,0.5,-0.53,
38,[20],Nce3,,0.1,-0.4,
39,[20],,Bxe3,0.13,-0.03,
40,[21],Nxe3,,0.18,0.05,
41,[21],,Rd7,0.48,-0.3,
42,[22],Nf5,,0.04,-0.44,
43,[22],,Nb7,0.16,-0.12,
44,[23],Qe3,,0.05,-0.11,
45,[23],,Rfd8,0.13,-0.08,
46,[24],h5,,-0.16,-0.29,
47,[24],,h6,0.0,-0.16,
48,[25],Nxh6+,,-0.06,-0.06,
49,[25],,gxh6,0.1,-0.16,
50,[26],Qxh6,,-0.06,-0.16,
51,[26],,Nc5,0.11,-0.17,
52,[27],Qg5+,,0.0,-0.11,
53,[27],,Kh7,0.0,0.0,
54,[28],Bf5+,,0.0,0.0,
55,[28],,Bxf5,0.0,0.0,
56,[29],Qxf5+,,0.0,0.0,
57,[29],,Kh8,0.0,0.0,
58,[30],Qf6+,,0.0,0.0,
59,[30],,Kh7,0.0,0.0,
60,[31],Qf5+,,0.0,0.0,
61,[31],,Kh8,0.0,0.0,
62,[32],Qf6+,,0.0,0.0,
