Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.23,0.23,
1,[1],,d6,0.52,-0.29,
2,[2],d4,,0.43,-0.09,
3,[2],,Nf6,0.53,-0.1,
4,[3],Nc3,,0.4,-0.13,
5,[3],,e5,0.74,-0.34,
6,[4],Nf3,,0.37,-0.37,
7,[4],,Nbd7,0.36,0.01,
8,[5],Bc4,,0.27,-0.09,
9,[5],,Be7,0.54,-0.27,
10,[6],O-O,,0.32,-0.22,
11,[6],,Nb6,0.5,-0.18,
12,[7],Be2,,0.49,-0.01,
13,[7],,Nfd7,0.55,-0.06,
14,[8],a4,,0.5,-0.05,
15,[8],,a5,0.55,-0.05,
16,[9],Be3,,0.58,0.03,
17,[9],,c6,0.62,-0.04,
18,[10],d5,,0.17,-0.45,
21,[11],,Nb8,0.39,-0.22,
22,[12],Rb3,,0.41,0.02,
23,[12],,N6d7,0.6,-0.19,
24,[13],Nd2,,0.53,-0.07,
25,[13],,Na6,0.45,0.08,
26,[14],Bxa6,,0.46,0.01,
27,[14],,Rxa6,0.47,-0.01,
28,[15],Nc4,,0.64,0.17,
29,[15],,Nf6,0.83,-0.19,
30,[16],Bb6,,0.51,-0.32,
31,[16],,Qe8,0.52,-0.01,
32,[17],Nxa5,,0.26,-0.26,
33,[17],,cxd5,0.45,-0.19,
34,[18],exd5,,0.21,-0.24,
35,[18],,Bg4,0.35,-0.14,
36,[19],Qd3,,0.45,0.1,
37,[19],,Qc8,0.33,0.12,
38,[20],Nxb7,,-0.31,-0.64,
40,[21],Na5,,1.44,1.75,
41,[21],,Bd7,1.63,-0.19,
42,[22],Nb5,,1.05,-0.58,
45,[23],,Qa8,2.44,-1.39,
46,[24],Bd2,,2.66,0.22,
49,[25],,Bf5,2.5,0.16,
50,[26],Ra3,,2.1,-0.4,
51,[26],,Bxd3,2.16,-0.06,
52,[27],Rxa4,,2.24,0.08,
53,[27],,Bxf1,2.23,0.01,
54,[28],Kxf1,,2.3,0.07,
55,[28],,Rb8,2.25,0.05,
56,[29],Bb4,,2.25,0.0,
57,[29],,g6,2.67,-0.42,
58,[30],Na7,,2.34,-0.33,
59,[30],,Bf8,2.26,0.08,
60,[31],Nc6,,2.35,0.09,
61,[31],,Rb7,2.44,-0.09,
62,[32],Ra8,,2.53,0.09,
74,[38],Nd8,,2.6,0.07,
75,[38],,Rb5,3.44,-0.84,
76,[39],Ne6+,,3.42,-0.02,
77,[39],,Kh6,4.36,-0.94,
78,[40],Rxf8,,4.56,0.2,
79,[40],,Rxd5,4.49,0.07,
80,[41],Rf4,,4.6,0.11,
