Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.15,0.15,
1,[1],,f5,0.58,-0.43,
2,[2],c4,,0.46,-0.12,
3,[2],,Nf6,0.36,0.1,
4,[3],Nc3,,0.33,-0.03,
6,[4],Bg5,,0.28,-0.05,
7,[4],,Nbd7,0.28,0.0,
8,[5],Qc2,,0.21,-0.07,
9,[5],,g6,0.23,-0.02,
10,[6],e4,,0.06,-0.17,
11,[6],,fxe4,0.06,0.0,
12,[7],Nxe4,,-0.17,-0.23,
13,[7],,Bg7,0.14,-0.31,
14,[8],Nxf6+,,0.03,-0.11,
15,[8],,exf6,0.06,-0.03,
16,[9],Be3,,0.02,-0.04,
17,[9],,O-O,0.07,-0.05,
18,[10],Bd3,,-0.01,-0.08,
19,[10],,f5,0.0,-0.01,
20,[11],Ne2,,0.09,0.09,
21,[11],,Nf6,0.31,-0.22,
22,[12],h3,,-0.03,-0.34,
23,[12],,Bd7,0.22,-0.25,
24,[13],d5,,0.0,-0.22,
25,[13],,Nh5,-0.19,0.19,
26,[14],O-O-O,,-0.31,-0.12,
27,[14],,f4,-0.41,0.1,
28,[15],Bd4,,-0.25,0.16,
29,[15],,f3,-0.45,0.2,
30,[16],gxf3,,-0.49,-0.04,
31,[16],,Rxf3,-0.41,-0.08,
32,[17],h4,,-0.76,-0.35,
33,[17],,Qf8,-0.6,-0.16,
34,[18],Be4,,-0.37,0.23,
35,[18],,Bh6+,-0.5,0.13,
36,[19],Kb1,,-0.56,-0.06,
37,[19],,Re8,-0.54,-0.02,
38,[20],Ka1,,-0.56,-0.02,
39,[20],,Bf5,-0.6,0.04,
40,[21],Bxf5,,-0.49,0.11,
41,[21],,Qxf5,-0.5,0.01,
42,[22],Qxf5,,-0.51,-0.01,
43,[22],,gxf5,-0.48,-0.03,
44,[23],Nc3,,-0.7,-0.22,
45,[23],,a6,-0.62,-0.08,
46,[24],c5,,-0.74,-0.12,
47,[24],,Kf7,-0.68,-0.06,
48,[25],a3,,-0.73,-0.05,
49,[25],,dxc5,-0.84,0.11,
50,[26],Bxc5,,-0.8,0.04,
51,[26],,b6,-0.51,-0.29,
52,[27],Bd4,,-0.6,-0.09,
53,[27],,Bf4,-0.61,0.01,
54,[28],Rhg1,,-0.54,0.07,
55,[28],,Nf6,-0.58,0.04,
56,[29],Kb1,,-0.57,0.01,
57,[29],,Ng4,-0.52,-0.05,
58,[30],Kc2,,-0.58,-0.06,
59,[30],,Bh2,-0.72,0.14,
60,[31],Rh1,,-1.11,-0.39,
61,[31],,Be5,-1.16,0.05,
62,[32],Rd3,,-1.78,-0.62,
63,[32],,Rxd3,-1.85,0.07,
64,[33],Kxd3,,-1.68,0.17,
65,[33],,c5,-1.71,0.03,
