Ply,Move,White,Black,Score,Eval,Comment
0,[1],Nf3,,0.22,0.22,
1,[1],,Nf6,0.17,0.05,
2,[2],g3,,-0.05,-0.22,
3,[2],,g6,0.17,-0.22,
4,[3],Bg2,,0.13,-0.04,
5,[3],,Bg7,0.14,-0.01,
6,[4],O-O,,0.12,-0.02,
7,[4],,O-O,0.25,-0.13,
8,[5],c4,,0.16,-0.09,
9,[5],,c6,0.23,-0.07,
10,[6],Qc2,,-0.07,-0.3,
11,[6],,d5,0.06,-0.13,
12,[7],b3,,-0.11,-0.17,
13,[7],,Bg4,0.13,-0.24,
14,[8],Bb2,,0.13,0.0,
15,[8],,Nbd7,0.09,0.04,
16,[9],d3,,0.14,0.05,
17,[9],,Re8,0.1,0.04,
18,[10],Ne5,,0.07,-0.03,
19,[10],,Nxe5,0.0,0.07,
20,[11],Bxe5,,0.05,0.05,
21,[11],,Qd7,-0.01,0.06,
22,[12],e4,,-0.18,-0.17,
23,[12],,Bh3,0.0,-0.18,
24,[13],Nc3,,-0.09,-0.09,
25,[13],,Bxg2,-0.06,-0.03,
26,[14],Kxg2,,0.0,0.06,
27,[14],,dxe4,-0.07,0.07,
28,[15],dxe4,,-0.08,-0.01,
29,[15],,b5,0.13,-0.21,
30,[16],cxb5,,0.0,-0.13,
31,[16],,cxb5,0.09,-0.09,
32,[17],Qe2,,0.16,0.07,
33,[17],,a6,0.1,0.06,
34,[18],Rad1,,0.0,-0.1,
35,[18],,Qb7,0.16,-0.16,
36,[19],Qf3,,0.0,-0.16,
39,[20],,Red8,-0.09,0.09,
