Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.23,0.23,
1,[1],,e5,0.27,-0.04,
2,[2],Nf3,,0.27,0.0,
3,[2],,Nf6,0.27,0.0,
4,[3],Nxe5,,0.28,0.01,
5,[3],,d6,0.37,-0.09,
6,[4],Nf3,,0.35,-0.02,
7,[4],,Nxe4,0.32,0.03,
8,[5],Nc3,,0.18,-0.14,
9,[5],,Nxc3,0.22,-0.04,
10,[6],dxc3,,0.16,-0.06,
11,[6],,Be7,0.19,-0.03,
12,[7],Be3,,0.02,-0.17,
13,[7],,Nc6,0.12,-0.1,
14,[8],Qd2,,0.17,0.05,
15,[8],,Be6,0.13,0.04,
16,[9],O-O-O,,0.22,0.09,
17,[9],,Qd7,0.23,-0.01,
18,[10],Kb1,,0.18,-0.05,
19,[10],,Bf6,0.32,-0.14,
20,[11],h4,,0.27,-0.05,
21,[11],,O-O-O,0.31,-0.04,
22,[12],Nd4,,0.27,-0.04,
23,[12],,Nxd4,0.25,0.02,
24,[13],Bxd4,,0.29,0.04,
25,[13],,Be5,0.2,0.09,
26,[14],f4,,-0.1,-0.3,
27,[14],,c5,0.0,-0.1,
28,[15],Bxe5,,-0.01,-0.01,
29,[15],,dxe5,0.0,-0.01,
30,[16],Qxd7+,,0.0,0.0,
31,[16],,Rxd7,-0.08,0.08,
32,[17],Rxd7,,0.04,0.12,
33,[17],,Bxd7,0.0,0.04,
34,[18],fxe5,,-0.01,-0.01,
35,[18],,Re8,0.0,-0.01,
36,[19],Bc4,,0.07,0.07,
37,[19],,Rxe5,0.09,-0.02,
38,[20],Bxf7,,0.0,-0.09,
39,[20],,Bc6,0.01,-0.01,
40,[21],Rg1,,0.12,0.11,
41,[21],,Bxg2,0.0,0.12,
42,[22],b4,,-0.05,-0.05,
43,[22],,Re7,0.0,-0.05,
44,[23],Rxg2,,0.0,0.0,
45,[23],,Rxf7,-0.12,0.12,
46,[24],Rg5,,-0.24,-0.12,
47,[24],,cxb4,-0.21,-0.03,
48,[25],cxb4,,-0.24,-0.03,
49,[25],,Kd7,-0.12,-0.12,
50,[26],Kb2,,-0.36,-0.24,
51,[26],,Ke6,-0.16,-0.2,
52,[27],Kb3,,-0.15,0.01,
53,[27],,g6,0.0,-0.15,
54,[28],c4,,-0.36,-0.36,
55,[28],,Rf3+,-0.38,0.02,
56,[29],Ka4,,-0.56,-0.18,
57,[29],,Rf4,-0.38,-0.18,
58,[30],Rb5,,-0.24,0.14,
59,[30],,Rf7,-0.11,-0.13,
60,[31],Rg5,,-0.36,-0.25,
61,[31],,Rg7,-0.67,0.31,
62,[32],c5,,-0.71,-0.04,
63,[32],,h6,-0.68,-0.03,
64,[33],Rg1,,-0.89,-0.21,
65,[33],,g5,-0.43,-0.46,
66,[34],hxg5,,-0.57,-0.14,
67,[34],,hxg5,-0.7,0.13,
68,[35],Kb5,,-1.02,-0.32,
69,[35],,Kd5,-0.6,-0.42,
70,[36],Rg4,,-0.27,0.33,
71,[36],,Rg6,-0.57,0.3,
72,[37],a4,,-0.95,-0.38,
73,[37],,Ke5,0.0,-0.95,
74,[38],Kc4,,0.0,0.0,
75,[38],,Kf5,0.0,0.0,
76,[39],Rg1,,0.0,0.0,
77,[39],,g4,0.0,0.0,
78,[40],Kd5,,0.0,0.0,
79,[40],,a6,0.0,0.0,
