Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.15,0.15,
1,[1],,Nf6,0.19,-0.04,
2,[2],c4,,0.2,0.01,
3,[2],,e6,0.19,0.01,
4,[3],g3,,0.0,-0.19,
9,[5],,d6,0.28,-0.28,
10,[6],Nc3,,0.33,0.05,
11,[6],,g6,0.38,-0.05,
12,[7],Bg2,,0.42,0.04,
13,[7],,Bg7,0.39,0.03,
14,[8],Nf3,,0.22,-0.17,
15,[8],,O-O,0.46,-0.24,
16,[9],O-O,,0.27,-0.19,
17,[9],,Re8,0.21,0.06,
18,[10],Nd2,,0.13,-0.08,
19,[10],,b6,0.22,-0.09,
20,[11],a4,,0.08,-0.14,
21,[11],,Nbd7,0.19,-0.11,
22,[12],h3,,0.17,-0.02,
23,[12],,a6,0.18,-0.01,
24,[13],f4,,0.0,-0.18,
25,[13],,Nh5,0.27,-0.27,
26,[14],Kh2,,0.0,-0.27,
27,[14],,Rb8,0.21,-0.21,
28,[15],g4,,0.0,-0.21,
29,[15],,Nhf6,0.0,0.0,
30,[16],g5,,-0.06,-0.06,
31,[16],,Nh5,0.05,-0.11,
32,[17],Nc4,,0.0,-0.05,
35,[18],,Bf8,-0.03,0.03,
36,[19],Bd2,,-0.48,-0.45,
43,[22],,Ra8,-0.68,0.2,
44,[23],e4,,-0.82,-0.14,
45,[23],,Nb6,-0.98,0.16,
46,[24],exf5,,-1.08,-0.1,
47,[24],,Bxf5,-1.06,-0.02,
48,[25],Ng4,,-1.55,-0.49,
49,[25],,b4,-1.35,-0.2,
50,[26],Re1,,-1.8,-0.45,
51,[26],,Rxe1,-0.9,-0.9,
52,[27],Qxe1,,-1.63,-0.73,
53,[27],,Qf7,-1.22,-0.41,
54,[28],Qf1,,-1.57,-0.35,
55,[28],,Bd7,-0.86,-0.71,
56,[29],Qf2,,-2.01,-1.15,Erreur
57,[29],,Bg7,-2.01,0.0,
58,[30],Qf1,,-2.15,-0.14,
59,[30],,Qf8,-1.94,-0.21,
60,[31],Qc1,,-2.56,-0.62,
61,[31],,Ra7,-1.89,-0.67,
62,[32],Nc6,,-2.82,-0.93,
63,[32],,Rxa1,-3.17,0.35,
64,[33],Qxa1,,-2.85,0.32,
65,[33],,Nxf4,-3.16,0.31,
66,[34],Qa7,,-3.68,-0.52,
67,[34],,Nxg2,-2.97,-0.71,
68,[35],Kxg2,,-3.31,-0.34,
69,[35],,Bxg4,-4.31,1.0,
70,[36],hxg4,,-3.27,1.04,
71,[36],,Nxd5,-3.12,-0.15,
72,[37],Qa2,,-3.31,-0.19,
73,[37],,Qf7,-3.16,-0.15,
74,[38],Qa8+,,-3.19,-0.03,
75,[38],,Bf8,-3.4,0.21,
76,[39],Nd8,,-3.17,0.23,
77,[39],,Nb6,-3.06,-0.11,
78,[40],Nxf7,,-3.22,-0.16,
79,[40],,Nxa8,-3.39,0.17,
80,[41],Nd8,,-3.38,0.01,
