Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.15,0.15,
1,[1],,d5,0.2,-0.05,
2,[2],c4,,0.29,0.09,
3,[2],,c6,0.31,-0.02,
4,[3],Nf3,,0.25,-0.06,
9,[5],,h6,0.33,-0.08,
10,[6],Bxf6,,0.38,0.05,
11,[6],,Qxf6,0.24,0.14,
12,[7],Nc3,,0.26,0.02,
13,[7],,Nd7,0.12,0.14,
14,[8],e3,,0.06,-0.06,
17,[9],,Bg7,0.44,-0.38,
18,[10],O-O,,0.34,-0.1,
19,[10],,O-O,0.35,-0.01,
20,[11],Rad1,,0.23,-0.12,
21,[11],,b6,0.5,-0.27,
22,[12],Qa4,,0.51,0.01,
23,[12],,Nb8,0.53,-0.02,
24,[13],e4,,0.44,-0.09,
25,[13],,dxc4,0.31,0.13,
26,[14],Qxc4,,0.36,0.05,
27,[14],,Ba6,0.47,-0.11,
28,[15],Qa4,,0.58,0.11,
29,[15],,Bxd3,0.62,-0.04,
30,[16],Rxd3,,0.74,0.12,
31,[16],,a5,0.84,-0.1,
32,[17],e5,,0.79,-0.05,
33,[17],,Qd8,0.79,0.0,
34,[18],Ne4,,0.6,-0.19,
35,[18],,Qd5,0.58,0.02,
36,[19],Re1,,0.32,-0.26,
37,[19],,Na6,0.39,-0.07,
38,[20],a3,,0.27,-0.12,
39,[20],,Nc5,0.39,-0.12,
40,[21],Nxc5,,0.36,-0.03,
41,[21],,bxc5,0.34,0.02,
42,[22],Qc2,,0.33,-0.01,
43,[22],,Rfd8,0.32,0.01,
44,[23],Red1,,0.19,-0.13,
45,[23],,c4,0.6,-0.41,
46,[24],Rc3,,0.59,-0.01,
47,[24],,Rab8,0.63,-0.04,
48,[25],Rb1,,0.46,-0.17,
49,[25],,c5,0.8,-0.34,
50,[26],Rxc4,,0.75,-0.05,
51,[26],,cxd4,0.79,-0.04,
52,[27],Nxd4,,0.76,-0.03,
53,[27],,Qxd4,1.6,-0.84,
54,[28],Rxd4,,1.48,-0.12,
55,[28],,Rxd4,1.47,0.01,
56,[29],Re1,,1.13,-0.34,
57,[29],,Rd5,1.66,-0.53,
58,[30],f4,,1.57,-0.09,
59,[30],,Bf8,1.44,0.13,
60,[31],h4,,1.32,-0.12,
61,[31],,Rdb5,1.26,0.06,
62,[32],Re2,,1.18,-0.08,
63,[32],,h5,1.52,-0.34,
64,[33],Kh2,,1.41,-0.11,
65,[33],,Rb3,1.35,0.06,
66,[34],Rd2,,1.38,0.03,
67,[34],,a4,1.81,-0.43,
68,[35],g3,,1.77,-0.04,
69,[35],,Be7,1.79,-0.02,
70,[36],Kh3,,1.85,0.06,
71,[36],,Kg7,2.34,-0.49,
72,[37],Rd7,,2.19,-0.15,
73,[37],,R8b7,2.34,-0.15,
74,[38],Rxb7,,2.52,0.18,
75,[38],,Rxb7,2.46,0.06,
76,[39],Qxa4,,2.11,-0.35,
77,[39],,Rxb2,2.48,-0.37,
78,[40],Qa7,,2.56,0.08,
79,[40],,Bf8,3.59,-1.03,
80,[41],a4,,3.21,-0.38,
81,[41],,Bb4,3.66,-0.45,
82,[42],a5,,2.9,-0.76,
83,[42],,Be1,2.99,-0.09,
84,[43],a6,,2.96,-0.03,
85,[43],,Bf2,2.87,0.09,
86,[44],Qa8,,2.91,0.04,
87,[44],,Bg1,3.36,-0.45,
88,[45],Qh1,,3.26,-0.1,
89,[45],,Ba7,3.26,0.0,
90,[46],Qa1,,3.21,-0.05,
91,[46],,Rd2,3.59,-0.38,
92,[47],Qb1,,3.24,-0.35,
93,[47],,Rd7,3.22,0.02,
94,[48],g4,,3.68,0.46,
95,[48],,hxg4+,4.12,-0.44,
96,[49],Kxg4,,3.84,-0.28,
97,[49],,Rc7,3.89,-0.05,
98,[50],h5,,4.77,0.88,
99,[50],,gxh5+,4.26,0.51,
100,[51],Kxh5,,4.91,0.65,
101,[51],,Rd7,4.03,0.88,
102,[52],Qc2,,4.15,0.12,
103,[52],,Re7,8.45,-4.3,
104,[53],Qg2+,,9.64,1.19,
105,[53],,Kf8,9.56,0.08,
106,[54],Kh6,,6.88,-2.68,Erreur
107,[54],,Be3,7.67,-0.79,
108,[55],Qe4,,8.38,0.71,
109,[55],,Bc5,9.7,-1.32,
110,[56],Qa8+,,8.47,-1.23,Erreur
111,[56],,Re8,10.06,-1.59,
