Ply,Move,White,Black,Score,Eval,Comment
0,[1],d4,,0.15,0.15,
1,[1],,Nf6,0.19,-0.04,
2,[2],c4,,0.2,0.01,
3,[2],,g6,0.43,-0.23,
4,[3],Nc3,,0.46,0.03,
5,[3],,Bg7,0.48,-0.02,
6,[4],e4,,0.54,0.06,
7,[4],,d6,0.43,0.11,
8,[5],f3,,0.22,-0.21,
9,[5],,O-O,0.03,0.19,
10,[6],Be3,,0.25,0.22,
11,[6],,Nc6,0.37,-0.12,
12,[7],Nge2,,0.3,-0.07,
13,[7],,a6,0.27,0.03,
14,[8],Qd2,,0.25,-0.02,
15,[8],,Na5,0.29,-0.04,
16,[9],Nc1,,0.18,-0.11,
17,[9],,Nd7,0.17,0.01,
18,[10],Be2,,0.06,-0.11,
19,[10],,c5,0.13,-0.07,
20,[11],dxc5,,0.0,-0.13,
21,[11],,dxc5,0.6,-0.6,
22,[12],Nb3,,0.69,0.09,
23,[12],,b5,0.56,0.13,
24,[13],Nxc5,,0.4,-0.16,
25,[13],,Nxc5,0.43,-0.03,
26,[14],Bxc5,,0.34,-0.09,
27,[14],,Nxc4,0.33,0.01,
28,[15],Bxc4,,0.44,0.11,
29,[15],,Qxd2+,0.47,-0.03,
30,[16],Kxd2,,0.26,-0.21,
31,[16],,bxc4,0.4,-0.14,
32,[17],Bxe7,,0.5,0.1,
33,[17],,Bxf6,-0.33,0.83,
34,[18],fxe4,,-0.32,0.01,
35,[18],,fxe4,-0.32,0.0,
36,[19],Rxe4,,-0.28,0.04,
37,[19],,Rae1,-0.23,-0.05,
38,[20],Bb7,,-0.28,-0.05,
39,[20],,Rxe4,-0.15,-0.13,
40,[21],Bxe4,,-0.19,-0.04,
41,[21],,Re1,-0.17,-0.02,
42,[22],Re8,,-0.29,-0.12,
43,[22],,Kc3,-0.1,-0.19,
44,[23],Kf7,,-0.13,-0.03,
45,[23],,Bd4,-0.1,-0.03,
46,[24],Bxg2,,-0.1,0.0,
47,[24],,Rxe8,-0.1,0.0,
48,[25],Kxe8,,-0.11,-0.01,
49,[25],,Kxc4,-0.08,-0.03,
50,[26],Kd7,,-0.1,-0.02,
51,[26],,Kc5,-0.1,0.0,
52,[27],Kc7,,-0.13,-0.03,
53,[27],,Be5+,-0.13,0.0,
54,[28],Kb7,,-0.14,-0.01,
