Ply,Move,White,Black,Score,Eval,Comment
0,[1],Nf3,,0.22,0.22,
1,[1],,c5,0.33,-0.11,
2,[2],c4,,0.12,-0.21,
3,[2],,Nf6,0.16,-0.04,
4,[3],g3,,0.0,-0.16,
5,[3],,Nc6,0.07,-0.07,
6,[4],Bg2,,0.08,0.01,
7,[4],,e5,0.19,-0.11,
8,[5],d3,,0.07,-0.12,
9,[5],,g6,0.35,-0.28,
10,[6],Bg5,,0.46,0.11,
11,[6],,Bg7,0.52,-0.06,
12,[7],Nc3,,0.33,-0.19,
13,[7],,h6,0.34,-0.01,
14,[8],Bxf6,,0.41,0.07,
15,[8],,Bxf6,0.36,0.05,
16,[9],a3,,0.38,0.02,
17,[9],,Bg7,0.32,0.06,
18,[10],Rb1,,0.39,0.07,
19,[10],,a5,0.47,-0.08,
20,[11],O-O,,0.47,0.0,
21,[11],,O-O,0.44,0.03,
22,[12],Ne1,,0.45,0.01,
23,[12],,d6,0.4,0.05,
24,[13],Nc2,,0.48,0.08,
25,[13],,a4,0.47,0.01,
26,[14],Ne3,,0.56,0.09,
27,[14],,Nd4,0.48,0.08,
28,[15],Ned5,,0.49,0.01,
35,[18],,Bc6,0.4,0.09,
36,[19],Qe2,,0.44,0.04,
37,[19],,Kh7,0.51,-0.07,
38,[20],Rfb1,,0.51,0.0,
43,[22],,Rf7,0.63,-0.12,
44,[23],Nb6,,0.57,-0.06,
45,[23],,Ra6,0.5,0.07,
46,[24],Bd5,,0.48,-0.02,
47,[24],,Re7,0.59,-0.11,
48,[25],Qf1,,0.3,-0.29,
49,[25],,Qe8,0.58,-0.28,
50,[26],Kh2,,0.44,-0.14,
51,[26],,Rf7,0.44,0.0,
52,[27],Qh3,,0.2,-0.24,
53,[27],,Kh6,0.44,-0.24,
54,[28],Ra3,,0.47,0.03,
55,[28],,Kh7,0.84,-0.37,
56,[29],a5,,0.73,-0.11,
57,[29],,Bf8,0.77,-0.04,
58,[30],Ra2,,0.77,0.0,
59,[30],,Bg7,0.77,0.0,
60,[31],Rb3,,0.79,0.02,
61,[31],,Bf8,0.76,0.03,
62,[32],Ne4,,0.75,-0.01,
63,[32],,fxe4,0.74,0.01,
64,[33],Qxe6,,0.78,0.04,
65,[33],,Qxe6,0.61,0.17,
66,[34],Bxe6,,0.68,0.07,
67,[34],,Re7,0.75,-0.07,
68,[35],Bd5,,0.7,-0.05,
69,[35],,exd3,0.67,0.03,
70,[36],Rxd3,,0.66,-0.01,
71,[36],,e4,0.7,-0.04,
72,[37],Rd1,,0.65,-0.05,
73,[37],,Rc7,0.63,0.02,
74,[38],Be6,,0.64,0.01,
75,[38],,Re7,0.74,-0.1,
76,[39],Bh3,,0.24,-0.5,
77,[39],,Re8,0.24,0.0,
78,[40],Rdd2,,0.08,-0.16,
79,[40],,Kg7,0.17,-0.09,
80,[41],Bd7,,0.11,-0.06,
81,[41],,Rd8,0.11,0.0,
82,[42],Be6,,0.02,-0.09,
83,[42],,Re8,0.11,-0.09,
84,[43],Bd5,,0.0,-0.11,
85,[43],,Be7,0.08,-0.08,
86,[44],Rdb2,,0.0,-0.08,
87,[44],,Bf6,0.0,0.0,
88,[45],Rb3,,0.0,0.0,
89,[45],,Bd8,0.0,0.0,
90,[46],Rbb2,,0.0,0.0,
91,[46],,Bc7,0.0,0.0,
92,[47],Kg2,,-0.12,-0.12,
93,[47],,Kf6,-0.21,0.09,
94,[48],Kf1,,0.0,0.21,
95,[48],,Rd8,0.0,0.0,
96,[49],Ke2,,0.0,0.0,
97,[49],,Ke5,0.0,0.0,
98,[50],Kd1,,0.0,0.0,
99,[50],,Kf6,0.0,0.0,
100,[51],Ke2,,0.0,0.0,
101,[51],,Ke7,0.0,0.0,
102,[52],f3,,0.0,0.0,
103,[52],,exf3+,0.0,0.0,
104,[53],Kxf3,,0.0,0.0,
