Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.23,0.23,
1,[1],,c5,0.37,-0.14,
2,[2],Nf3,,0.33,-0.04,
3,[2],,g6,0.5,-0.17,
4,[3],d4,,0.39,-0.11,
5,[3],,Bg7,0.8,-0.41,
6,[4],c4,,0.17,-0.63,
7,[4],,cxd4,0.24,-0.07,
8,[5],Nxd4,,0.08,-0.16,
9,[5],,Nf6,0.24,-0.16,
10,[6],Nc3,,0.12,-0.12,
11,[6],,Nc6,0.16,-0.04,
12,[7],Be3,,0.22,0.06,
13,[7],,O-O,0.37,-0.15,
14,[8],Be2,,0.34,-0.03,
15,[8],,Nxd4,0.46,-0.12,
16,[9],Bxd4,,0.48,0.02,
17,[9],,d6,0.49,-0.01,
18,[10],O-O,,0.44,-0.05,
19,[10],,Bd7,0.51,-0.07,
20,[11],Qd2,,0.36,-0.15,
21,[11],,Bc6,0.41,-0.05,
22,[12],f3,,0.29,-0.12,
23,[12],,a5,0.35,-0.06,
24,[13],b3,,0.33,-0.02,
25,[13],,Nd7,0.36,-0.03,
26,[14],Be3,,0.4,0.04,
27,[14],,Nc5,0.39,0.01,
28,[15],Rab1,,0.39,0.0,
29,[15],,Qb6,0.45,-0.06,
30,[16],Kh1,,0.36,-0.09,
31,[16],,Rfc8,0.64,-0.28,
32,[17],Nd5,,0.5,-0.14,
33,[17],,Bxd5,0.53,-0.03,
34,[18],exd5,,0.4,-0.13,
35,[18],,Qb4,0.42,-0.02,
36,[19],a4,,0.08,-0.34,
37,[19],,Qxd2,0.1,-0.02,
38,[20],Bxd2,,0.06,-0.04,
39,[20],,h5,0.31,-0.25,
40,[21],g3,,0.22,-0.09,
41,[21],,Bf6,0.38,-0.16,
42,[22],h4,,0.06,-0.32,
43,[22],,Kg7,0.3,-0.24,
44,[23],Be3,,-0.15,-0.45,
45,[23],,Rc7,0.45,-0.6,
46,[24],Kg2,,0.1,-0.35,
47,[24],,Re8,0.08,0.02,
48,[25],Bxc5,,-0.08,-0.16,
49,[25],,dxc5,-0.12,0.04,
50,[26],f4,,-0.2,-0.08,
